'global_time':35.73784, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.2840592, 'gaze_y':2.222578, 'gaze_z':4.930267, 'useGaze': True
'global_time':37.04761, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.932147, 'gaze_y':2.329563, 'gaze_z':0.6464019, 'useGaze': True
'global_time':37.87149, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.091588, 'gaze_y':1.25239, 'gaze_z':5.011814, 'useGaze': True
'global_time':38.47276, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.529919, 'gaze_y':2.44945, 'gaze_z':4.931415, 'useGaze': True
'global_time':39.24479, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.9354, 'gaze_y':1.389164, 'gaze_z':2.372306, 'useGaze': True
'global_time':39.8707, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.556609, 'gaze_y':1.138866, 'gaze_z':4.935203, 'useGaze': True
'global_time':41.33544, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.934478, 'gaze_y':1.445098, 'gaze_z':0.6804319, 'useGaze': True
'global_time':42.76237, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.931107, 'gaze_y':2.505651, 'gaze_z':2.02244, 'useGaze': True
'global_time':43.45251, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.335254, 'gaze_y':2.348209, 'gaze_z':4.937727, 'useGaze': True
'global_time':44.23055, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.4619532, 'gaze_y':2.362323, 'gaze_z':4.934527, 'useGaze': True
'global_time':45.38366, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.794606, 'gaze_y':1.308051, 'gaze_z':4.935731, 'useGaze': True
'global_time':46.07492, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.461182, 'gaze_y':1.250181, 'gaze_z':4.936183, 'useGaze': True
'global_time':46.70276, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.808834, 'gaze_y':1.245453, 'gaze_z':4.937551, 'useGaze': True
'global_time':47.43181, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.459229, 'gaze_y':1.234857, 'gaze_z':4.938577, 'useGaze': True
