'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.067536, 'head_vector_x':0.06917837, 'head_vector_y':-0.5681767, 'head_vector_z':0.8199936
'global_time':1.081524, 'head_vector_x':0.06909494, 'head_vector_y':-0.5547829, 'head_vector_z':0.8291211
'global_time':1.09416, 'head_vector_x':0.0689878, 'head_vector_y':-0.5399851, 'head_vector_z':0.8388425
'global_time':1.105883, 'head_vector_x':0.06928809, 'head_vector_y':-0.5260246, 'head_vector_z':0.8476422
'global_time':1.116945, 'head_vector_x':0.07023312, 'head_vector_y':-0.5124449, 'head_vector_z':0.8558432
'global_time':1.130479, 'head_vector_x':0.07092519, 'head_vector_y':-0.499437, 'head_vector_z':0.8634421
'global_time':1.142852, 'head_vector_x':0.07157329, 'head_vector_y':-0.4870107, 'head_vector_z':0.8704584
'global_time':1.155707, 'head_vector_x':0.07283776, 'head_vector_y':-0.4748779, 'head_vector_z':0.8770323
'global_time':1.167764, 'head_vector_x':0.0752515, 'head_vector_y':-0.4516242, 'head_vector_z':0.8890291
'global_time':1.18009, 'head_vector_x':0.07673381, 'head_vector_y':-0.4411334, 'head_vector_z':0.894155
'global_time':1.191955, 'head_vector_x':0.07769179, 'head_vector_y':-0.4318142, 'head_vector_z':0.8986103
'global_time':1.201578, 'head_vector_x':0.07846502, 'head_vector_y':-0.4222073, 'head_vector_z':0.903097
'global_time':1.213519, 'head_vector_x':0.07954957, 'head_vector_y':-0.4124218, 'head_vector_z':0.9075131
'global_time':1.223797, 'head_vector_x':0.08036837, 'head_vector_y':-0.4023091, 'head_vector_z':0.9119695
'global_time':1.234679, 'head_vector_x':0.08140077, 'head_vector_y':-0.3919864, 'head_vector_z':0.9163627
'global_time':1.246904, 'head_vector_x':0.08227399, 'head_vector_y':-0.380704, 'head_vector_z':0.9210296
'global_time':1.258757, 'head_vector_x':0.08267045, 'head_vector_y':-0.3688489, 'head_vector_z':0.9258057
'global_time':1.274021, 'head_vector_x':0.08277927, 'head_vector_y':-0.3565314, 'head_vector_z':0.9306089
'global_time':1.285076, 'head_vector_x':0.08265557, 'head_vector_y':-0.3438513, 'head_vector_z':0.9353793
'global_time':1.295863, 'head_vector_x':0.08221195, 'head_vector_y':-0.331459, 'head_vector_z':0.9398809
'global_time':1.307053, 'head_vector_x':0.08197639, 'head_vector_y':-0.3190189, 'head_vector_z':0.9441964
'global_time':1.316007, 'head_vector_x':0.08211661, 'head_vector_y':-0.3066722, 'head_vector_z':0.9482663
'global_time':1.325691, 'head_vector_x':0.08226881, 'head_vector_y':-0.294322, 'head_vector_z':0.9521588
'global_time':1.337647, 'head_vector_x':0.08226434, 'head_vector_y':-0.2813898, 'head_vector_z':0.9560609
'global_time':1.34953, 'head_vector_x':0.08150426, 'head_vector_y':-0.2677982, 'head_vector_z':0.9600215
'global_time':1.361785, 'head_vector_x':0.08102757, 'head_vector_y':-0.2545603, 'head_vector_z':0.9636564
'global_time':1.373655, 'head_vector_x':0.0804632, 'head_vector_y':-0.2413468, 'head_vector_z':0.9670974
'global_time':1.38448, 'head_vector_x':0.07968833, 'head_vector_y':-0.2277926, 'head_vector_z':0.9704434
'global_time':1.395111, 'head_vector_x':0.07858488, 'head_vector_y':-0.2131923, 'head_vector_z':0.9738446
'global_time':1.409122, 'head_vector_x':0.07692546, 'head_vector_y':-0.1985042, 'head_vector_z':0.9770765
'global_time':1.424195, 'head_vector_x':0.07504316, 'head_vector_y':-0.1832712, 'head_vector_z':0.980194
'global_time':1.437306, 'head_vector_x':0.07084946, 'head_vector_y':-0.1512497, 'head_vector_z':0.9859533
'global_time':1.448723, 'head_vector_x':0.06771529, 'head_vector_y':-0.1320246, 'head_vector_z':0.9889308
'global_time':1.458641, 'head_vector_x':0.06436956, 'head_vector_y':-0.1129522, 'head_vector_z':0.9915132
'global_time':1.47036, 'head_vector_x':0.06000316, 'head_vector_y':-0.0921835, 'head_vector_z':0.9939325
'global_time':1.803694, 'head_vector_x':0.0557989, 'head_vector_y':-0.07239328, 'head_vector_z':0.9958141
'global_time':1.823099, 'head_vector_x':0.0989912, 'head_vector_y':0.2449956, 'head_vector_z':0.9644573
'global_time':1.836249, 'head_vector_x':0.1011134, 'head_vector_y':0.246726, 'head_vector_z':0.9637958
'global_time':1.850875, 'head_vector_x':0.103507, 'head_vector_y':0.2480665, 'head_vector_z':0.9631975
'global_time':1.863155, 'head_vector_x':0.1093946, 'head_vector_y':0.2505704, 'head_vector_z':0.9618978
'global_time':1.875731, 'head_vector_x':0.1129504, 'head_vector_y':0.2519625, 'head_vector_z':0.9611228
'global_time':1.88763, 'head_vector_x':0.1160949, 'head_vector_y':0.2529978, 'head_vector_z':0.960476
'global_time':1.901348, 'head_vector_x':0.1193031, 'head_vector_y':0.2533935, 'head_vector_z':0.9599784
'global_time':1.911893, 'head_vector_x':0.122355, 'head_vector_y':0.2533582, 'head_vector_z':0.9596035
'global_time':1.923745, 'head_vector_x':0.1251855, 'head_vector_y':0.2525421, 'head_vector_z':0.9594535
'global_time':1.936333, 'head_vector_x':0.1283713, 'head_vector_y':0.2519891, 'head_vector_z':0.959178
'global_time':1.94671, 'head_vector_x':0.1312668, 'head_vector_y':0.2513638, 'head_vector_z':0.9589501
'global_time':1.959824, 'head_vector_x':0.1342421, 'head_vector_y':0.2507459, 'head_vector_z':0.9586999
'global_time':1.971699, 'head_vector_x':0.1374378, 'head_vector_y':0.2492515, 'head_vector_z':0.9586368
'global_time':1.983171, 'head_vector_x':0.1407978, 'head_vector_y':0.2480605, 'head_vector_z':0.9584581
'global_time':1.996015, 'head_vector_x':0.1442172, 'head_vector_y':0.2470856, 'head_vector_z':0.9582015
'global_time':2.007568, 'head_vector_x':0.1509648, 'head_vector_y':0.24619, 'head_vector_z':0.9573923
'global_time':2.020182, 'head_vector_x':0.1542343, 'head_vector_y':0.2461692, 'head_vector_z':0.9568765
'global_time':2.03155, 'head_vector_x':0.1575231, 'head_vector_y':0.2467456, 'head_vector_z':0.956192
'global_time':2.044293, 'head_vector_x':0.1606389, 'head_vector_y':0.247335, 'head_vector_z':0.9555211
'global_time':2.054347, 'head_vector_x':0.1635194, 'head_vector_y':0.2477102, 'head_vector_z':0.9549351
'global_time':2.065015, 'head_vector_x':0.1664699, 'head_vector_y':0.2480849, 'head_vector_z':0.9543279
'global_time':2.077325, 'head_vector_x':0.1693159, 'head_vector_y':0.2483747, 'head_vector_z':0.9537516
'global_time':2.088009, 'head_vector_x':0.1720833, 'head_vector_y':0.2488264, 'head_vector_z':0.9531384
'global_time':2.100977, 'head_vector_x':0.174419, 'head_vector_y':0.2495698, 'head_vector_z':0.9525193
'global_time':2.111157, 'head_vector_x':0.1764026, 'head_vector_y':0.2508738, 'head_vector_z':0.9518111
'global_time':2.121213, 'head_vector_x':0.1781053, 'head_vector_y':0.2520856, 'head_vector_z':0.9511737
'global_time':2.134962, 'head_vector_x':0.179616, 'head_vector_y':0.253422, 'head_vector_z':0.9505343
'global_time':2.147341, 'head_vector_x':0.1808147, 'head_vector_y':0.2545205, 'head_vector_z':0.9500133
'global_time':2.158058, 'head_vector_x':0.1820534, 'head_vector_y':0.2552028, 'head_vector_z':0.9495937
'global_time':2.170053, 'head_vector_x':0.1830467, 'head_vector_y':0.2564752, 'head_vector_z':0.9490597
'global_time':2.184049, 'head_vector_x':0.1841694, 'head_vector_y':0.2571521, 'head_vector_z':0.9486593
'global_time':2.196485, 'head_vector_x':0.1850905, 'head_vector_y':0.2583757, 'head_vector_z':0.9481474
'global_time':2.207932, 'head_vector_x':0.1853771, 'head_vector_y':0.2592882, 'head_vector_z':0.9478423
'global_time':2.221558, 'head_vector_x':0.1855145, 'head_vector_y':0.260408, 'head_vector_z':0.9475083
'global_time':2.23439, 'head_vector_x':0.1855448, 'head_vector_y':0.2616273, 'head_vector_z':0.9471664
'global_time':2.245791, 'head_vector_x':0.1850509, 'head_vector_y':0.2625236, 'head_vector_z':0.947015
'global_time':2.257236, 'head_vector_x':0.1847194, 'head_vector_y':0.2631148, 'head_vector_z':0.9469157
'global_time':2.267395, 'head_vector_x':0.1839713, 'head_vector_y':0.2638667, 'head_vector_z':0.9468521
'global_time':2.279237, 'head_vector_x':0.1829926, 'head_vector_y':0.2644699, 'head_vector_z':0.9468735
'global_time':2.290912, 'head_vector_x':0.1817153, 'head_vector_y':0.2648477, 'head_vector_z':0.9470139
'global_time':2.301807, 'head_vector_x':0.180409, 'head_vector_y':0.2652334, 'head_vector_z':0.9471557
'global_time':2.31439, 'head_vector_x':0.1790058, 'head_vector_y':0.2655924, 'head_vector_z':0.9473213
'global_time':2.328333, 'head_vector_x':0.1775498, 'head_vector_y':0.2661909, 'head_vector_z':0.9474273
'global_time':2.340755, 'head_vector_x':0.1744189, 'head_vector_y':0.2667547, 'head_vector_z':0.9478502
'global_time':2.351922, 'head_vector_x':0.172727, 'head_vector_y':0.2671529, 'head_vector_z':0.9480478
'global_time':2.361645, 'head_vector_x':0.1707738, 'head_vector_y':0.2675195, 'head_vector_z':0.9482983
'global_time':2.374955, 'head_vector_x':0.1688315, 'head_vector_y':0.2682869, 'head_vector_z':0.9484293
'global_time':2.386342, 'head_vector_x':0.1665905, 'head_vector_y':0.2698123, 'head_vector_z':0.9483929
'global_time':2.395793, 'head_vector_x':0.1638593, 'head_vector_y':0.27219, 'head_vector_z':0.9481892
'global_time':2.407378, 'head_vector_x':0.160853, 'head_vector_y':0.2752447, 'head_vector_z':0.9478221
'global_time':2.419439, 'head_vector_x':0.1575411, 'head_vector_y':0.2779377, 'head_vector_z':0.9475924
'global_time':2.43107, 'head_vector_x':0.1541382, 'head_vector_y':0.2792647, 'head_vector_z':0.9477619
'global_time':2.442612, 'head_vector_x':0.1511929, 'head_vector_y':0.2792216, 'head_vector_z':0.9482489
'global_time':2.453593, 'head_vector_x':0.1482933, 'head_vector_y':0.2792153, 'head_vector_z':0.9487085
'global_time':2.467155, 'head_vector_x':0.1452838, 'head_vector_y':0.2798069, 'head_vector_z':0.9489998
'global_time':2.477645, 'head_vector_x':0.1423503, 'head_vector_y':0.2811311, 'head_vector_z':0.949053
'global_time':2.488765, 'head_vector_x':0.1391075, 'head_vector_y':0.2827317, 'head_vector_z':0.9490584
'global_time':2.499522, 'head_vector_x':0.1358227, 'head_vector_y':0.2839723, 'head_vector_z':0.9491638
'global_time':2.511151, 'head_vector_x':0.1326806, 'head_vector_y':0.2853656, 'head_vector_z':0.9491904
'global_time':2.522259, 'head_vector_x':0.1292463, 'head_vector_y':0.2875451, 'head_vector_z':0.9490064
'global_time':2.533922, 'head_vector_x':0.1265078, 'head_vector_y':0.2892678, 'head_vector_z':0.9488519
'global_time':2.546382, 'head_vector_x':0.1235646, 'head_vector_y':0.2904073, 'head_vector_z':0.9488917
'global_time':2.558647, 'head_vector_x':0.1212144, 'head_vector_y':0.2905822, 'head_vector_z':0.9491412
'global_time':2.570533, 'head_vector_x':0.1192478, 'head_vector_y':0.2893071, 'head_vector_z':0.9497796
'global_time':2.581205, 'head_vector_x':0.1176966, 'head_vector_y':0.2884544, 'head_vector_z':0.9502324
'global_time':2.592682, 'head_vector_x':0.1159862, 'head_vector_y':0.2878683, 'head_vector_z':0.9506204
'global_time':2.603714, 'head_vector_x':0.1144953, 'head_vector_y':0.2877551, 'head_vector_z':0.9508353
'global_time':2.614301, 'head_vector_x':0.1125517, 'head_vector_y':0.2881231, 'head_vector_z':0.9509559
'global_time':2.626524, 'head_vector_x':0.1110687, 'head_vector_y':0.2886631, 'head_vector_z':0.9509665
'global_time':2.636851, 'head_vector_x':0.1089467, 'head_vector_y':0.289433, 'head_vector_z':0.950978
'global_time':2.648455, 'head_vector_x':0.1069814, 'head_vector_y':0.2901354, 'head_vector_z':0.9509871
'global_time':2.660538, 'head_vector_x':0.1047092, 'head_vector_y':0.290705, 'head_vector_z':0.951066
'global_time':2.670017, 'head_vector_x':0.1021574, 'head_vector_y':0.2910944, 'head_vector_z':0.9512244
'global_time':2.678608, 'head_vector_x':0.09944987, 'head_vector_y':0.2909268, 'head_vector_z':0.9515625
'global_time':2.690383, 'head_vector_x':0.09669445, 'head_vector_y':0.2909786, 'head_vector_z':0.9518307
'global_time':2.704666, 'head_vector_x':0.09415778, 'head_vector_y':0.2906884, 'head_vector_z':0.9521736
'global_time':2.71674, 'head_vector_x':0.0890258, 'head_vector_y':0.28924, 'head_vector_z':0.9531079
'global_time':2.727822, 'head_vector_x':0.08629734, 'head_vector_y':0.2880652, 'head_vector_z':0.9537144
'global_time':2.739941, 'head_vector_x':0.0833564, 'head_vector_y':0.2866834, 'head_vector_z':0.9543921
'global_time':2.751236, 'head_vector_x':0.07997791, 'head_vector_y':0.2855408, 'head_vector_z':0.9550235
'global_time':2.761867, 'head_vector_x':0.07624924, 'head_vector_y':0.2842765, 'head_vector_z':0.9557055
'global_time':2.773583, 'head_vector_x':0.07259502, 'head_vector_y':0.2827112, 'head_vector_z':0.956454
'global_time':2.787038, 'head_vector_x':0.06843084, 'head_vector_y':0.2818217, 'head_vector_z':0.9570234
'global_time':2.799301, 'head_vector_x':0.0639632, 'head_vector_y':0.2807762, 'head_vector_z':0.9576395
'global_time':2.811988, 'head_vector_x':0.05928927, 'head_vector_y':0.2794867, 'head_vector_z':0.9583172
'global_time':2.824998, 'head_vector_x':0.05411271, 'head_vector_y':0.2781478, 'head_vector_z':0.9590129
'global_time':2.837991, 'head_vector_x':0.04837973, 'head_vector_y':0.276289, 'head_vector_z':0.9598562
'global_time':2.850972, 'head_vector_x':0.03626572, 'head_vector_y':0.2717809, 'head_vector_z':0.9616756
'global_time':2.862735, 'head_vector_x':0.03003339, 'head_vector_y':0.2696322, 'head_vector_z':0.9624949
'global_time':2.875276, 'head_vector_x':0.02366374, 'head_vector_y':0.267776, 'head_vector_z':0.9631906
'global_time':2.88774, 'head_vector_x':0.01738505, 'head_vector_y':0.2659536, 'head_vector_z':0.963829
'global_time':2.900084, 'head_vector_x':0.01110969, 'head_vector_y':0.2641689, 'head_vector_z':0.9644125
'global_time':2.91202, 'head_vector_x':0.005015377, 'head_vector_y':0.2624001, 'head_vector_z':0.9649462
'global_time':2.922985, 'head_vector_x':-0.001204164, 'head_vector_y':0.2602073, 'head_vector_z':0.965552
'global_time':2.936331, 'head_vector_x':-0.007365325, 'head_vector_y':0.2579535, 'head_vector_z':0.9661292
'global_time':2.945494, 'head_vector_x':-0.01383621, 'head_vector_y':0.2559866, 'head_vector_z':0.9665813
'global_time':2.956934, 'head_vector_x':-0.02004001, 'head_vector_y':0.2544179, 'head_vector_z':0.9668867
