'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.124118, 'head_position_x':0.02693901, 'head_position_y':0.9947951, 'head_position_z':-0.4081393
'global_time':1.139478, 'head_position_x':0.02701651, 'head_position_y':0.9947177, 'head_position_z':-0.4080858
'global_time':1.150133, 'head_position_x':0.02701559, 'head_position_y':0.9946411, 'head_position_z':-0.4079656
'global_time':1.159559, 'head_position_x':0.02699816, 'head_position_y':0.9945288, 'head_position_z':-0.4079304
'global_time':1.170772, 'head_position_x':0.02703321, 'head_position_y':0.9944127, 'head_position_z':-0.4078856
'global_time':1.181828, 'head_position_x':0.02696764, 'head_position_y':0.9943581, 'head_position_z':-0.4078196
'global_time':1.193056, 'head_position_x':0.02698895, 'head_position_y':0.9942695, 'head_position_z':-0.4077409
'global_time':1.202479, 'head_position_x':0.02698641, 'head_position_y':0.9942046, 'head_position_z':-0.4076745
'global_time':1.213847, 'head_position_x':0.02700166, 'head_position_y':0.9941553, 'head_position_z':-0.4076013
'global_time':1.229525, 'head_position_x':0.02702843, 'head_position_y':0.9940993, 'head_position_z':-0.407555
'global_time':1.241574, 'head_position_x':0.0272442, 'head_position_y':0.99401, 'head_position_z':-0.4076669
'global_time':1.25121, 'head_position_x':0.02729431, 'head_position_y':0.9939779, 'head_position_z':-0.4076936
'global_time':1.261227, 'head_position_x':0.02741811, 'head_position_y':0.9939122, 'head_position_z':-0.4078659
'global_time':1.271957, 'head_position_x':0.02744212, 'head_position_y':0.9938853, 'head_position_z':-0.4079551
'global_time':1.60529, 'head_position_x':0.02744444, 'head_position_y':0.9939331, 'head_position_z':-0.4080567
'global_time':1.629609, 'head_position_x':0.02695011, 'head_position_y':0.9980096, 'head_position_z':-0.4032429
'global_time':1.640276, 'head_position_x':0.02686375, 'head_position_y':0.9983815, 'head_position_z':-0.4031715
'global_time':1.650914, 'head_position_x':0.02676349, 'head_position_y':0.9985583, 'head_position_z':-0.403081
'global_time':1.66356, 'head_position_x':0.02668462, 'head_position_y':0.9987652, 'head_position_z':-0.4029895
'global_time':1.676039, 'head_position_x':0.02636196, 'head_position_y':0.9991664, 'head_position_z':-0.4028556
'global_time':1.692252, 'head_position_x':0.026231, 'head_position_y':0.9993888, 'head_position_z':-0.40277
'global_time':1.703447, 'head_position_x':0.02620306, 'head_position_y':0.9995973, 'head_position_z':-0.4027432
'global_time':1.715344, 'head_position_x':0.02608944, 'head_position_y':0.9998068, 'head_position_z':-0.4025616
'global_time':1.72708, 'head_position_x':0.02608432, 'head_position_y':1.000028, 'head_position_z':-0.4024718
'global_time':1.738862, 'head_position_x':0.02600212, 'head_position_y':1.000228, 'head_position_z':-0.4023958
'global_time':1.75078, 'head_position_x':0.02587948, 'head_position_y':1.000474, 'head_position_z':-0.4022844
'global_time':1.763804, 'head_position_x':0.02574067, 'head_position_y':1.000709, 'head_position_z':-0.4021759
'global_time':1.782685, 'head_position_x':0.02543318, 'head_position_y':1.001228, 'head_position_z':-0.401843
'global_time':1.796476, 'head_position_x':0.025263, 'head_position_y':1.001508, 'head_position_z':-0.4015805
'global_time':1.808746, 'head_position_x':0.02502566, 'head_position_y':1.001828, 'head_position_z':-0.4012706
'global_time':1.820347, 'head_position_x':0.02483924, 'head_position_y':1.002176, 'head_position_z':-0.4009947
'global_time':1.832757, 'head_position_x':0.02451054, 'head_position_y':1.003008, 'head_position_z':-0.4003779
'global_time':1.845552, 'head_position_x':0.02451783, 'head_position_y':1.00341, 'head_position_z':-0.4001769
'global_time':1.854833, 'head_position_x':0.02431423, 'head_position_y':1.003986, 'head_position_z':-0.3997473
'global_time':1.866087, 'head_position_x':0.02406104, 'head_position_y':1.004642, 'head_position_z':-0.3992179
'global_time':1.878434, 'head_position_x':0.02373981, 'head_position_y':1.005377, 'head_position_z':-0.3986216
'global_time':1.891337, 'head_position_x':0.02342884, 'head_position_y':1.006112, 'head_position_z':-0.3981392
'global_time':1.904534, 'head_position_x':0.02315487, 'head_position_y':1.006881, 'head_position_z':-0.3976732
'global_time':1.916073, 'head_position_x':0.02286889, 'head_position_y':1.007731, 'head_position_z':-0.3972495
'global_time':1.93253, 'head_position_x':0.02258183, 'head_position_y':1.008613, 'head_position_z':-0.396843
'global_time':1.945005, 'head_position_x':0.02211068, 'head_position_y':1.010735, 'head_position_z':-0.395725
'global_time':1.955729, 'head_position_x':0.0218725, 'head_position_y':1.012002, 'head_position_z':-0.3949348
'global_time':1.966348, 'head_position_x':0.02159313, 'head_position_y':1.013339, 'head_position_z':-0.3941914
'global_time':1.982586, 'head_position_x':0.02122141, 'head_position_y':1.014736, 'head_position_z':-0.3935923
'global_time':1.995376, 'head_position_x':0.02089658, 'head_position_y':1.016105, 'head_position_z':-0.3931234
'global_time':2.006638, 'head_position_x':0.02056061, 'head_position_y':1.017483, 'head_position_z':-0.3927703
'global_time':2.018107, 'head_position_x':0.02028346, 'head_position_y':1.01897, 'head_position_z':-0.3923678
