'global_time':43.65868, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.304112, 'gaze_y':0.8943809, 'gaze_z':4.95144, 'useGaze': False
'global_time':44.65045, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.937098, 'gaze_y':2.464683, 'gaze_z':1.850496, 'useGaze': False
'global_time':45.84721, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.949804, 'gaze_y':0.9245369, 'gaze_z':3.862631, 'useGaze': False
'global_time':46.86421, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.936866, 'gaze_y':2.29224, 'gaze_z':0.2802898, 'useGaze': False
'global_time':47.99768, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.6067696, 'gaze_y':2.753085, 'gaze_z':4.936309, 'useGaze': False
'global_time':49.39, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.937848, 'gaze_y':2.250779, 'gaze_z':0.4054353, 'useGaze': False
'global_time':50.44075, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.938488, 'gaze_y':2.551454, 'gaze_z':2.300663, 'useGaze': False
'global_time':51.92373, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.3333123, 'gaze_y':0.9595304, 'gaze_z':4.951475, 'useGaze': False
'global_time':52.74368, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.2144826, 'gaze_y':2.529857, 'gaze_z':4.937332, 'useGaze': False
'global_time':53.68015, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.6121356, 'gaze_y':1.068131, 'gaze_z':4.950687, 'useGaze': False
'global_time':54.49608, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.5741307, 'gaze_y':2.407949, 'gaze_z':4.939163, 'useGaze': False
'global_time':56.37334, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.94873, 'gaze_y':1.094679, 'gaze_z':3.191268, 'useGaze': False
'global_time':57.23455, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.950208, 'gaze_y':1.161456, 'gaze_z':0.7623258, 'useGaze': False
'global_time':58.05561, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.942747, 'gaze_y':2.739974, 'gaze_z':3.986397, 'useGaze': False
