'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.091716, 'head_vector_x':0.1209665, 'head_vector_y':-0.6201918, 'head_vector_z':0.7750673
'global_time':1.102458, 'head_vector_x':0.1212058, 'head_vector_y':-0.6211324, 'head_vector_z':0.7742763
'global_time':1.112544, 'head_vector_x':0.12128, 'head_vector_y':-0.6222331, 'head_vector_z':0.7733804
'global_time':1.124118, 'head_vector_x':0.121546, 'head_vector_y':-0.6229939, 'head_vector_z':0.7727258
'global_time':1.139478, 'head_vector_x':0.1218895, 'head_vector_y':-0.6237643, 'head_vector_z':0.7720498
'global_time':1.150133, 'head_vector_x':0.122047, 'head_vector_y':-0.6245114, 'head_vector_z':0.7714208
'global_time':1.159559, 'head_vector_x':0.1223244, 'head_vector_y':-0.6248099, 'head_vector_z':0.7711352
'global_time':1.170772, 'head_vector_x':0.122371, 'head_vector_y':-0.6252497, 'head_vector_z':0.7707711
'global_time':1.181828, 'head_vector_x':0.1228752, 'head_vector_y':-0.6255382, 'head_vector_z':0.7704567
'global_time':1.193056, 'head_vector_x':0.1231866, 'head_vector_y':-0.6255755, 'head_vector_z':0.7703767
'global_time':1.202479, 'head_vector_x':0.1234827, 'head_vector_y':-0.625493, 'head_vector_z':0.7703963
'global_time':1.213847, 'head_vector_x':0.123944, 'head_vector_y':-0.6253631, 'head_vector_z':0.7704278
'global_time':1.229525, 'head_vector_x':0.124097, 'head_vector_y':-0.6250683, 'head_vector_z':0.7706423
'global_time':1.241574, 'head_vector_x':0.1242152, 'head_vector_y':-0.6250104, 'head_vector_z':0.7706703
'global_time':1.25121, 'head_vector_x':0.1241613, 'head_vector_y':-0.6249313, 'head_vector_z':0.7707431
'global_time':1.261227, 'head_vector_x':0.1244772, 'head_vector_y':-0.6248904, 'head_vector_z':0.7707253
'global_time':1.271957, 'head_vector_x':0.1245417, 'head_vector_y':-0.6248528, 'head_vector_z':0.7707453
'global_time':1.60529, 'head_vector_x':0.1247382, 'head_vector_y':-0.6248878, 'head_vector_z':0.7706852
'global_time':1.629609, 'head_vector_x':0.117018, 'head_vector_y':-0.5816526, 'head_vector_z':0.8049764
'global_time':1.640276, 'head_vector_x':0.1159023, 'head_vector_y':-0.5792935, 'head_vector_z':0.8068368
'global_time':1.650914, 'head_vector_x':0.1155012, 'head_vector_y':-0.5777883, 'head_vector_z':0.8079729
'global_time':1.66356, 'head_vector_x':0.1146098, 'head_vector_y':-0.5765631, 'head_vector_z':0.8089744
'global_time':1.676039, 'head_vector_x':0.113255, 'head_vector_y':-0.5739393, 'head_vector_z':0.8110284
'global_time':1.692252, 'head_vector_x':0.112668, 'head_vector_y':-0.5725539, 'head_vector_z':0.8120886
'global_time':1.703447, 'head_vector_x':0.1116665, 'head_vector_y':-0.5710894, 'head_vector_z':0.8132574
'global_time':1.715344, 'head_vector_x':0.1106212, 'head_vector_y':-0.5692617, 'head_vector_z':0.8146804
'global_time':1.72708, 'head_vector_x':0.109445, 'head_vector_y':-0.5673589, 'head_vector_z':0.8161652
'global_time':1.738862, 'head_vector_x':0.1083215, 'head_vector_y':-0.5655067, 'head_vector_z':0.8175993
'global_time':1.75078, 'head_vector_x':0.1070387, 'head_vector_y':-0.5637279, 'head_vector_z':0.8189955
'global_time':1.763804, 'head_vector_x':0.1057814, 'head_vector_y':-0.5620365, 'head_vector_z':0.8203203
'global_time':1.782685, 'head_vector_x':0.1032559, 'head_vector_y':-0.5575939, 'head_vector_z':0.8236669
'global_time':1.796476, 'head_vector_x':0.1018511, 'head_vector_y':-0.5547366, 'head_vector_z':0.8257685
'global_time':1.808746, 'head_vector_x':0.1004632, 'head_vector_y':-0.551609, 'head_vector_z':0.8280306
'global_time':1.820347, 'head_vector_x':0.09916808, 'head_vector_y':-0.5485033, 'head_vector_z':0.8302469
'global_time':1.832757, 'head_vector_x':0.09628023, 'head_vector_y':-0.541089, 'head_vector_z':0.8354357
'global_time':1.845552, 'head_vector_x':0.09457786, 'head_vector_y':-0.5368421, 'head_vector_z':0.8383648
'global_time':1.854833, 'head_vector_x':0.09289806, 'head_vector_y':-0.5316513, 'head_vector_z':0.8418532
'global_time':1.866087, 'head_vector_x':0.09099264, 'head_vector_y':-0.5254601, 'head_vector_z':0.8459385
'global_time':1.878434, 'head_vector_x':0.08894967, 'head_vector_y':-0.5188452, 'head_vector_z':0.850228
'global_time':1.891337, 'head_vector_x':0.08674539, 'head_vector_y':-0.5121085, 'head_vector_z':0.8545291
'global_time':1.904534, 'head_vector_x':0.08411996, 'head_vector_y':-0.505209, 'head_vector_z':0.8588875
'global_time':1.916073, 'head_vector_x':0.08152454, 'head_vector_y':-0.4982794, 'head_vector_z':0.8631752
'global_time':1.93253, 'head_vector_x':0.07916708, 'head_vector_y':-0.4909849, 'head_vector_z':0.8675635
'global_time':1.945005, 'head_vector_x':0.07464745, 'head_vector_y':-0.4725674, 'head_vector_z':0.8781275
'global_time':1.955729, 'head_vector_x':0.07219473, 'head_vector_y':-0.4604591, 'head_vector_z':0.8847403
'global_time':1.966348, 'head_vector_x':0.0695615, 'head_vector_y':-0.4486756, 'head_vector_z':0.8909833
'global_time':1.982586, 'head_vector_x':0.06716303, 'head_vector_y':-0.4370525, 'head_vector_z':0.8969249
'global_time':1.995376, 'head_vector_x':0.06441353, 'head_vector_y':-0.4261302, 'head_vector_z':0.9023657
'global_time':2.006638, 'head_vector_x':0.06205291, 'head_vector_y':-0.4153669, 'head_vector_z':0.907535
'global_time':2.018107, 'head_vector_x':0.05964552, 'head_vector_y':-0.4036416, 'head_vector_z':0.9129709
'global_time':2.029722, 'head_vector_x':0.05746144, 'head_vector_y':-0.390495, 'head_vector_z':0.91881
'global_time':2.041339, 'head_vector_x':0.05509261, 'head_vector_y':-0.3765611, 'head_vector_z':0.9247521
'global_time':2.052571, 'head_vector_x':0.05280442, 'head_vector_y':-0.3626015, 'head_vector_z':0.9304472
'global_time':2.062815, 'head_vector_x':0.05040789, 'head_vector_y':-0.3485391, 'head_vector_z':0.9359378
'global_time':2.073319, 'head_vector_x':0.04799324, 'head_vector_y':-0.3334409, 'head_vector_z':0.9415486
