'global_time':43.67006, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.860273,  'useGaze':False, 'useVal':True
'global_time':44.6619, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.9918404,  'useGaze':False, 'useVal':True
'global_time':45.85819, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':1.196281,  'useGaze':False, 'useVal':True
'global_time':46.87478, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':1.016592,  'useGaze':False, 'useVal':True
'global_time':48.00796, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':1.13317,  'useGaze':False, 'useVal':True
'global_time':49.40086, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':1.392913,  'useGaze':False, 'useVal':True
'global_time':50.45193, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':1.051069,  'useGaze':False, 'useVal':True
'global_time':51.93583, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.483894,  'useGaze':False, 'useVal':True
'global_time':52.75671, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.8208679,  'useGaze':False, 'useVal':True
'global_time':53.69055, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.9338492,  'useGaze':False, 'useVal':True
'global_time':54.50977, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.819242,  'useGaze':False, 'useVal':True
'global_time':56.38729, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':1.877519,  'useGaze':False, 'useVal':True
'global_time':57.24611, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.8588315,  'useGaze':False, 'useVal':True
'global_time':58.0682, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.8220935,  'useGaze':False, 'useVal':True
