'global_time':17.40819, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.5731264, 'gaze_y':2.490378, 'gaze_z':2.930332, 'useGaze': False
'global_time':18.21581, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.504976, 'gaze_y':1.119228, 'gaze_z':2.946302, 'useGaze': False
'global_time':18.50543, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.881009, 'gaze_y':1.109077, 'gaze_z':2.946593, 'useGaze': False
'global_time':18.64739, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.5167509, 'gaze_y':1.276546, 'gaze_z':2.946687, 'useGaze': False
'global_time':19.19194, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.488853, 'gaze_y':2.883023, 'gaze_z':2.931458, 'useGaze': False
'global_time':19.56502, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.475244, 'gaze_y':2.197036, 'gaze_z':2.936306, 'useGaze': False
'global_time':20.09417, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.58713, 'gaze_y':2.143486, 'gaze_z':2.939226, 'useGaze': False
'global_time':20.52242, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.4809775, 'gaze_y':1.532101, 'gaze_z':2.943523, 'useGaze': False
'global_time':21.02966, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.838953, 'gaze_y':1.597902, 'gaze_z':2.94163, 'useGaze': False
'global_time':21.47989, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.510294, 'gaze_y':2.390423, 'gaze_z':2.932706, 'useGaze': False
'global_time':21.82412, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.397125, 'gaze_y':1.965001, 'gaze_z':2.96398, 'useGaze': False
'global_time':22.08768, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.5231452, 'gaze_y':0.9607695, 'gaze_z':2.952471, 'useGaze': False
'global_time':22.64926, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.5607805, 'gaze_y':2.396776, 'gaze_z':2.932723, 'useGaze': False
