'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.161999, 'head_position_x':0.06124863, 'head_position_y':0.9236863, 'head_position_z':-0.453715
'global_time':1.172402, 'head_position_x':0.06114303, 'head_position_y':0.923646, 'head_position_z':-0.4537114
'global_time':1.184604, 'head_position_x':0.06114043, 'head_position_y':0.9236596, 'head_position_z':-0.4538002
'global_time':1.197329, 'head_position_x':0.06102691, 'head_position_y':0.9236438, 'head_position_z':-0.4537879
'global_time':1.209097, 'head_position_x':0.06098819, 'head_position_y':0.9236498, 'head_position_z':-0.4539044
'global_time':1.219813, 'head_position_x':0.06090772, 'head_position_y':0.9237005, 'head_position_z':-0.4539142
'global_time':1.231737, 'head_position_x':0.0608204, 'head_position_y':0.9237627, 'head_position_z':-0.4539858
'global_time':1.243765, 'head_position_x':0.06095705, 'head_position_y':0.9237843, 'head_position_z':-0.454181
'global_time':1.255965, 'head_position_x':0.06088718, 'head_position_y':0.9238506, 'head_position_z':-0.4541241
'global_time':1.265296, 'head_position_x':0.06096376, 'head_position_y':0.9238856, 'head_position_z':-0.4542261
'global_time':1.282432, 'head_position_x':0.06089054, 'head_position_y':0.9239677, 'head_position_z':-0.4541457
'global_time':1.294502, 'head_position_x':0.06088467, 'head_position_y':0.9240038, 'head_position_z':-0.454104
'global_time':1.307696, 'head_position_x':0.06074319, 'head_position_y':0.9241132, 'head_position_z':-0.4540474
'global_time':1.318859, 'head_position_x':0.06067666, 'head_position_y':0.924142, 'head_position_z':-0.4540249
'global_time':1.328815, 'head_position_x':0.06062511, 'head_position_y':0.9241596, 'head_position_z':-0.4540818
'global_time':1.341125, 'head_position_x':0.06074334, 'head_position_y':0.9241175, 'head_position_z':-0.4542831
'global_time':1.35162, 'head_position_x':0.06065642, 'head_position_y':0.9241293, 'head_position_z':-0.454312
'global_time':1.363538, 'head_position_x':0.06071536, 'head_position_y':0.9240831, 'head_position_z':-0.4544906
'global_time':1.374907, 'head_position_x':0.06068898, 'head_position_y':0.9240396, 'head_position_z':-0.4545811
'global_time':1.386413, 'head_position_x':0.06090541, 'head_position_y':0.9239057, 'head_position_z':-0.4548963
'global_time':1.397461, 'head_position_x':0.06088775, 'head_position_y':0.9238589, 'head_position_z':-0.4550304
'global_time':1.408575, 'head_position_x':0.06105347, 'head_position_y':0.9237862, 'head_position_z':-0.4553365
'global_time':1.419685, 'head_position_x':0.06101479, 'head_position_y':0.9237432, 'head_position_z':-0.4554532
'global_time':1.434871, 'head_position_x':0.06105719, 'head_position_y':0.9236878, 'head_position_z':-0.4556269
'global_time':1.445475, 'head_position_x':0.06115314, 'head_position_y':0.9236544, 'head_position_z':-0.4558062
'global_time':1.456118, 'head_position_x':0.06110809, 'head_position_y':0.9236809, 'head_position_z':-0.455788
'global_time':1.467746, 'head_position_x':0.06116544, 'head_position_y':0.923676, 'head_position_z':-0.455842
'global_time':1.479561, 'head_position_x':0.06110423, 'head_position_y':0.9237323, 'head_position_z':-0.4557599
'global_time':1.492079, 'head_position_x':0.06098485, 'head_position_y':0.9238237, 'head_position_z':-0.4555793
'global_time':1.50442, 'head_position_x':0.06090309, 'head_position_y':0.9239222, 'head_position_z':-0.4554399
'global_time':1.518124, 'head_position_x':0.06076365, 'head_position_y':0.9240232, 'head_position_z':-0.455196
'global_time':1.530165, 'head_position_x':0.06055181, 'head_position_y':0.9241712, 'head_position_z':-0.4546934
'global_time':1.541868, 'head_position_x':0.06041022, 'head_position_y':0.924194, 'head_position_z':-0.4544819
'global_time':1.551077, 'head_position_x':0.06033447, 'head_position_y':0.9242359, 'head_position_z':-0.4542906
'global_time':1.56184, 'head_position_x':0.06035871, 'head_position_y':0.9241982, 'head_position_z':-0.4542472
'global_time':1.572714, 'head_position_x':0.06030878, 'head_position_y':0.9242184, 'head_position_z':-0.4541402
'global_time':1.906047, 'head_position_x':0.0604093, 'head_position_y':0.9241398, 'head_position_z':-0.4541894
'global_time':1.933455, 'head_position_x':0.05630688, 'head_position_y':0.9292549, 'head_position_z':-0.4527396
