'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.111593, 'head_vector_x':-0.0005817292, 'head_vector_y':-0.7360463, 'head_vector_z':0.676931
'global_time':1.127155, 'head_vector_x':-0.0009505367, 'head_vector_y':-0.7359926, 'head_vector_z':0.6769889
'global_time':1.13916, 'head_vector_x':-0.001420726, 'head_vector_y':-0.7360551, 'head_vector_z':0.6769201
'global_time':1.151906, 'head_vector_x':-0.001709206, 'head_vector_y':-0.7363387, 'head_vector_z':0.676611
'global_time':1.161999, 'head_vector_x':-0.001912498, 'head_vector_y':-0.7366759, 'head_vector_z':0.6762433
'global_time':1.172402, 'head_vector_x':-0.002285557, 'head_vector_y':-0.7367749, 'head_vector_z':0.6761342
'global_time':1.184604, 'head_vector_x':-0.00258232, 'head_vector_y':-0.7369687, 'head_vector_z':0.675922
'global_time':1.197329, 'head_vector_x':-0.002871795, 'head_vector_y':-0.7369119, 'head_vector_z':0.6759827
'global_time':1.209097, 'head_vector_x':-0.003210177, 'head_vector_y':-0.7369089, 'head_vector_z':0.6759846
'global_time':1.219813, 'head_vector_x':-0.003688115, 'head_vector_y':-0.7371228, 'head_vector_z':0.6757488
'global_time':1.231737, 'head_vector_x':-0.003800509, 'head_vector_y':-0.7371457, 'head_vector_z':0.6757231
'global_time':1.243765, 'head_vector_x':-0.003903562, 'head_vector_y':-0.7371723, 'head_vector_z':0.6756936
'global_time':1.255965, 'head_vector_x':-0.004042502, 'head_vector_y':-0.7369889, 'head_vector_z':0.6758928
'global_time':1.265296, 'head_vector_x':-0.004164028, 'head_vector_y':-0.7366654, 'head_vector_z':0.6762446
'global_time':1.282432, 'head_vector_x':-0.004024472, 'head_vector_y':-0.7364629, 'head_vector_z':0.676466
'global_time':1.294502, 'head_vector_x':-0.004022962, 'head_vector_y':-0.7360876, 'head_vector_z':0.6768744
'global_time':1.307696, 'head_vector_x':-0.003991261, 'head_vector_y':-0.7354759, 'head_vector_z':0.6775391
'global_time':1.318859, 'head_vector_x':-0.003933166, 'head_vector_y':-0.7353545, 'head_vector_z':0.6776712
'global_time':1.328815, 'head_vector_x':-0.003917012, 'head_vector_y':-0.7353551, 'head_vector_z':0.6776706
'global_time':1.341125, 'head_vector_x':-0.003884896, 'head_vector_y':-0.7354262, 'head_vector_z':0.6775937
'global_time':1.35162, 'head_vector_x':-0.003797348, 'head_vector_y':-0.7356382, 'head_vector_z':0.677364
'global_time':1.363538, 'head_vector_x':-0.00386093, 'head_vector_y':-0.7359092, 'head_vector_z':0.6770692
'global_time':1.374907, 'head_vector_x':-0.003871057, 'head_vector_y':-0.7361907, 'head_vector_z':0.6767631
'global_time':1.386413, 'head_vector_x':-0.003719021, 'head_vector_y':-0.7364425, 'head_vector_z':0.6764899
'global_time':1.397461, 'head_vector_x':-0.003524354, 'head_vector_y':-0.736783, 'head_vector_z':0.6761202
'global_time':1.408575, 'head_vector_x':-0.003340785, 'head_vector_y':-0.7371644, 'head_vector_z':0.6757051
'global_time':1.419685, 'head_vector_x':-0.003078872, 'head_vector_y':-0.7374858, 'head_vector_z':0.6753557
'global_time':1.434871, 'head_vector_x':-0.002887649, 'head_vector_y':-0.7375607, 'head_vector_z':0.6752747
'global_time':1.445475, 'head_vector_x':-0.002912255, 'head_vector_y':-0.7378263, 'head_vector_z':0.6749844
'global_time':1.456118, 'head_vector_x':-0.002989072, 'head_vector_y':-0.7378362, 'head_vector_z':0.6749731
'global_time':1.467746, 'head_vector_x':-0.003168304, 'head_vector_y':-0.7378676, 'head_vector_z':0.6749381
'global_time':1.479561, 'head_vector_x':-0.003576753, 'head_vector_y':-0.7378228, 'head_vector_z':0.6749851
'global_time':1.492079, 'head_vector_x':-0.003764541, 'head_vector_y':-0.7377936, 'head_vector_z':0.675016
'global_time':1.50442, 'head_vector_x':-0.004229611, 'head_vector_y':-0.7376163, 'head_vector_z':0.6752069
'global_time':1.518124, 'head_vector_x':-0.00462159, 'head_vector_y':-0.7373905, 'head_vector_z':0.6754509
'global_time':1.530165, 'head_vector_x':-0.005691963, 'head_vector_y':-0.7364687, 'head_vector_z':0.6764476
'global_time':1.541868, 'head_vector_x':-0.006053385, 'head_vector_y':-0.7360761, 'head_vector_z':0.6768717
'global_time':1.551077, 'head_vector_x':-0.006474002, 'head_vector_y':-0.7360426, 'head_vector_z':0.6769043
'global_time':1.56184, 'head_vector_x':-0.006856161, 'head_vector_y':-0.7357907, 'head_vector_z':0.6771743
'global_time':1.572714, 'head_vector_x':-0.007206595, 'head_vector_y':-0.7360039, 'head_vector_z':0.676939
'global_time':1.906047, 'head_vector_x':-0.007488821, 'head_vector_y':-0.7362068, 'head_vector_z':0.6767151
'global_time':1.933455, 'head_vector_x':-0.03922126, 'head_vector_y':-0.7023207, 'head_vector_z':0.7107794
'global_time':1.944208, 'head_vector_x':-0.03934449, 'head_vector_y':-0.7019589, 'head_vector_z':0.7111299
