'global_time':7.059675, 'hit_distance':3.947129 
'global_time':7.073055, 'hit_distance':3.988388 
'global_time':7.083139, 'hit_distance':4.030617 
'global_time':7.09405, 'hit_distance':4.070412 
'global_time':7.105081, 'hit_distance':4.109578 
'global_time':7.117871, 'hit_distance':4.145344 
'global_time':7.130075, 'hit_distance':4.1808 
'global_time':7.141784, 'hit_distance':4.212862 
'global_time':7.158944, 'hit_distance':4.242997 
'global_time':7.170768, 'hit_distance':4.268415 
'global_time':7.18258, 'hit_distance':4.309422 
'global_time':7.193203, 'hit_distance':4.326526 
'global_time':7.206133, 'hit_distance':4.337732 
'global_time':7.217673, 'hit_distance':4.348813 
'global_time':7.227951, 'hit_distance':4.358081 
'global_time':7.239401, 'hit_distance':4.358199 
'global_time':7.250552, 'hit_distance':4.354557 
'global_time':7.264353, 'hit_distance':4.349012 
'global_time':7.275745, 'hit_distance':4.335459 
'global_time':7.287869, 'hit_distance':4.322402 
'global_time':7.30338, 'hit_distance':4.300242 
'global_time':7.320755, 'hit_distance':4.277633 
'global_time':7.332363, 'hit_distance':4.22437 
'global_time':7.342604, 'hit_distance':4.194339 
'global_time':7.355255, 'hit_distance':4.161655 
'global_time':7.366769, 'hit_distance':4.128062 
'global_time':7.378143, 'hit_distance':4.094211 
'global_time':7.389206, 'hit_distance':4.061366 
'global_time':7.40077, 'hit_distance':4.028596 
'global_time':7.413014, 'hit_distance':3.996954 
'global_time':7.42487, 'hit_distance':3.96608 
'global_time':7.435818, 'hit_distance':3.908668 
'global_time':7.448431, 'hit_distance':3.883228 
'global_time':7.459133, 'hit_distance':3.859903 
'global_time':7.48424, 'hit_distance':3.820228 
'global_time':7.498248, 'hit_distance':3.803481 
'global_time':7.508144, 'hit_distance':3.788434 
'global_time':7.518902, 'hit_distance':3.775952 
'global_time':7.531519, 'hit_distance':3.764632 
'global_time':7.542588, 'hit_distance':3.755982 
'global_time':7.554998, 'hit_distance':3.750401 
'global_time':7.566651, 'hit_distance':3.74837 
'global_time':7.580242, 'hit_distance':3.748526 
