'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':1.256256, 'head_position_x':-0.4676594, 'head_position_y':1.100847, 'head_position_z':-0.3960323
'global_time':1.266791, 'head_position_x':-0.4680716, 'head_position_y':1.100829, 'head_position_z':-0.3955675
'global_time':1.279262, 'head_position_x':-0.4683892, 'head_position_y':1.100818, 'head_position_z':-0.3951725
'global_time':1.296033, 'head_position_x':-0.4687219, 'head_position_y':1.100731, 'head_position_z':-0.3948184
'global_time':1.306438, 'head_position_x':-0.4689277, 'head_position_y':1.100654, 'head_position_z':-0.3945946
'global_time':1.315494, 'head_position_x':-0.4690768, 'head_position_y':1.100552, 'head_position_z':-0.3944129
'global_time':1.326752, 'head_position_x':-0.4692259, 'head_position_y':1.100441, 'head_position_z':-0.3942191
'global_time':1.339045, 'head_position_x':-0.4693403, 'head_position_y':1.100331, 'head_position_z':-0.3941426
'global_time':1.350022, 'head_position_x':-0.4694604, 'head_position_y':1.100225, 'head_position_z':-0.394021
'global_time':1.361751, 'head_position_x':-0.4695964, 'head_position_y':1.100106, 'head_position_z':-0.3939093
'global_time':1.373547, 'head_position_x':-0.4696962, 'head_position_y':1.099991, 'head_position_z':-0.3938108
'global_time':1.387014, 'head_position_x':-0.4697941, 'head_position_y':1.099866, 'head_position_z':-0.3937251
'global_time':1.397834, 'head_position_x':-0.4685856, 'head_position_y':1.100573, 'head_position_z':-0.392962
'global_time':1.409842, 'head_position_x':-0.4685756, 'head_position_y':1.100417, 'head_position_z':-0.3929019
'global_time':1.422302, 'head_position_x':-0.4685776, 'head_position_y':1.100283, 'head_position_z':-0.3928202
'global_time':1.433899, 'head_position_x':-0.4678544, 'head_position_y':1.100592, 'head_position_z':-0.3933458
'global_time':1.449565, 'head_position_x':-0.4677604, 'head_position_y':1.100417, 'head_position_z':-0.3931942
'global_time':1.462214, 'head_position_x':-0.4669386, 'head_position_y':1.100947, 'head_position_z':-0.393819
'global_time':1.474872, 'head_position_x':-0.4668789, 'head_position_y':1.100799, 'head_position_z':-0.3938109
'global_time':1.487422, 'head_position_x':-0.4668283, 'head_position_y':1.10062, 'head_position_z':-0.3938838
'global_time':1.498627, 'head_position_x':-0.466752, 'head_position_y':1.100455, 'head_position_z':-0.3939778
'global_time':1.512736, 'head_position_x':-0.4666716, 'head_position_y':1.100307, 'head_position_z':-0.3940694
'global_time':1.524568, 'head_position_x':-0.466571, 'head_position_y':1.100209, 'head_position_z':-0.3941419
'global_time':1.535838, 'head_position_x':-0.4663585, 'head_position_y':1.10009, 'head_position_z':-0.3941669
'global_time':1.547051, 'head_position_x':-0.4662565, 'head_position_y':1.100042, 'head_position_z':-0.3942144
'global_time':1.558609, 'head_position_x':-0.4661438, 'head_position_y':1.099964, 'head_position_z':-0.3942695
'global_time':1.570357, 'head_position_x':-0.4654299, 'head_position_y':1.100291, 'head_position_z':-0.394867
'global_time':1.581829, 'head_position_x':-0.4652628, 'head_position_y':1.10025, 'head_position_z':-0.3949688
'global_time':1.591971, 'head_position_x':-0.4660261, 'head_position_y':1.099903, 'head_position_z':-0.3943676
'global_time':1.60893, 'head_position_x':-0.4658785, 'head_position_y':1.099921, 'head_position_z':-0.3944292
'global_time':1.621961, 'head_position_x':-0.4657415, 'head_position_y':1.099933, 'head_position_z':-0.3944867
'global_time':1.635057, 'head_position_x':-0.4656091, 'head_position_y':1.09994, 'head_position_z':-0.3945625
'global_time':1.647599, 'head_position_x':-0.465606, 'head_position_y':1.099893, 'head_position_z':-0.395216
'global_time':1.658418, 'head_position_x':-0.4654707, 'head_position_y':1.09986, 'head_position_z':-0.3954307
'global_time':1.669388, 'head_position_x':-0.4653366, 'head_position_y':1.099845, 'head_position_z':-0.3956592
'global_time':1.682068, 'head_position_x':-0.4648494, 'head_position_y':1.099967, 'head_position_z':-0.3962718
'global_time':1.694441, 'head_position_x':-0.4646362, 'head_position_y':1.099952, 'head_position_z':-0.3965471
'global_time':1.705959, 'head_position_x':-0.4643852, 'head_position_y':1.099965, 'head_position_z':-0.3968126
'global_time':1.715808, 'head_position_x':-0.4640754, 'head_position_y':1.10001, 'head_position_z':-0.3970544
'global_time':1.727616, 'head_position_x':-0.4637898, 'head_position_y':1.100093, 'head_position_z':-0.3973086
'global_time':1.739117, 'head_position_x':-0.4633985, 'head_position_y':1.100249, 'head_position_z':-0.3973908
