'global_time':25.42763, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7762564, 'gaze_y':0.517972, 'gaze_z':2.893521, 'useGaze': True
'global_time':26.81786, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.407069, 'gaze_y':1.480729, 'gaze_z':0.6710502, 'useGaze': True
'global_time':28.1319, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.407475, 'gaze_y':1.656741, 'gaze_z':0.3893111, 'useGaze': True
'global_time':29.27234, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.407031, 'gaze_y':1.737907, 'gaze_z':0.5656207, 'useGaze': True
'global_time':30.86787, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.40653, 'gaze_y':1.77577, 'gaze_z':0.5819452, 'useGaze': True
'global_time':4.294749, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3213859, 'gaze_y':0.2122101, 'gaze_z':3.172925, 'useGaze': True
'global_time':5.743318, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9454104, 'gaze_y':-0.003742576, 'gaze_z':2.900396, 'useGaze': True
'global_time':7.270634, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.608146, 'gaze_y':0.1798465, 'gaze_z':-0.1114545, 'useGaze': True
'global_time':11.10309, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.616379, 'gaze_y':0.09763539, 'gaze_z':-0.1063913, 'useGaze': True
'global_time':12.2954, 'center_x':2.1, 'center_y':-0.33, 'center_z':-0.0999999, 'gaze_x':1.616306, 'gaze_y':0.1544628, 'gaze_z':-0.405543, 'useGaze': True
'global_time':14.95624, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.421128, 'gaze_y':1.40867, 'gaze_z':0.3378431, 'useGaze': True
'global_time':16.10512, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.422109, 'gaze_y':1.656574, 'gaze_z':0.3585495, 'useGaze': True
'global_time':17.27773, 'center_x':-2.93, 'center_y':1.38, 'center_z':0.29, 'gaze_x':-2.422654, 'gaze_y':1.584296, 'gaze_z':0.3991371, 'useGaze': True
'global_time':21.78591, 'center_x':-1.072, 'center_y':-0.33, 'center_z':-1.59, 'gaze_x':-0.9060995, 'gaze_y':0.2148046, 'gaze_z':-1.615306, 'useGaze': True
'global_time':24.47701, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4857855, 'gaze_y':0.1105055, 'gaze_z':3.182416, 'useGaze': True
'global_time':25.11401, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.922044, 'gaze_y':0.4481186, 'gaze_z':2.907069, 'useGaze': True
'global_time':25.67559, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4884654, 'gaze_y':0.2187146, 'gaze_z':3.367143, 'useGaze': True
'global_time':26.2633, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.8160014, 'gaze_y':0.7734329, 'gaze_z':2.889897, 'useGaze': True
'global_time':32.09251, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7942134, 'gaze_y':0.7444487, 'gaze_z':2.899473, 'useGaze': True
'global_time':19.11032, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4763159, 'gaze_y':0.2020229, 'gaze_z':3.176087, 'useGaze': True
'global_time':20.5998, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9555293, 'gaze_y':0.5076253, 'gaze_z':2.902266, 'useGaze': True
'global_time':1.371706, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.022314, 'gaze_y':0.6288603, 'gaze_z':2.904786, 'useGaze': True
'global_time':12.10078, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1612519, 'gaze_y':-0.1576093, 'gaze_z':3.169475, 'useGaze': True
'global_time':16.30865, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.001119, 'gaze_y':0.7446842, 'gaze_z':2.896178, 'useGaze': True
'global_time':18.07885, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1799543, 'gaze_y':-0.2129755, 'gaze_z':3.169194, 'useGaze': True
'global_time':18.86736, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1361573, 'gaze_y':-0.7071092, 'gaze_z':3.17068, 'useGaze': True
'global_time':21.27284, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.0446786, 'gaze_y':0.1348034, 'gaze_z':3.833451, 'useGaze': True
'global_time':22.64955, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7765428, 'gaze_y':0.4074447, 'gaze_z':2.999594, 'useGaze': True
'global_time':22.93428, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.1159627, 'gaze_y':0.1908264, 'gaze_z':3.173269, 'useGaze': True
'global_time':23.99454, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7776502, 'gaze_y':0.2886884, 'gaze_z':3.263302, 'useGaze': True
'global_time':24.54313, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.09253868, 'gaze_y':0.2194881, 'gaze_z':3.473895, 'useGaze': True
'global_time':34.29856, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9087878, 'gaze_y':0.3016318, 'gaze_z':2.89832, 'useGaze': True
'global_time':5.154268, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7744393, 'gaze_y':0.7001889, 'gaze_z':3.001417, 'useGaze': True
'global_time':5.978894, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7735359, 'gaze_y':0.6328015, 'gaze_z':3.503344, 'useGaze': True
'global_time':9.312886, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7746176, 'gaze_y':0.707077, 'gaze_z':3.53563, 'useGaze': True
'global_time':10.55645, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7724409, 'gaze_y':0.4925856, 'gaze_z':3.176472, 'useGaze': True
'global_time':11.41387, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.304285, 'gaze_y':0.7034833, 'gaze_z':2.903016, 'useGaze': True
'global_time':3.057839, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.8046713, 'gaze_y':0.6227812, 'gaze_z':2.8993, 'useGaze': True
'global_time':3.379826, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3186887, 'gaze_y':0.2199074, 'gaze_z':3.86255, 'useGaze': True
'global_time':3.858392, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7749509, 'gaze_y':0.6448991, 'gaze_z':2.956779, 'useGaze': True
'global_time':4.638103, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7754202, 'gaze_y':0.5983742, 'gaze_z':2.932233, 'useGaze': True
'global_time':9.241157, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.180649, 'gaze_y':0.7403114, 'gaze_z':2.89646, 'useGaze': True
'global_time':12.63291, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.03783, 'gaze_y':0.7779474, 'gaze_z':2.898452, 'useGaze': True
'global_time':6.491556, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7723326, 'gaze_y':0.6604373, 'gaze_z':2.902447, 'useGaze': True
'global_time':7.28412, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7757925, 'gaze_y':0.5147569, 'gaze_z':3.646618, 'useGaze': True
'global_time':3.288824, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9110275, 'gaze_y':0.7029918, 'gaze_z':2.904654, 'useGaze': True
'global_time':4.2289, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.8777285, 'gaze_y':0.8196048, 'gaze_z':2.904891, 'useGaze': True
'global_time':12.56874, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7735846, 'gaze_y':0.7200407, 'gaze_z':3.039533, 'useGaze': True
'global_time':12.92536, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.3052889, 'gaze_y':0.2198398, 'gaze_z':3.467816, 'useGaze': True
'global_time':13.36618, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7733731, 'gaze_y':0.7142582, 'gaze_z':2.915454, 'useGaze': True
'global_time':14.6434, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7737769, 'gaze_y':0.6276499, 'gaze_z':3.695698, 'useGaze': True
'global_time':5.169638, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.769488, 'gaze_y':0.6953247, 'gaze_z':3.526368, 'useGaze': True
'global_time':0.9590489, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.477854, 'gaze_y':0.7590669, 'gaze_z':2.899659, 'useGaze': True
'global_time':8.458766, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.7754729, 'gaze_y':0.04108477, 'gaze_z':2.990399, 'useGaze': True
'global_time':0.9114328, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.283638, 'gaze_y':0.6413864, 'gaze_z':2.902658, 'useGaze': True
'global_time':4.826205, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.590824, 'gaze_y':-0.1115594, 'gaze_z':2.910646, 'useGaze': True
'global_time':6.027455, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.644528, 'gaze_y':0.02331305, 'gaze_z':2.909493, 'useGaze': True
'global_time':6.334597, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.665174, 'gaze_y':0.1236326, 'gaze_z':2.909331, 'useGaze': True
'global_time':7.572877, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.268905, 'gaze_y':0.6820045, 'gaze_z':2.909033, 'useGaze': True
'global_time':10.17484, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.709922, 'gaze_y':0.5715781, 'gaze_z':2.909306, 'useGaze': True
'global_time':19.18585, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.230494, 'gaze_y':0.4947177, 'gaze_z':2.907204, 'useGaze': True
'global_time':23.02909, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.156831, 'gaze_y':0.8148173, 'gaze_z':3.063766, 'useGaze': True
'global_time':25.09001, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.545615, 'gaze_y':0.5145175, 'gaze_z':2.905157, 'useGaze': True
'global_time':7.681196, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-1.550314, 'gaze_y':0.2347042, 'gaze_z':2.910822, 'useGaze': True
'global_time':9.463311, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.5322258, 'gaze_y':0.2130858, 'gaze_z':3.176186, 'useGaze': True
'global_time':9.822792, 'center_x':-1.27, 'center_y':0.266089, 'center_z':3.4, 'gaze_x':-0.9807685, 'gaze_y':0.3825433, 'gaze_z':2.906392, 'useGaze': True
'global_time':10.48691, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.140007, 'gaze_y':0.06271303, 'gaze_z':3.176538, 'useGaze': True
'global_time':11.52874, 'center_x':0.55, 'center_y':-0.33, 'center_z':3.67, 'gaze_x':0.4414704, 'gaze_y':0.1506873, 'gaze_z':3.176907, 'useGaze': True
