'global_time':3.111053, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-2.527963, 'gaze_y':2.021748, 'gaze_z':5.99825
'global_time':3.125493, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-2.55895, 'gaze_y':2.013561, 'gaze_z':5.998307
'global_time':3.137907, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-2.592487, 'gaze_y':2.005867, 'gaze_z':5.998364
'global_time':4.064978, 'center_x':1.899999, 'center_y':2, 'center_z':6, 'gaze_x':0.7713276, 'gaze_y':2.539155, 'gaze_z':5.994542
'global_time':4.077659, 'center_x':1.799999, 'center_y':2, 'center_z':6, 'gaze_x':0.8388806, 'gaze_y':2.543246, 'gaze_z':5.994555
'global_time':4.091976, 'center_x':1.699999, 'center_y':2, 'center_z':6, 'gaze_x':0.883911, 'gaze_y':2.544155, 'gaze_z':5.994579
'global_time':4.104975, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':0.9170073, 'gaze_y':2.546526, 'gaze_z':5.994586
'global_time':4.117916, 'center_x':1.499999, 'center_y':2, 'center_z':6, 'gaze_x':0.8990771, 'gaze_y':2.53588, 'gaze_z':5.99466
'global_time':4.131876, 'center_x':1.399999, 'center_y':2, 'center_z':6, 'gaze_x':0.8597395, 'gaze_y':2.530391, 'gaze_z':5.994676
'global_time':4.143731, 'center_x':1.299999, 'center_y':2, 'center_z':6, 'gaze_x':0.8111978, 'gaze_y':2.523069, 'gaze_z':5.994701
'global_time':4.154881, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':0.7378563, 'gaze_y':2.515006, 'gaze_z':5.994716
'global_time':4.166869, 'center_x':1.1, 'center_y':2, 'center_z':6, 'gaze_x':0.6645533, 'gaze_y':2.501448, 'gaze_z':5.994777
'global_time':4.178354, 'center_x':0.9999997, 'center_y':2, 'center_z':6, 'gaze_x':0.5765527, 'gaze_y':2.486821, 'gaze_z':5.99484
'global_time':4.191646, 'center_x':0.8999997, 'center_y':2, 'center_z':6, 'gaze_x':0.4738846, 'gaze_y':2.467116, 'gaze_z':5.994935
'global_time':4.202857, 'center_x':0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':0.3746777, 'gaze_y':2.446819, 'gaze_z':5.995037
'global_time':4.213481, 'center_x':0.6999998, 'center_y':2, 'center_z':6, 'gaze_x':0.2649076, 'gaze_y':2.427495, 'gaze_z':5.99513
