'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':1.13274, 'head_position_x':-0.1267887, 'head_position_y':1.690228, 'head_position_z':-0.8860648
'global_time':1.145902, 'head_position_x':-0.1269053, 'head_position_y':1.69008, 'head_position_z':-0.8861076
'global_time':1.158143, 'head_position_x':-0.127004, 'head_position_y':1.690026, 'head_position_z':-0.8861195
'global_time':1.171101, 'head_position_x':-0.1270513, 'head_position_y':1.689995, 'head_position_z':-0.8860708
'global_time':1.183475, 'head_position_x':-0.1271451, 'head_position_y':1.689943, 'head_position_z':-0.8860745
'global_time':1.196081, 'head_position_x':-0.1274295, 'head_position_y':1.68983, 'head_position_z':-0.8860935
'global_time':1.208081, 'head_position_x':-0.1275539, 'head_position_y':1.68977, 'head_position_z':-0.8861174
'global_time':1.217671, 'head_position_x':-0.1276407, 'head_position_y':1.689738, 'head_position_z':-0.8860708
'global_time':1.229146, 'head_position_x':-0.1277283, 'head_position_y':1.689669, 'head_position_z':-0.8861041
'global_time':1.250418, 'head_position_x':-0.1279709, 'head_position_y':1.689492, 'head_position_z':-0.8861185
'global_time':1.264436, 'head_position_x':-0.1279453, 'head_position_y':1.689514, 'head_position_z':-0.8860434
'global_time':1.277516, 'head_position_x':-0.1282089, 'head_position_y':1.689457, 'head_position_z':-0.8861
'global_time':1.289549, 'head_position_x':-0.1282386, 'head_position_y':1.689522, 'head_position_z':-0.8859665
'global_time':1.300042, 'head_position_x':-0.1282862, 'head_position_y':1.689565, 'head_position_z':-0.885935
'global_time':1.311107, 'head_position_x':-0.1284504, 'head_position_y':1.68958, 'head_position_z':-0.8859524
'global_time':1.323997, 'head_position_x':-0.128512, 'head_position_y':1.689587, 'head_position_z':-0.8859317
'global_time':1.338393, 'head_position_x':-0.1284582, 'head_position_y':1.689618, 'head_position_z':-0.8858503
'global_time':1.350645, 'head_position_x':-0.1285726, 'head_position_y':1.689554, 'head_position_z':-0.8859441
'global_time':1.361843, 'head_position_x':-0.1285721, 'head_position_y':1.689546, 'head_position_z':-0.8859546
'global_time':1.373953, 'head_position_x':-0.1285639, 'head_position_y':1.689564, 'head_position_z':-0.8858112
'global_time':1.383443, 'head_position_x':-0.1285847, 'head_position_y':1.689545, 'head_position_z':-0.8858528
'global_time':1.396031, 'head_position_x':-0.1286698, 'head_position_y':1.689477, 'head_position_z':-0.8859454
'global_time':1.407464, 'head_position_x':-0.128699, 'head_position_y':1.689439, 'head_position_z':-0.8859977
'global_time':1.417627, 'head_position_x':-0.1286523, 'head_position_y':1.689441, 'head_position_z':-0.8859641
'global_time':1.430738, 'head_position_x':-0.1286917, 'head_position_y':1.689392, 'head_position_z':-0.8860018
'global_time':1.44156, 'head_position_x':-0.1287125, 'head_position_y':1.689396, 'head_position_z':-0.8860935
'global_time':1.453813, 'head_position_x':-0.1288421, 'head_position_y':1.689233, 'head_position_z':-0.8861746
'global_time':1.466268, 'head_position_x':-0.1289775, 'head_position_y':1.689162, 'head_position_z':-0.8863074
'global_time':1.476039, 'head_position_x':-0.1290315, 'head_position_y':1.689081, 'head_position_z':-0.8863998
'global_time':1.488578, 'head_position_x':-0.1290759, 'head_position_y':1.689071, 'head_position_z':-0.8863595
'global_time':1.499638, 'head_position_x':-0.1291291, 'head_position_y':1.689015, 'head_position_z':-0.8864616
