'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.9960895, 'gaze_vector_x':-0.571916, 'gaze_vector_y':0.08361265, 'gaze_vector_z':0.8160399
'gaze_vector':1.008229, 'gaze_vector_x':-0.569213, 'gaze_vector_y':0.08195874, 'gaze_vector_z':0.818095
'gaze_vector':1.021163, 'gaze_vector_x':-0.5642465, 'gaze_vector_y':0.07859661, 'gaze_vector_z':0.8218567
'gaze_vector':1.034192, 'gaze_vector_x':-0.5620308, 'gaze_vector_y':0.07718137, 'gaze_vector_z':0.8235074
'gaze_vector':1.046631, 'gaze_vector_x':-0.5602842, 'gaze_vector_y':0.07634367, 'gaze_vector_z':0.8247746
'gaze_vector':1.059461, 'gaze_vector_x':-0.5588743, 'gaze_vector_y':0.07551952, 'gaze_vector_z':0.8258065
'gaze_vector':1.071058, 'gaze_vector_x':-0.5576907, 'gaze_vector_y':0.07496938, 'gaze_vector_z':0.8266563
'gaze_vector':1.08405, 'gaze_vector_x':-0.5569444, 'gaze_vector_y':0.0743033, 'gaze_vector_z':0.8272195
'gaze_vector':1.09743, 'gaze_vector_x':-0.5564659, 'gaze_vector_y':0.07344854, 'gaze_vector_z':0.8276177
'gaze_vector':1.109463, 'gaze_vector_x':-0.5561773, 'gaze_vector_y':0.0727257, 'gaze_vector_z':0.8278754
'gaze_vector':1.121646, 'gaze_vector_x':-0.5558942, 'gaze_vector_y':0.07078724, 'gaze_vector_z':0.8282336
'gaze_vector':1.13274, 'gaze_vector_x':-0.5559159, 'gaze_vector_y':0.06988648, 'gaze_vector_z':0.8282955
'gaze_vector':1.145902, 'gaze_vector_x':-0.5562201, 'gaze_vector_y':0.06931519, 'gaze_vector_z':0.8281393
'gaze_vector':1.158143, 'gaze_vector_x':-0.55674, 'gaze_vector_y':0.06867328, 'gaze_vector_z':0.8278434
'gaze_vector':1.171101, 'gaze_vector_x':-0.5570528, 'gaze_vector_y':0.06812765, 'gaze_vector_z':0.827678
'gaze_vector':1.183475, 'gaze_vector_x':-0.5577109, 'gaze_vector_y':0.06768752, 'gaze_vector_z':0.8272707
'gaze_vector':1.196081, 'gaze_vector_x':-0.5584511, 'gaze_vector_y':0.06737769, 'gaze_vector_z':0.8267966
'gaze_vector':1.208081, 'gaze_vector_x':-0.5588308, 'gaze_vector_y':0.06697486, 'gaze_vector_z':0.8265728
'gaze_vector':1.217671, 'gaze_vector_x':-0.5593719, 'gaze_vector_y':0.06684547, 'gaze_vector_z':0.8262171
'gaze_vector':1.229146, 'gaze_vector_x':-0.5598118, 'gaze_vector_y':0.06634601, 'gaze_vector_z':0.8259594
'gaze_vector':1.250418, 'gaze_vector_x':-0.5604463, 'gaze_vector_y':0.06537014, 'gaze_vector_z':0.8256069
'gaze_vector':1.264436, 'gaze_vector_x':-0.5607623, 'gaze_vector_y':0.06515973, 'gaze_vector_z':0.8254089
'gaze_vector':1.277516, 'gaze_vector_x':-0.5608482, 'gaze_vector_y':0.06434213, 'gaze_vector_z':0.8254147
'gaze_vector':1.289549, 'gaze_vector_x':-0.5610436, 'gaze_vector_y':0.06450833, 'gaze_vector_z':0.825269
'gaze_vector':1.300042, 'gaze_vector_x':-0.5608166, 'gaze_vector_y':0.06464177, 'gaze_vector_z':0.8254128
'gaze_vector':1.311107, 'gaze_vector_x':-0.5607064, 'gaze_vector_y':0.06468748, 'gaze_vector_z':0.825484
'gaze_vector':1.323997, 'gaze_vector_x':-0.5602478, 'gaze_vector_y':0.06497712, 'gaze_vector_z':0.8257725
'gaze_vector':1.338393, 'gaze_vector_x':-0.5601161, 'gaze_vector_y':0.06471129, 'gaze_vector_z':0.8258828
'gaze_vector':1.350645, 'gaze_vector_x':-0.5595333, 'gaze_vector_y':0.0646636, 'gaze_vector_z':0.8262815
'gaze_vector':1.361843, 'gaze_vector_x':-0.559375, 'gaze_vector_y':0.06416706, 'gaze_vector_z':0.8264273
'gaze_vector':1.373953, 'gaze_vector_x':-0.5593653, 'gaze_vector_y':0.06379691, 'gaze_vector_z':0.8264626
'gaze_vector':1.383443, 'gaze_vector_x':-0.5589596, 'gaze_vector_y':0.06322955, 'gaze_vector_z':0.8267806
'gaze_vector':1.396031, 'gaze_vector_x':-0.5585397, 'gaze_vector_y':0.06278374, 'gaze_vector_z':0.8270983
'gaze_vector':1.407464, 'gaze_vector_x':-0.5580556, 'gaze_vector_y':0.0622794, 'gaze_vector_z':0.8274632
'gaze_vector':1.417627, 'gaze_vector_x':-0.557705, 'gaze_vector_y':0.06198925, 'gaze_vector_z':0.8277212
'gaze_vector':1.430738, 'gaze_vector_x':-0.5574135, 'gaze_vector_y':0.06177355, 'gaze_vector_z':0.8279337
'gaze_vector':1.44156, 'gaze_vector_x':-0.5571644, 'gaze_vector_y':0.06131262, 'gaze_vector_z':0.8281357
'gaze_vector':1.453813, 'gaze_vector_x':-0.5571446, 'gaze_vector_y':0.0609879, 'gaze_vector_z':0.8281729
'gaze_vector':1.466268, 'gaze_vector_x':-0.5569792, 'gaze_vector_y':0.06065838, 'gaze_vector_z':0.8283084
'gaze_vector':1.476039, 'gaze_vector_x':-0.5570655, 'gaze_vector_y':0.06040399, 'gaze_vector_z':0.8282689
'gaze_vector':1.488578, 'gaze_vector_x':-0.557115, 'gaze_vector_y':0.05998198, 'gaze_vector_z':0.8282663
'gaze_vector':1.499638, 'gaze_vector_x':-0.5572865, 'gaze_vector_y':0.05977286, 'gaze_vector_z':0.828166
'gaze_vector':1.510002, 'gaze_vector_x':-0.557375, 'gaze_vector_y':0.05939521, 'gaze_vector_z':0.8281336
'gaze_vector':1.526342, 'gaze_vector_x':-0.5574154, 'gaze_vector_y':0.05926291, 'gaze_vector_z':0.8281159
'gaze_vector':1.539337, 'gaze_vector_x':-0.5574832, 'gaze_vector_y':0.05921371, 'gaze_vector_z':0.8280739
'gaze_vector':1.550719, 'gaze_vector_x':-0.5575895, 'gaze_vector_y':0.05889157, 'gaze_vector_z':0.8280252
'gaze_vector':1.561952, 'gaze_vector_x':-0.5576196, 'gaze_vector_y':0.05888655, 'gaze_vector_z':0.8280053
'gaze_vector':1.574139, 'gaze_vector_x':-0.5577494, 'gaze_vector_y':0.05836862, 'gaze_vector_z':0.8279545
'gaze_vector':1.587013, 'gaze_vector_x':-0.5581662, 'gaze_vector_y':0.05805077, 'gaze_vector_z':0.827696
'gaze_vector':1.920347, 'gaze_vector_x':-0.5581288, 'gaze_vector_y':0.05786783, 'gaze_vector_z':0.827734
'gaze_vector':1.941793, 'gaze_vector_x':-0.4193543, 'gaze_vector_y':0.05652507, 'gaze_vector_z':0.9060612
'gaze_vector':1.954333, 'gaze_vector_x':-0.4139743, 'gaze_vector_y':0.05788564, 'gaze_vector_z':0.9084463
'gaze_vector':1.966536, 'gaze_vector_x':-0.4109031, 'gaze_vector_y':0.05860851, 'gaze_vector_z':0.9097933
'gaze_vector':1.980169, 'gaze_vector_x':-0.4078267, 'gaze_vector_y':0.0590266, 'gaze_vector_z':0.9111494
'gaze_vector':1.992564, 'gaze_vector_x':-0.4046121, 'gaze_vector_y':0.05977413, 'gaze_vector_z':0.9125328
'gaze_vector':2.005147, 'gaze_vector_x':-0.4013752, 'gaze_vector_y':0.0603369, 'gaze_vector_z':0.9139242
'gaze_vector':2.019298, 'gaze_vector_x':-0.3980653, 'gaze_vector_y':0.0610629, 'gaze_vector_z':0.9153225
'gaze_vector':2.030054, 'gaze_vector_x':-0.3946734, 'gaze_vector_y':0.06190471, 'gaze_vector_z':0.9167337
'gaze_vector':2.042733, 'gaze_vector_x':-0.3881334, 'gaze_vector_y':0.06302769, 'gaze_vector_z':0.9194455
'gaze_vector':2.055784, 'gaze_vector_x':-0.3851761, 'gaze_vector_y':0.06359119, 'gaze_vector_z':0.9206495
'gaze_vector':2.07036, 'gaze_vector_x':-0.3822311, 'gaze_vector_y':0.06375091, 'gaze_vector_z':0.921865
'gaze_vector':2.082104, 'gaze_vector_x':-0.379209, 'gaze_vector_y':0.06395434, 'gaze_vector_z':0.9230982
'gaze_vector':2.094649, 'gaze_vector_x':-0.3767418, 'gaze_vector_y':0.06440805, 'gaze_vector_z':0.9240764
'gaze_vector':2.10579, 'gaze_vector_x':-0.3744276, 'gaze_vector_y':0.06487629, 'gaze_vector_z':0.9249838
'gaze_vector':2.120719, 'gaze_vector_x':-0.369779, 'gaze_vector_y':0.06612525, 'gaze_vector_z':0.9267637
'gaze_vector':2.134901, 'gaze_vector_x':-0.3672392, 'gaze_vector_y':0.06700325, 'gaze_vector_z':0.9277101
'gaze_vector':2.146112, 'gaze_vector_x':-0.3646264, 'gaze_vector_y':0.06763763, 'gaze_vector_z':0.9286941
'gaze_vector':2.159316, 'gaze_vector_x':-0.3621664, 'gaze_vector_y':0.06792386, 'gaze_vector_z':0.9296353
'gaze_vector':2.173429, 'gaze_vector_x':-0.3597546, 'gaze_vector_y':0.06817111, 'gaze_vector_z':0.9305533
'gaze_vector':2.185183, 'gaze_vector_x':-0.3576108, 'gaze_vector_y':0.06815885, 'gaze_vector_z':0.9313801
'gaze_vector':2.195606, 'gaze_vector_x':-0.3556485, 'gaze_vector_y':0.06806599, 'gaze_vector_z':0.932138
'gaze_vector':2.206482, 'gaze_vector_x':-0.3535846, 'gaze_vector_y':0.06812561, 'gaze_vector_z':0.9329184
'gaze_vector':2.218498, 'gaze_vector_x':-0.3517097, 'gaze_vector_y':0.06791823, 'gaze_vector_z':0.933642
'gaze_vector':2.234453, 'gaze_vector_x':-0.3478211, 'gaze_vector_y':0.06803282, 'gaze_vector_z':0.9350893
'gaze_vector':2.248136, 'gaze_vector_x':-0.3458071, 'gaze_vector_y':0.0678511, 'gaze_vector_z':0.9358492
'gaze_vector':2.257848, 'gaze_vector_x':-0.3437632, 'gaze_vector_y':0.06788197, 'gaze_vector_z':0.9365996
'gaze_vector':2.271586, 'gaze_vector_x':-0.3419531, 'gaze_vector_y':0.0678217, 'gaze_vector_z':0.9372664
'gaze_vector':2.283572, 'gaze_vector_x':-0.3402082, 'gaze_vector_y':0.06774109, 'gaze_vector_z':0.937907
'gaze_vector':2.295877, 'gaze_vector_x':-0.3384576, 'gaze_vector_y':0.06784687, 'gaze_vector_z':0.9385325
'gaze_vector':2.305708, 'gaze_vector_x':-0.3367998, 'gaze_vector_y':0.06781853, 'gaze_vector_z':0.9391308
'gaze_vector':2.318348, 'gaze_vector_x':-0.3351649, 'gaze_vector_y':0.06783986, 'gaze_vector_z':0.9397139
'gaze_vector':2.330831, 'gaze_vector_x':-0.332517, 'gaze_vector_y':0.06791057, 'gaze_vector_z':0.940649
'gaze_vector':2.343958, 'gaze_vector_x':-0.3315099, 'gaze_vector_y':0.06812903, 'gaze_vector_z':0.9409886
'gaze_vector':2.356353, 'gaze_vector_x':-0.330257, 'gaze_vector_y':0.06764397, 'gaze_vector_z':0.9414641
'gaze_vector':2.368295, 'gaze_vector_x':-0.3289163, 'gaze_vector_y':0.06713718, 'gaze_vector_z':0.9419696
'gaze_vector':2.380098, 'gaze_vector_x':-0.3279486, 'gaze_vector_y':0.06677304, 'gaze_vector_z':0.9423328
'gaze_vector':2.39415, 'gaze_vector_x':-0.3267376, 'gaze_vector_y':0.06598182, 'gaze_vector_z':0.942809
'gaze_vector':2.40538, 'gaze_vector_x':-0.3256688, 'gaze_vector_y':0.06525934, 'gaze_vector_z':0.943229
'gaze_vector':2.415976, 'gaze_vector_x':-0.3247842, 'gaze_vector_y':0.06436783, 'gaze_vector_z':0.9435953
