'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':0.9641052, 'head_vector_x':-0.1244881, 'head_vector_y':-0.05807523, 'head_vector_z':0.9905201
'global_time':0.9744136, 'head_vector_x':-0.1331256, 'head_vector_y':-0.05169757, 'head_vector_z':0.9897499
'global_time':0.9853611, 'head_vector_x':-0.1421893, 'head_vector_y':-0.04462528, 'head_vector_z':0.9888331
'global_time':0.9960217, 'head_vector_x':-0.1514324, 'head_vector_y':-0.03736151, 'head_vector_z':0.9877613
'global_time':1.00794, 'head_vector_x':-0.1611632, 'head_vector_y':-0.02984877, 'head_vector_z':0.9864763
'global_time':1.02012, 'head_vector_x':-0.1710093, 'head_vector_y':-0.02315358, 'head_vector_z':0.9849973
'global_time':1.032252, 'head_vector_x':-0.1809982, 'head_vector_y':-0.01638421, 'head_vector_z':0.9833469
'global_time':1.043602, 'head_vector_x':-0.1908367, 'head_vector_y':-0.009653424, 'head_vector_z':0.9815744
'global_time':1.056703, 'head_vector_x':-0.2012572, 'head_vector_y':-0.002751902, 'head_vector_z':0.9795346
'global_time':1.067034, 'head_vector_x':-0.2114905, 'head_vector_y':0.003971554, 'head_vector_z':0.977372
'global_time':1.078641, 'head_vector_x':-0.2220501, 'head_vector_y':0.01082086, 'head_vector_z':0.9749752
'global_time':1.090706, 'head_vector_x':-0.232876, 'head_vector_y':0.01735356, 'head_vector_z':0.9723516
'global_time':1.102263, 'head_vector_x':-0.2434134, 'head_vector_y':0.02400493, 'head_vector_z':0.9696255
'global_time':1.11254, 'head_vector_x':-0.2540719, 'head_vector_y':0.03000967, 'head_vector_z':0.9667196
'global_time':1.123797, 'head_vector_x':-0.2644187, 'head_vector_y':0.03621488, 'head_vector_z':0.9637278
'global_time':1.133711, 'head_vector_x':-0.2752796, 'head_vector_y':0.04275268, 'head_vector_z':0.9604131
'global_time':1.145416, 'head_vector_x':-0.2856303, 'head_vector_y':0.04928274, 'head_vector_z':0.9570719
'global_time':1.156658, 'head_vector_x':-0.2961661, 'head_vector_y':0.05618036, 'head_vector_z':0.9534828
'global_time':1.170816, 'head_vector_x':-0.3064413, 'head_vector_y':0.06314655, 'head_vector_z':0.9497927
'global_time':1.182037, 'head_vector_x':-0.3165092, 'head_vector_y':0.06942091, 'head_vector_z':0.9460458
'global_time':1.193282, 'head_vector_x':-0.3260658, 'head_vector_y':0.07588634, 'head_vector_z':0.9422963
'global_time':1.20385, 'head_vector_x':-0.3355005, 'head_vector_y':0.08173804, 'head_vector_z':0.9384872
'global_time':1.215316, 'head_vector_x':-0.3447021, 'head_vector_y':0.08768173, 'head_vector_z':0.9346082
'global_time':1.22556, 'head_vector_x':-0.3534413, 'head_vector_y':0.09383088, 'head_vector_z':0.930739
'global_time':1.234809, 'head_vector_x':-0.3618265, 'head_vector_y':0.1000004, 'head_vector_z':0.9268665
'global_time':1.246091, 'head_vector_x':-0.3700528, 'head_vector_y':0.1061677, 'head_vector_z':0.9229243
'global_time':1.257812, 'head_vector_x':-0.3780982, 'head_vector_y':0.1119626, 'head_vector_z':0.9189702
'global_time':1.268049, 'head_vector_x':-0.385767, 'head_vector_y':0.1171181, 'head_vector_z':0.9151323
'global_time':1.279407, 'head_vector_x':-0.39356, 'head_vector_y':0.1217686, 'head_vector_z':0.9111986
'global_time':1.291417, 'head_vector_x':-0.4012066, 'head_vector_y':0.1255972, 'head_vector_z':0.907336
'global_time':1.30323, 'head_vector_x':-0.4088323, 'head_vector_y':0.1289382, 'head_vector_z':0.9034551
'global_time':1.315306, 'head_vector_x':-0.4163342, 'head_vector_y':0.132064, 'head_vector_z':0.8995693
'global_time':1.326099, 'head_vector_x':-0.4239255, 'head_vector_y':0.1348003, 'head_vector_z':0.8956093
'global_time':1.336379, 'head_vector_x':-0.4317265, 'head_vector_y':0.1376505, 'head_vector_z':0.8914396
'global_time':1.35094, 'head_vector_x':-0.4473271, 'head_vector_y':0.1423119, 'head_vector_z':0.8829755
'global_time':1.366456, 'head_vector_x':-0.4552896, 'head_vector_y':0.1445373, 'head_vector_z':0.8785331
'global_time':1.378992, 'head_vector_x':-0.4631385, 'head_vector_y':0.147178, 'head_vector_z':0.8739802
'global_time':1.389643, 'head_vector_x':-0.471176, 'head_vector_y':0.1495241, 'head_vector_z':0.8692731
'global_time':1.399183, 'head_vector_x':-0.4792608, 'head_vector_y':0.1517033, 'head_vector_z':0.8644624
'global_time':1.408421, 'head_vector_x':-0.4874851, 'head_vector_y':0.1534199, 'head_vector_z':0.8595468
'global_time':1.419571, 'head_vector_x':-0.4959262, 'head_vector_y':0.1548744, 'head_vector_z':0.854442
'global_time':1.429274, 'head_vector_x':-0.5044255, 'head_vector_y':0.1563323, 'head_vector_z':0.849185
'global_time':1.762608, 'head_vector_x':-0.5131068, 'head_vector_y':0.1573592, 'head_vector_z':0.8437769
'global_time':1.782765, 'head_vector_x':-0.8695484, 'head_vector_y':0.2183264, 'head_vector_z':0.4429665
'global_time':1.796366, 'head_vector_x':-0.8678753, 'head_vector_y':0.2182307, 'head_vector_z':0.4462823
'global_time':1.807241, 'head_vector_x':-0.8661122, 'head_vector_y':0.2178136, 'head_vector_z':0.4498966
'global_time':1.820057, 'head_vector_x':-0.8621508, 'head_vector_y':0.2166487, 'head_vector_z':0.4579949
'global_time':1.830914, 'head_vector_x':-0.8598747, 'head_vector_y':0.2163597, 'head_vector_z':0.4623895
'global_time':1.842455, 'head_vector_x':-0.8577028, 'head_vector_y':0.2159826, 'head_vector_z':0.4665805
'global_time':1.855944, 'head_vector_x':-0.8552272, 'head_vector_y':0.2155002, 'head_vector_z':0.4713238
'global_time':1.867857, 'head_vector_x':-0.8527935, 'head_vector_y':0.2148715, 'head_vector_z':0.4759976
'global_time':1.880234, 'head_vector_x':-0.8502943, 'head_vector_y':0.214135, 'head_vector_z':0.4807763
'global_time':1.893281, 'head_vector_x':-0.8476133, 'head_vector_y':0.2135744, 'head_vector_z':0.485734
'global_time':1.905429, 'head_vector_x':-0.8446493, 'head_vector_y':0.2133538, 'head_vector_z':0.4909664
'global_time':1.916588, 'head_vector_x':-0.8415557, 'head_vector_y':0.2132506, 'head_vector_z':0.4962946
'global_time':1.927186, 'head_vector_x':-0.8381575, 'head_vector_y':0.2131453, 'head_vector_z':0.5020567
'global_time':1.940177, 'head_vector_x':-0.8346287, 'head_vector_y':0.2129414, 'head_vector_z':0.5079871
'global_time':1.953334, 'head_vector_x':-0.8271884, 'head_vector_y':0.2125983, 'head_vector_z':0.5201552
'global_time':1.964817, 'head_vector_x':-0.8232011, 'head_vector_y':0.2128849, 'head_vector_z':0.5263271
'global_time':1.977, 'head_vector_x':-0.8186586, 'head_vector_y':0.213157, 'head_vector_z':0.5332561
'global_time':1.988766, 'head_vector_x':-0.8142811, 'head_vector_y':0.2135301, 'head_vector_z':0.5397696
'global_time':1.999138, 'head_vector_x':-0.8092035, 'head_vector_y':0.2143246, 'head_vector_z':0.5470417
'global_time':2.010801, 'head_vector_x':-0.8040057, 'head_vector_y':0.2151159, 'head_vector_z':0.5543466
'global_time':2.023133, 'head_vector_x':-0.798438, 'head_vector_y':0.2160955, 'head_vector_z':0.5619605
'global_time':2.034539, 'head_vector_x':-0.7926337, 'head_vector_y':0.2171529, 'head_vector_z':0.5697162
'global_time':2.046578, 'head_vector_x':-0.7867922, 'head_vector_y':0.2180961, 'head_vector_z':0.5774013
'global_time':2.057, 'head_vector_x':-0.7804772, 'head_vector_y':0.2195303, 'head_vector_z':0.5853732
'global_time':2.066869, 'head_vector_x':-0.7737678, 'head_vector_y':0.2210586, 'head_vector_z':0.5936468
'global_time':2.081168, 'head_vector_x':-0.7667897, 'head_vector_y':0.2224958, 'head_vector_z':0.6021039
'global_time':2.093269, 'head_vector_x':-0.759367, 'head_vector_y':0.2239085, 'head_vector_z':0.6109228
'global_time':2.104023, 'head_vector_x':-0.7520027, 'head_vector_y':0.2253434, 'head_vector_z':0.6194451
'global_time':2.113634, 'head_vector_x':-0.7441858, 'head_vector_y':0.2271153, 'head_vector_z':0.6281769
'global_time':2.12771, 'head_vector_x':-0.7360473, 'head_vector_y':0.2289892, 'head_vector_z':0.637023
'global_time':2.139073, 'head_vector_x':-0.7276045, 'head_vector_y':0.2308942, 'head_vector_z':0.6459718
'global_time':2.150249, 'head_vector_x':-0.7191992, 'head_vector_y':0.2326954, 'head_vector_z':0.6546795
'global_time':2.162317, 'head_vector_x':-0.7105196, 'head_vector_y':0.2348593, 'head_vector_z':0.6633272
'global_time':2.173417, 'head_vector_x':-0.7014866, 'head_vector_y':0.2371691, 'head_vector_z':0.672062
'global_time':2.184151, 'head_vector_x':-0.6926353, 'head_vector_y':0.2395273, 'head_vector_z':0.6803551
'global_time':2.195935, 'head_vector_x':-0.6836244, 'head_vector_y':0.2417098, 'head_vector_z':0.6886466
'global_time':2.207385, 'head_vector_x':-0.6744479, 'head_vector_y':0.2437923, 'head_vector_z':0.6969113
'global_time':2.2205, 'head_vector_x':-0.6560434, 'head_vector_y':0.247466, 'head_vector_z':0.7129991
'global_time':2.230726, 'head_vector_x':-0.6467467, 'head_vector_y':0.2494955, 'head_vector_z':0.7207432
'global_time':2.242288, 'head_vector_x':-0.6376626, 'head_vector_y':0.251212, 'head_vector_z':0.7282025
'global_time':2.252227, 'head_vector_x':-0.6286812, 'head_vector_y':0.253025, 'head_vector_z':0.7353491
'global_time':2.263463, 'head_vector_x':-0.6194706, 'head_vector_y':0.2551075, 'head_vector_z':0.7424126
'global_time':2.275735, 'head_vector_x':-0.6108943, 'head_vector_y':0.2569336, 'head_vector_z':0.7488614
'global_time':2.288007, 'head_vector_x':-0.6022369, 'head_vector_y':0.2586236, 'head_vector_z':0.7552645
'global_time':2.298703, 'head_vector_x':-0.5939427, 'head_vector_y':0.260243, 'head_vector_z':0.7612527
'global_time':2.310671, 'head_vector_x':-0.5856835, 'head_vector_y':0.2614258, 'head_vector_z':0.7672232
'global_time':2.324549, 'head_vector_x':-0.5776929, 'head_vector_y':0.2627379, 'head_vector_z':0.7728128
'global_time':2.336802, 'head_vector_x':-0.5696989, 'head_vector_y':0.2638565, 'head_vector_z':0.7783464
'global_time':2.347609, 'head_vector_x':-0.5622336, 'head_vector_y':0.2649132, 'head_vector_z':0.7833992
'global_time':2.360071, 'head_vector_x':-0.5546759, 'head_vector_y':0.2656452, 'head_vector_z':0.7885222
'global_time':2.370312, 'head_vector_x':-0.546975, 'head_vector_y':0.2664715, 'head_vector_z':0.7936065
'global_time':2.382121, 'head_vector_x':-0.5395967, 'head_vector_y':0.2669538, 'head_vector_z':0.7984805
'global_time':2.392562, 'head_vector_x':-0.5320043, 'head_vector_y':0.2673885, 'head_vector_z':0.8034145
'global_time':2.406199, 'head_vector_x':-0.5246705, 'head_vector_y':0.2674736, 'head_vector_z':0.8081948
'global_time':2.417024, 'head_vector_x':-0.5170224, 'head_vector_y':0.267701, 'head_vector_z':0.8130338
'global_time':2.433447, 'head_vector_x':-0.5095837, 'head_vector_y':0.2679045, 'head_vector_z':0.8176501
'global_time':2.446814, 'head_vector_x':-0.494224, 'head_vector_y':0.2690733, 'head_vector_z':0.8266451
'global_time':2.45928, 'head_vector_x':-0.4863582, 'head_vector_y':0.2697328, 'head_vector_z':0.8310835
'global_time':2.471604, 'head_vector_x':-0.4783898, 'head_vector_y':0.2702104, 'head_vector_z':0.8355415
'global_time':2.481998, 'head_vector_x':-0.4703585, 'head_vector_y':0.2706039, 'head_vector_z':0.8399622
'global_time':2.493133, 'head_vector_x':-0.4621136, 'head_vector_y':0.2708197, 'head_vector_z':0.844457
'global_time':2.505267, 'head_vector_x':-0.4537877, 'head_vector_y':0.2712049, 'head_vector_z':0.8488373
'global_time':2.517204, 'head_vector_x':-0.4454146, 'head_vector_y':0.2714551, 'head_vector_z':0.8531811
'global_time':2.528425, 'head_vector_x':-0.4369042, 'head_vector_y':0.2718988, 'head_vector_z':0.8574297
'global_time':2.538139, 'head_vector_x':-0.4282014, 'head_vector_y':0.272273, 'head_vector_z':0.8616908
'global_time':2.548815, 'head_vector_x':-0.4195686, 'head_vector_y':0.2725652, 'head_vector_z':0.8658351
'global_time':2.560191, 'head_vector_x':-0.4108561, 'head_vector_y':0.2729769, 'head_vector_z':0.8698741
'global_time':2.571678, 'head_vector_x':-0.4025122, 'head_vector_y':0.2736252, 'head_vector_z':0.8735635
'global_time':2.58147, 'head_vector_x':-0.3943636, 'head_vector_y':0.2743599, 'head_vector_z':0.8770428
'global_time':2.592515, 'head_vector_x':-0.3865997, 'head_vector_y':0.2752602, 'head_vector_z':0.8802117
'global_time':2.605145, 'head_vector_x':-0.3793333, 'head_vector_y':0.2767989, 'head_vector_z':0.8828865
'global_time':2.616384, 'head_vector_x':-0.3731562, 'head_vector_y':0.2786948, 'head_vector_z':0.8849202
'global_time':2.627278, 'head_vector_x':-0.3678989, 'head_vector_y':0.2811549, 'head_vector_z':0.886342
'global_time':2.638549, 'head_vector_x':-0.3637695, 'head_vector_y':0.2840267, 'head_vector_z':0.8871305
'global_time':2.648751, 'head_vector_x':-0.3609456, 'head_vector_y':0.286764, 'head_vector_z':0.8874034
'global_time':2.660351, 'head_vector_x':-0.3589368, 'head_vector_y':0.2895935, 'head_vector_z':0.8872992
'global_time':2.671498, 'head_vector_x':-0.3579951, 'head_vector_y':0.2924196, 'head_vector_z':0.8867527
'global_time':2.683856, 'head_vector_x':-0.3579591, 'head_vector_y':0.2965952, 'head_vector_z':0.8853793
'global_time':2.696228, 'head_vector_x':-0.358174, 'head_vector_y':0.305897, 'head_vector_z':0.8821216
'global_time':2.707438, 'head_vector_x':-0.3589246, 'head_vector_y':0.310719, 'head_vector_z':0.8801289
'global_time':2.717985, 'head_vector_x':-0.3606423, 'head_vector_y':0.3152296, 'head_vector_z':0.8778197
'global_time':2.729204, 'head_vector_x':-0.3626499, 'head_vector_y':0.3194261, 'head_vector_z':0.8754724
'global_time':2.740196, 'head_vector_x':-0.3651076, 'head_vector_y':0.3230231, 'head_vector_z':0.8731281
'global_time':2.751497, 'head_vector_x':-0.3681928, 'head_vector_y':0.3265039, 'head_vector_z':0.8705339
'global_time':2.762268, 'head_vector_x':-0.3712918, 'head_vector_y':0.330204, 'head_vector_z':0.8678178
'global_time':2.773952, 'head_vector_x':-0.374442, 'head_vector_y':0.3331608, 'head_vector_z':0.8653306
'global_time':2.786176, 'head_vector_x':-0.377368, 'head_vector_y':0.3363861, 'head_vector_z':0.8628081
'global_time':2.796173, 'head_vector_x':-0.3804209, 'head_vector_y':0.3388965, 'head_vector_z':0.8604819
'global_time':2.806704, 'head_vector_x':-0.3831569, 'head_vector_y':0.3409134, 'head_vector_z':0.8584689
'global_time':2.818491, 'head_vector_x':-0.3856268, 'head_vector_y':0.3427247, 'head_vector_z':0.8566399
'global_time':2.829021, 'head_vector_x':-0.3879027, 'head_vector_y':0.3446943, 'head_vector_z':0.8548201
'global_time':2.840177, 'head_vector_x':-0.3896351, 'head_vector_y':0.3461755, 'head_vector_z':0.8534325
'global_time':2.851315, 'head_vector_x':-0.3911327, 'head_vector_y':0.3479177, 'head_vector_z':0.8520378
'global_time':2.863947, 'head_vector_x':-0.3926123, 'head_vector_y':0.3492997, 'head_vector_z':0.850791
'global_time':2.875796, 'head_vector_x':-0.3938076, 'head_vector_y':0.350321, 'head_vector_z':0.8498181
'global_time':2.886342, 'head_vector_x':-0.3953648, 'head_vector_y':0.3510044, 'head_vector_z':0.8488125
'global_time':2.896573, 'head_vector_x':-0.3972354, 'head_vector_y':0.351261, 'head_vector_z':0.8478324
'global_time':2.90647, 'head_vector_x':-0.4000268, 'head_vector_y':0.3512395, 'head_vector_z':0.8465278
'global_time':2.91794, 'head_vector_x':-0.4035331, 'head_vector_y':0.3507145, 'head_vector_z':0.8450801
'global_time':2.929927, 'head_vector_x':-0.4074469, 'head_vector_y':0.3502263, 'head_vector_z':0.843403
'global_time':2.939771, 'head_vector_x':-0.4117879, 'head_vector_y':0.3491588, 'head_vector_z':0.8417356
'global_time':2.951192, 'head_vector_x':-0.4164514, 'head_vector_y':0.3478241, 'head_vector_z':0.839992
'global_time':2.962974, 'head_vector_x':-0.4215711, 'head_vector_y':0.3461924, 'head_vector_z':0.8381101
'global_time':2.973447, 'head_vector_x':-0.4272137, 'head_vector_y':0.3440773, 'head_vector_z':0.8361216
'global_time':2.985349, 'head_vector_x':-0.4337277, 'head_vector_y':0.341819, 'head_vector_z':0.8336906
'global_time':2.996834, 'head_vector_x':-0.4405372, 'head_vector_y':0.3393319, 'head_vector_z':0.8311322
'global_time':3.008699, 'head_vector_x':-0.448693, 'head_vector_y':0.336484, 'head_vector_z':0.827921
'global_time':3.020244, 'head_vector_x':-0.4567581, 'head_vector_y':0.3333827, 'head_vector_z':0.8247594
'global_time':3.032238, 'head_vector_x':-0.4654242, 'head_vector_y':0.3299893, 'head_vector_z':0.8212718
'global_time':3.04408, 'head_vector_x':-0.4743631, 'head_vector_y':0.3263105, 'head_vector_z':0.8176192
'global_time':3.054583, 'head_vector_x':-0.483638, 'head_vector_y':0.3222111, 'head_vector_z':0.8138024
'global_time':3.063796, 'head_vector_x':-0.4925736, 'head_vector_y':0.3182905, 'head_vector_z':0.8099768
'global_time':3.073516, 'head_vector_x':-0.5017903, 'head_vector_y':0.3147089, 'head_vector_z':0.8057076
'global_time':3.086831, 'head_vector_x':-0.5107398, 'head_vector_y':0.3114985, 'head_vector_z':0.8013198
'global_time':3.097146, 'head_vector_x':-0.5195857, 'head_vector_y':0.308165, 'head_vector_z':0.7969097
'global_time':3.108252, 'head_vector_x':-0.5283581, 'head_vector_y':0.3048553, 'head_vector_z':0.792402
'global_time':3.118447, 'head_vector_x':-0.5364501, 'head_vector_y':0.3020454, 'head_vector_z':0.7880291
'global_time':3.128963, 'head_vector_x':-0.5444541, 'head_vector_y':0.2992257, 'head_vector_z':0.783603
'global_time':3.139893, 'head_vector_x':-0.5517596, 'head_vector_y':0.296944, 'head_vector_z':0.7793495
'global_time':3.151184, 'head_vector_x':-0.558912, 'head_vector_y':0.2952398, 'head_vector_z':0.7748877
'global_time':3.162805, 'head_vector_x':-0.5660406, 'head_vector_y':0.2937513, 'head_vector_z':0.770265
'global_time':3.174136, 'head_vector_x':-0.5734097, 'head_vector_y':0.2924387, 'head_vector_z':0.7652979
'global_time':3.185598, 'head_vector_x':-0.5810782, 'head_vector_y':0.2913772, 'head_vector_z':0.7598996
'global_time':3.196976, 'head_vector_x':-0.589017, 'head_vector_y':0.2902151, 'head_vector_z':0.754211
'global_time':3.208591, 'head_vector_x':-0.5974462, 'head_vector_y':0.289473, 'head_vector_z':0.7478392
'global_time':3.220096, 'head_vector_x':-0.6059777, 'head_vector_y':0.2886821, 'head_vector_z':0.7412515
'global_time':3.231731, 'head_vector_x':-0.6144801, 'head_vector_y':0.2873022, 'head_vector_z':0.7347597
'global_time':3.243631, 'head_vector_x':-0.6228327, 'head_vector_y':0.2856465, 'head_vector_z':0.7283444
'global_time':3.255008, 'head_vector_x':-0.6311935, 'head_vector_y':0.283664, 'head_vector_z':0.721893
'global_time':3.266698, 'head_vector_x':-0.6395708, 'head_vector_y':0.2818287, 'head_vector_z':0.7152075
'global_time':3.277116, 'head_vector_x':-0.6479951, 'head_vector_y':0.2804028, 'head_vector_z':0.7081501
'global_time':3.287392, 'head_vector_x':-0.6562819, 'head_vector_y':0.2792905, 'head_vector_z':0.7009214
'global_time':3.300008, 'head_vector_x':-0.6644208, 'head_vector_y':0.2782757, 'head_vector_z':0.6936192
'global_time':3.310477, 'head_vector_x':-0.6724519, 'head_vector_y':0.2771206, 'head_vector_z':0.6863036
'global_time':3.321858, 'head_vector_x':-0.6801313, 'head_vector_y':0.2757636, 'head_vector_z':0.6792465
'global_time':3.333581, 'head_vector_x':-0.6876304, 'head_vector_y':0.2744214, 'head_vector_z':0.6722033
'global_time':3.345078, 'head_vector_x':-0.6944734, 'head_vector_y':0.2731275, 'head_vector_z':0.6656637
'global_time':3.357057, 'head_vector_x':-0.7013737, 'head_vector_y':0.2719181, 'head_vector_z':0.6588895
'global_time':3.371579, 'head_vector_x':-0.7076575, 'head_vector_y':0.2709062, 'head_vector_z':0.6525571
'global_time':3.384099, 'head_vector_x':-0.7134033, 'head_vector_y':0.2702973, 'head_vector_z':0.6465253
'global_time':3.393471, 'head_vector_x':-0.7188187, 'head_vector_y':0.269873, 'head_vector_z':0.640678
'global_time':3.404276, 'head_vector_x':-0.7234041, 'head_vector_y':0.27004, 'head_vector_z':0.635425
'global_time':3.41703, 'head_vector_x':-0.7274395, 'head_vector_y':0.2703646, 'head_vector_z':0.6306622
'global_time':3.428133, 'head_vector_x':-0.7309198, 'head_vector_y':0.2710416, 'head_vector_z':0.6263328
'global_time':3.438799, 'head_vector_x':-0.7338993, 'head_vector_y':0.2721617, 'head_vector_z':0.6223503
'global_time':3.450252, 'head_vector_x':-0.7365765, 'head_vector_y':0.2736292, 'head_vector_z':0.6185322
'global_time':3.461643, 'head_vector_x':-0.7388381, 'head_vector_y':0.2755132, 'head_vector_z':0.6149885
'global_time':3.472266, 'head_vector_x':-0.7408932, 'head_vector_y':0.2780374, 'head_vector_z':0.6113693
'global_time':3.483792, 'head_vector_x':-0.7429135, 'head_vector_y':0.2812679, 'head_vector_z':0.6074272
'global_time':3.49416, 'head_vector_x':-0.744954, 'head_vector_y':0.2859329, 'head_vector_z':0.6027321
'global_time':3.504341, 'head_vector_x':-0.7470358, 'head_vector_y':0.2913646, 'head_vector_z':0.5975318
'global_time':3.514854, 'head_vector_x':-0.7497412, 'head_vector_y':0.2969227, 'head_vector_z':0.5913756
'global_time':3.526532, 'head_vector_x':-0.7526761, 'head_vector_y':0.301934, 'head_vector_z':0.5850766
'global_time':3.537098, 'head_vector_x':-0.7557204, 'head_vector_y':0.3063388, 'head_vector_z':0.5788293
'global_time':3.547815, 'head_vector_x':-0.7590216, 'head_vector_y':0.3111574, 'head_vector_z':0.571898
'global_time':3.560309, 'head_vector_x':-0.762237, 'head_vector_y':0.3160746, 'head_vector_z':0.564882
'global_time':3.574857, 'head_vector_x':-0.7691661, 'head_vector_y':0.3273944, 'head_vector_z':0.5488138
