'global_time':14.8165, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.600209, 'gaze_y':2.263321, 'gaze_z':4.932438, 'useGaze': True
'global_time':15.0871, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.941682, 'gaze_y':2.529237, 'gaze_z':3.540448, 'useGaze': True
'global_time':15.39224, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.938329, 'gaze_y':2.098854, 'gaze_z':1.988031, 'useGaze': True
'global_time':15.89019, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.930809, 'gaze_y':2.189884, 'gaze_z':0.7026348, 'useGaze': True
'global_time':16.18015, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.93098, 'gaze_y':1.350258, 'gaze_z':2.100804, 'useGaze': True
'global_time':16.83869, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.9473971, 'gaze_y':2.156224, 'gaze_z':4.935772, 'useGaze': True
'global_time':16.9679, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.676871, 'gaze_y':2.194461, 'gaze_z':4.935742, 'useGaze': True
'global_time':17.20147, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.933307, 'gaze_y':2.064412, 'gaze_z':0.1838323, 'useGaze': True
'global_time':17.50475, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.930865, 'gaze_y':2.398798, 'gaze_z':2.09214, 'useGaze': True
'global_time':17.53855, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.931401, 'gaze_y':2.4697, 'gaze_z':3.526555, 'useGaze': True
'global_time':17.79375, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.380649, 'gaze_y':2.41576, 'gaze_z':4.942073, 'useGaze': True
'global_time':18.0736, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.8146232, 'gaze_y':1.435571, 'gaze_z':4.937531, 'useGaze': True
'global_time':18.78131, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.940998, 'gaze_y':2.221466, 'gaze_z':4.068949, 'useGaze': True
'global_time':18.87927, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.938334, 'gaze_y':2.083318, 'gaze_z':1.583744, 'useGaze': True
