'global_time':16.75056, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':17.23392, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':17.19392,  'useGaze':True, 'useVal':True
'global_time':18.11068, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.8767669,  'useGaze':True, 'useVal':True
'global_time':18.66171, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5510204,  'useGaze':True, 'useVal':True
'global_time':19.25368, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5919724,  'useGaze':True, 'useVal':True
'global_time':20.17929, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.9256205,  'useGaze':True, 'useVal':True
'global_time':21.45274, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':21.79379, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':22.13518, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':23.47347, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':23.78348, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':24.39616, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':True
'global_time':24.99555, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':4.816257,  'useGaze':True, 'useVal':True
'global_time':25.80121, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8056492,  'useGaze':True, 'useVal':True
'global_time':26.34367, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.542457,  'useGaze':True, 'useVal':True
'global_time':26.94822, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.6045561,  'useGaze':True, 'useVal':True
'global_time':27.53716, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5889408,  'useGaze':True, 'useVal':True
'global_time':28.08087, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5437122,  'useGaze':True, 'useVal':True
'global_time':28.62164, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5407744,  'useGaze':True, 'useVal':True
