'global_time':17.22226, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.657386, 'gaze_y':1.472386, 'gaze_z':2.943608, 'useGaze': True
'global_time':18.09905, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.84674, 'gaze_y':2.396877, 'gaze_z':2.931692, 'useGaze': True
'global_time':18.65018, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.230513, 'gaze_y':1.454059, 'gaze_z':2.937544, 'useGaze': True
'global_time':19.24159, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.549935, 'gaze_y':1.361414, 'gaze_z':2.944113, 'useGaze': True
'global_time':20.1674, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.853494, 'gaze_y':2.40847, 'gaze_z':2.931109, 'useGaze': True
'global_time':21.44151, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.441999, 'gaze_y':2.419601, 'gaze_z':2.934966, 'useGaze': True
'global_time':21.78282, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.1628067, 'gaze_y':2.478611, 'gaze_z':2.932436, 'useGaze': True
'global_time':22.1238, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.76252, 'gaze_y':2.411941, 'gaze_z':2.931612, 'useGaze': True
'global_time':23.46229, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.765376, 'gaze_y':2.304504, 'gaze_z':2.935324, 'useGaze': True
'global_time':23.77126, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.68902, 'gaze_y':1.421657, 'gaze_z':2.935808, 'useGaze': True
'global_time':24.38399, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.1407639, 'gaze_y':2.400198, 'gaze_z':2.935052, 'useGaze': True
'global_time':24.9836, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.793122, 'gaze_y':1.235171, 'gaze_z':2.945282, 'useGaze': True
'global_time':25.7893, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.780657, 'gaze_y':1.30969, 'gaze_z':2.941777, 'useGaze': True
'global_time':26.33093, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.736907, 'gaze_y':2.347127, 'gaze_z':2.939072, 'useGaze': True
'global_time':26.93647, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.752645, 'gaze_y':1.360894, 'gaze_z':2.94427, 'useGaze': True
'global_time':27.52466, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':-0.03315234, 'gaze_y':2.299749, 'gaze_z':2.937811, 'useGaze': True
'global_time':28.06966, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.61824, 'gaze_y':2.230311, 'gaze_z':2.937109, 'useGaze': True
'global_time':28.60979, 'center_x':0, 'center_y':2.5, 'center_z':3, 'gaze_x':0.3551894, 'gaze_y':2.268329, 'gaze_z':2.940033, 'useGaze': True
