'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.115972, 'head_position_x':0.3655411, 'head_position_y':1.655179, 'head_position_z':-0.3687473
'global_time':1.127087, 'head_position_x':0.3656328, 'head_position_y':1.655256, 'head_position_z':-0.3686875
'global_time':1.137781, 'head_position_x':0.3657394, 'head_position_y':1.655243, 'head_position_z':-0.3687577
'global_time':1.149054, 'head_position_x':0.3656516, 'head_position_y':1.655141, 'head_position_z':-0.3683215
'global_time':1.160636, 'head_position_x':0.3656875, 'head_position_y':1.655099, 'head_position_z':-0.3682998
'global_time':1.172227, 'head_position_x':0.3657061, 'head_position_y':1.655085, 'head_position_z':-0.3681716
'global_time':1.182985, 'head_position_x':0.3657441, 'head_position_y':1.655083, 'head_position_z':-0.3680468
'global_time':1.193218, 'head_position_x':0.3657286, 'head_position_y':1.655154, 'head_position_z':-0.3679264
'global_time':1.202876, 'head_position_x':0.3658034, 'head_position_y':1.655195, 'head_position_z':-0.3678204
'global_time':1.215483, 'head_position_x':0.3657552, 'head_position_y':1.655241, 'head_position_z':-0.3674019
'global_time':1.226222, 'head_position_x':0.3657961, 'head_position_y':1.655236, 'head_position_z':-0.3672454
'global_time':1.237594, 'head_position_x':0.3658518, 'head_position_y':1.655249, 'head_position_z':-0.3670506
'global_time':1.2492, 'head_position_x':0.3659001, 'head_position_y':1.655227, 'head_position_z':-0.3668807
'global_time':1.260888, 'head_position_x':0.3659665, 'head_position_y':1.655209, 'head_position_z':-0.3667222
'global_time':1.274013, 'head_position_x':0.3660001, 'head_position_y':1.655198, 'head_position_z':-0.3664861
'global_time':1.285673, 'head_position_x':0.3660201, 'head_position_y':1.65517, 'head_position_z':-0.3662909
'global_time':1.296881, 'head_position_x':0.3660004, 'head_position_y':1.65519, 'head_position_z':-0.366104
'global_time':1.308514, 'head_position_x':0.3660174, 'head_position_y':1.655177, 'head_position_z':-0.3658629
'global_time':1.319234, 'head_position_x':0.3659153, 'head_position_y':1.655178, 'head_position_z':-0.3656789
'global_time':1.327676, 'head_position_x':0.3659148, 'head_position_y':1.655097, 'head_position_z':-0.3653538
'global_time':1.339325, 'head_position_x':0.3657661, 'head_position_y':1.655035, 'head_position_z':-0.3650662
'global_time':1.349149, 'head_position_x':0.3656399, 'head_position_y':1.655037, 'head_position_z':-0.3645805
'global_time':1.358757, 'head_position_x':0.3655149, 'head_position_y':1.654964, 'head_position_z':-0.3642883
'global_time':1.371991, 'head_position_x':0.3653218, 'head_position_y':1.654897, 'head_position_z':-0.364009
'global_time':1.383812, 'head_position_x':0.3651118, 'head_position_y':1.654791, 'head_position_z':-0.3637636
'global_time':1.396009, 'head_position_x':0.3649401, 'head_position_y':1.65471, 'head_position_z':-0.3633763
'global_time':1.407489, 'head_position_x':0.3647133, 'head_position_y':1.654655, 'head_position_z':-0.3631087
