'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.063062, 'head_vector_x':-0.1062611, 'head_vector_y':0.07729957, 'head_vector_z':0.9913291
'global_time':1.074196, 'head_vector_x':-0.1105126, 'head_vector_y':0.07623781, 'head_vector_z':0.9909464
'global_time':1.085286, 'head_vector_x':-0.1145648, 'head_vector_y':0.07251351, 'head_vector_z':0.9907657
'global_time':1.096221, 'head_vector_x':-0.1188307, 'head_vector_y':0.06692389, 'head_vector_z':0.9906566
'global_time':1.107469, 'head_vector_x':-0.1224182, 'head_vector_y':0.06086144, 'head_vector_z':0.9906108
'global_time':1.118407, 'head_vector_x':-0.1258793, 'head_vector_y':0.0550161, 'head_vector_z':0.9905189
'global_time':1.129612, 'head_vector_x':-0.129366, 'head_vector_y':0.04961411, 'head_vector_z':0.990355
'global_time':1.14132, 'head_vector_x':-0.1331538, 'head_vector_y':0.0437832, 'head_vector_z':0.9901278
'global_time':1.152879, 'head_vector_x':-0.1368798, 'head_vector_y':0.03905976, 'head_vector_z':0.9898173
'global_time':1.16334, 'head_vector_x':-0.1408934, 'head_vector_y':0.03524684, 'head_vector_z':0.9893972
'global_time':1.174265, 'head_vector_x':-0.1446223, 'head_vector_y':0.03250055, 'head_vector_z':0.9889531
'global_time':1.18568, 'head_vector_x':-0.1468488, 'head_vector_y':0.03090645, 'head_vector_z':0.988676
'global_time':1.196463, 'head_vector_x':-0.1476678, 'head_vector_y':0.02824616, 'head_vector_z':0.9886336
'global_time':1.208061, 'head_vector_x':-0.1470593, 'head_vector_y':0.02496213, 'head_vector_z':0.9888126
'global_time':1.219535, 'head_vector_x':-0.1460833, 'head_vector_y':0.02240971, 'head_vector_z':0.9890184
'global_time':1.234578, 'head_vector_x':-0.1445054, 'head_vector_y':0.02062129, 'head_vector_z':0.9892891
'global_time':1.246156, 'head_vector_x':-0.1420917, 'head_vector_y':0.01959756, 'head_vector_z':0.9896595
'global_time':1.255631, 'head_vector_x':-0.1400496, 'head_vector_y':0.0189843, 'head_vector_z':0.9899625
'global_time':1.267755, 'head_vector_x':-0.1372138, 'head_vector_y':0.0187193, 'head_vector_z':0.9903646
