'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.9751879, 'gaze_vector_x':-0.07653345, 'gaze_vector_y':0.08992439, 'gaze_vector_z':0.9930037
'gaze_vector':0.9864314, 'gaze_vector_x':-0.08086769, 'gaze_vector_y':0.08701579, 'gaze_vector_z':0.9929193
'gaze_vector':0.9970768, 'gaze_vector_x':-0.08489913, 'gaze_vector_y':0.08457673, 'gaze_vector_z':0.9927935
'gaze_vector':1.008878, 'gaze_vector_x':-0.0883932, 'gaze_vector_y':0.08286131, 'gaze_vector_z':0.9926332
'gaze_vector':1.020482, 'gaze_vector_x':-0.0919104, 'gaze_vector_y':0.08125152, 'gaze_vector_z':0.9924468
'gaze_vector':1.030776, 'gaze_vector_x':-0.09536196, 'gaze_vector_y':0.08002645, 'gaze_vector_z':0.9922207
'gaze_vector':1.04136, 'gaze_vector_x':-0.09873646, 'gaze_vector_y':0.0790305, 'gaze_vector_z':0.9919704
'gaze_vector':1.051999, 'gaze_vector_x':-0.1024342, 'gaze_vector_y':0.07822094, 'gaze_vector_z':0.9916596
'gaze_vector':1.063062, 'gaze_vector_x':-0.1062611, 'gaze_vector_y':0.07729957, 'gaze_vector_z':0.9913291
'gaze_vector':1.074196, 'gaze_vector_x':-0.1105126, 'gaze_vector_y':0.07623781, 'gaze_vector_z':0.9909464
'gaze_vector':1.085286, 'gaze_vector_x':-0.1145648, 'gaze_vector_y':0.07251351, 'gaze_vector_z':0.9907657
'gaze_vector':1.096221, 'gaze_vector_x':-0.1188307, 'gaze_vector_y':0.06692389, 'gaze_vector_z':0.9906566
'gaze_vector':1.107469, 'gaze_vector_x':-0.1224182, 'gaze_vector_y':0.06086144, 'gaze_vector_z':0.9906108
'gaze_vector':1.118407, 'gaze_vector_x':-0.1258793, 'gaze_vector_y':0.0550161, 'gaze_vector_z':0.9905189
