'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.096221, 'head_position_x':0.07246176, 'head_position_y':1.626908, 'head_position_z':-0.05409675
'global_time':1.107469, 'head_position_x':0.07186255, 'head_position_y':1.626393, 'head_position_z':-0.05376811
'global_time':1.118407, 'head_position_x':0.07117128, 'head_position_y':1.625781, 'head_position_z':-0.05356407
'global_time':1.129612, 'head_position_x':0.07052854, 'head_position_y':1.625172, 'head_position_z':-0.05322854
'global_time':1.14132, 'head_position_x':0.06974278, 'head_position_y':1.624419, 'head_position_z':-0.05293188
'global_time':1.152879, 'head_position_x':0.06893031, 'head_position_y':1.623697, 'head_position_z':-0.05265422
'global_time':1.16334, 'head_position_x':0.06814641, 'head_position_y':1.623093, 'head_position_z':-0.05222114
'global_time':1.174265, 'head_position_x':0.06741307, 'head_position_y':1.622611, 'head_position_z':-0.05171744
'global_time':1.18568, 'head_position_x':0.06675002, 'head_position_y':1.622213, 'head_position_z':-0.05127184
'global_time':1.196463, 'head_position_x':0.06622467, 'head_position_y':1.621787, 'head_position_z':-0.05098623
'global_time':1.208061, 'head_position_x':0.0657531, 'head_position_y':1.621352, 'head_position_z':-0.05073066
'global_time':1.219535, 'head_position_x':0.06537351, 'head_position_y':1.620984, 'head_position_z':-0.05048343
'global_time':1.234578, 'head_position_x':0.06492431, 'head_position_y':1.620663, 'head_position_z':-0.05020627
'global_time':1.246156, 'head_position_x':0.06434598, 'head_position_y':1.620448, 'head_position_z':-0.04957692
'global_time':1.255631, 'head_position_x':0.0637426, 'head_position_y':1.620278, 'head_position_z':-0.04919508
'global_time':1.267755, 'head_position_x':0.06303274, 'head_position_y':1.620188, 'head_position_z':-0.04892534
'global_time':1.278585, 'head_position_x':0.06219661, 'head_position_y':1.619979, 'head_position_z':-0.0486238
'global_time':1.292851, 'head_position_x':0.06138121, 'head_position_y':1.619699, 'head_position_z':-0.04843642
'global_time':1.303786, 'head_position_x':0.06045979, 'head_position_y':1.619464, 'head_position_z':-0.04808571
'global_time':1.314097, 'head_position_x':0.05962568, 'head_position_y':1.619291, 'head_position_z':-0.04779431
'global_time':1.325083, 'head_position_x':0.05879097, 'head_position_y':1.619213, 'head_position_z':-0.04741555
'global_time':1.336218, 'head_position_x':0.05802679, 'head_position_y':1.619275, 'head_position_z':-0.04702104
'global_time':1.345813, 'head_position_x':0.05723374, 'head_position_y':1.619452, 'head_position_z':-0.04665706
'global_time':1.356366, 'head_position_x':0.05631369, 'head_position_y':1.61957, 'head_position_z':-0.04630298
'global_time':1.367029, 'head_position_x':0.0553286, 'head_position_y':1.619662, 'head_position_z':-0.04598667
'global_time':1.377755, 'head_position_x':0.05434093, 'head_position_y':1.619732, 'head_position_z':-0.045699
'global_time':1.388349, 'head_position_x':0.05332936, 'head_position_y':1.619705, 'head_position_z':-0.04548017
'global_time':1.399093, 'head_position_x':0.05229887, 'head_position_y':1.619734, 'head_position_z':-0.04532219
'global_time':1.41023, 'head_position_x':0.05123018, 'head_position_y':1.619807, 'head_position_z':-0.04494968
'global_time':1.421173, 'head_position_x':0.0500442, 'head_position_y':1.619933, 'head_position_z':-0.04469873
'global_time':1.433427, 'head_position_x':0.04868439, 'head_position_y':1.620062, 'head_position_z':-0.04454088
'global_time':1.445689, 'head_position_x':0.04719804, 'head_position_y':1.620335, 'head_position_z':-0.04431393
'global_time':1.456349, 'head_position_x':0.04571726, 'head_position_y':1.620482, 'head_position_z':-0.04413441
'global_time':1.467127, 'head_position_x':0.04416089, 'head_position_y':1.6206, 'head_position_z':-0.04390661
'global_time':1.478723, 'head_position_x':0.04252455, 'head_position_y':1.620693, 'head_position_z':-0.04370101
'global_time':1.488106, 'head_position_x':0.04088949, 'head_position_y':1.620762, 'head_position_z':-0.04350243
'global_time':1.498433, 'head_position_x':0.03930287, 'head_position_y':1.62089, 'head_position_z':-0.04339145
'global_time':1.507426, 'head_position_x':0.03767945, 'head_position_y':1.621001, 'head_position_z':-0.04331023
'global_time':1.518517, 'head_position_x':0.03603327, 'head_position_y':1.621145, 'head_position_z':-0.04320059
'global_time':1.529486, 'head_position_x':0.03429262, 'head_position_y':1.621297, 'head_position_z':-0.04297883
'global_time':1.540454, 'head_position_x':0.0323858, 'head_position_y':1.621447, 'head_position_z':-0.04275538
'global_time':1.55175, 'head_position_x':0.03052139, 'head_position_y':1.621585, 'head_position_z':-0.04251951
'global_time':1.56284, 'head_position_x':0.02866288, 'head_position_y':1.621596, 'head_position_z':-0.04237075
'global_time':1.575022, 'head_position_x':0.02674345, 'head_position_y':1.621568, 'head_position_z':-0.04226913
'global_time':1.585176, 'head_position_x':0.0248321, 'head_position_y':1.621423, 'head_position_z':-0.04225497
'global_time':1.596369, 'head_position_x':0.02287287, 'head_position_y':1.62138, 'head_position_z':-0.04227165
'global_time':1.607771, 'head_position_x':0.02091478, 'head_position_y':1.621342, 'head_position_z':-0.04223151
'global_time':1.619338, 'head_position_x':0.01894498, 'head_position_y':1.62127, 'head_position_z':-0.04215561
'global_time':1.629568, 'head_position_x':0.01693534, 'head_position_y':1.62125, 'head_position_z':-0.04208733
'global_time':1.642042, 'head_position_x':0.01494983, 'head_position_y':1.621248, 'head_position_z':-0.04196252
'global_time':1.653488, 'head_position_x':0.01289746, 'head_position_y':1.621142, 'head_position_z':-0.04154401
'global_time':1.662961, 'head_position_x':0.01090853, 'head_position_y':1.621073, 'head_position_z':-0.04146113
'global_time':1.674335, 'head_position_x':0.008938533, 'head_position_y':1.620938, 'head_position_z':-0.04133787
'global_time':1.685648, 'head_position_x':0.006987127, 'head_position_y':1.620817, 'head_position_z':-0.0413175
'global_time':1.704477, 'head_position_x':0.004959749, 'head_position_y':1.620764, 'head_position_z':-0.04126167
'global_time':1.716939, 'head_position_x':0.002919369, 'head_position_y':1.620791, 'head_position_z':-0.04117708
'global_time':1.728541, 'head_position_x':0.0008454553, 'head_position_y':1.620812, 'head_position_z':-0.04107294
'global_time':1.738953, 'head_position_x':-0.0012924, 'head_position_y':1.620826, 'head_position_z':-0.04100389
'global_time':1.753415, 'head_position_x':-0.003396878, 'head_position_y':1.620806, 'head_position_z':-0.04100376
'global_time':1.763935, 'head_position_x':-0.007638208, 'head_position_y':1.62069, 'head_position_z':-0.04118791
'global_time':1.773842, 'head_position_x':-0.009679146, 'head_position_y':1.62062, 'head_position_z':-0.04138675
'global_time':1.78484, 'head_position_x':-0.01173284, 'head_position_y':1.620605, 'head_position_z':-0.04150457
'global_time':1.797189, 'head_position_x':-0.01380912, 'head_position_y':1.620597, 'head_position_z':-0.04167739
'global_time':1.808405, 'head_position_x':-0.01589806, 'head_position_y':1.620654, 'head_position_z':-0.04177786
'global_time':1.820439, 'head_position_x':-0.01798195, 'head_position_y':1.620732, 'head_position_z':-0.04176639
'global_time':1.831925, 'head_position_x':-0.0200115, 'head_position_y':1.620694, 'head_position_z':-0.04177791
'global_time':1.844638, 'head_position_x':-0.02207407, 'head_position_y':1.620633, 'head_position_z':-0.04184728
'global_time':1.857406, 'head_position_x':-0.0241169, 'head_position_y':1.620568, 'head_position_z':-0.04192797
'global_time':1.868528, 'head_position_x':-0.02614608, 'head_position_y':1.620435, 'head_position_z':-0.04200297
'global_time':1.878635, 'head_position_x':-0.02827426, 'head_position_y':1.620494, 'head_position_z':-0.04223976
'global_time':1.888162, 'head_position_x':-0.03023157, 'head_position_y':1.620103, 'head_position_z':-0.04290449
'global_time':1.900461, 'head_position_x':-0.03218178, 'head_position_y':1.619973, 'head_position_z':-0.04312836
'global_time':1.91404, 'head_position_x':-0.03408441, 'head_position_y':1.619596, 'head_position_z':-0.04362263
'global_time':1.924461, 'head_position_x':-0.03577836, 'head_position_y':1.61926, 'head_position_z':-0.04376674
'global_time':1.936055, 'head_position_x':-0.03738834, 'head_position_y':1.618895, 'head_position_z':-0.04414675
'global_time':1.945746, 'head_position_x':-0.03894362, 'head_position_y':1.618341, 'head_position_z':-0.04447785
'global_time':1.958467, 'head_position_x':-0.04055284, 'head_position_y':1.617892, 'head_position_z':-0.04457392
'global_time':1.970982, 'head_position_x':-0.04203152, 'head_position_y':1.617634, 'head_position_z':-0.04505728
'global_time':1.982087, 'head_position_x':-0.04362524, 'head_position_y':1.617455, 'head_position_z':-0.04557119
'global_time':1.995091, 'head_position_x':-0.04503592, 'head_position_y':1.617447, 'head_position_z':-0.04621615
'global_time':2.004914, 'head_position_x':-0.04667571, 'head_position_y':1.617731, 'head_position_z':-0.04608011
'global_time':2.017745, 'head_position_x':-0.04813183, 'head_position_y':1.618433, 'head_position_z':-0.04596234
'global_time':2.02881, 'head_position_x':-0.0495369, 'head_position_y':1.618902, 'head_position_z':-0.04582508
'global_time':2.041428, 'head_position_x':-0.0518099, 'head_position_y':1.619134, 'head_position_z':-0.04625379
'global_time':2.053962, 'head_position_x':-0.05277524, 'head_position_y':1.61952, 'head_position_z':-0.04646852
'global_time':2.066745, 'head_position_x':-0.05376245, 'head_position_y':1.620109, 'head_position_z':-0.04655495
'global_time':2.080378, 'head_position_x':-0.05480168, 'head_position_y':1.620922, 'head_position_z':-0.04643397
'global_time':2.092474, 'head_position_x':-0.05584843, 'head_position_y':1.621921, 'head_position_z':-0.0461881
'global_time':2.103381, 'head_position_x':-0.05692722, 'head_position_y':1.622764, 'head_position_z':-0.04568774
'global_time':2.112687, 'head_position_x':-0.05796291, 'head_position_y':1.623396, 'head_position_z':-0.04541527
'global_time':2.124647, 'head_position_x':-0.05893997, 'head_position_y':1.623925, 'head_position_z':-0.04502902
'global_time':2.136364, 'head_position_x':-0.05976616, 'head_position_y':1.624195, 'head_position_z':-0.04509274
'global_time':2.148145, 'head_position_x':-0.0603592, 'head_position_y':1.624663, 'head_position_z':-0.04476269
'global_time':2.16207, 'head_position_x':-0.0608746, 'head_position_y':1.624968, 'head_position_z':-0.04444841
'global_time':2.173897, 'head_position_x':-0.06123317, 'head_position_y':1.625256, 'head_position_z':-0.04430323
'global_time':2.185347, 'head_position_x':-0.06153674, 'head_position_y':1.625545, 'head_position_z':-0.04411171
'global_time':2.197149, 'head_position_x':-0.06184017, 'head_position_y':1.625823, 'head_position_z':-0.04393744
'global_time':2.208356, 'head_position_x':-0.06245865, 'head_position_y':1.626341, 'head_position_z':-0.04358504
'global_time':2.222198, 'head_position_x':-0.06270051, 'head_position_y':1.626615, 'head_position_z':-0.04336671
'global_time':2.234605, 'head_position_x':-0.06294742, 'head_position_y':1.626734, 'head_position_z':-0.04315217
'global_time':2.24725, 'head_position_x':-0.06305759, 'head_position_y':1.626749, 'head_position_z':-0.04299786
'global_time':2.259261, 'head_position_x':-0.06301709, 'head_position_y':1.626637, 'head_position_z':-0.04283589
'global_time':2.269758, 'head_position_x':-0.06290746, 'head_position_y':1.626585, 'head_position_z':-0.04256243
'global_time':2.283149, 'head_position_x':-0.0627422, 'head_position_y':1.626675, 'head_position_z':-0.04213975
'global_time':2.295439, 'head_position_x':-0.06256687, 'head_position_y':1.626809, 'head_position_z':-0.04171506
'global_time':2.308092, 'head_position_x':-0.06210111, 'head_position_y':1.627032, 'head_position_z':-0.04070425
'global_time':2.320993, 'head_position_x':-0.0617939, 'head_position_y':1.627134, 'head_position_z':-0.04019964
'global_time':2.333043, 'head_position_x':-0.06135365, 'head_position_y':1.627138, 'head_position_z':-0.03976003
'global_time':2.344526, 'head_position_x':-0.06081985, 'head_position_y':1.627108, 'head_position_z':-0.03927935
'global_time':2.357417, 'head_position_x':-0.06029609, 'head_position_y':1.627074, 'head_position_z':-0.03872563
'global_time':2.368983, 'head_position_x':-0.05970845, 'head_position_y':1.627227, 'head_position_z':-0.03809636
'global_time':2.379994, 'head_position_x':-0.05907764, 'head_position_y':1.627371, 'head_position_z':-0.03732399
'global_time':2.391151, 'head_position_x':-0.05847509, 'head_position_y':1.627295, 'head_position_z':-0.03675046
'global_time':2.402564, 'head_position_x':-0.05782531, 'head_position_y':1.626983, 'head_position_z':-0.03627507
'global_time':2.413491, 'head_position_x':-0.05711837, 'head_position_y':1.626492, 'head_position_z':-0.03584427
'global_time':2.425071, 'head_position_x':-0.05637529, 'head_position_y':1.62591, 'head_position_z':-0.03566159
'global_time':2.43665, 'head_position_x':-0.05566356, 'head_position_y':1.625447, 'head_position_z':-0.03496353
'global_time':2.448444, 'head_position_x':-0.05489361, 'head_position_y':1.624983, 'head_position_z':-0.03462947
'global_time':2.4603, 'head_position_x':-0.05404496, 'head_position_y':1.624595, 'head_position_z':-0.03447223
'global_time':2.471764, 'head_position_x':-0.05311574, 'head_position_y':1.624425, 'head_position_z':-0.03416657
'global_time':2.483543, 'head_position_x':-0.05217823, 'head_position_y':1.624267, 'head_position_z':-0.03390967
'global_time':2.495569, 'head_position_x':-0.05107765, 'head_position_y':1.624283, 'head_position_z':-0.03362677
'global_time':2.510832, 'head_position_x':-0.04856014, 'head_position_y':1.624263, 'head_position_z':-0.03327008
'global_time':2.522073, 'head_position_x':-0.04716865, 'head_position_y':1.624302, 'head_position_z':-0.03314205
'global_time':2.533928, 'head_position_x':-0.04558525, 'head_position_y':1.624519, 'head_position_z':-0.033047
'global_time':2.867261, 'head_position_x':-0.0439949, 'head_position_y':1.62494, 'head_position_z':-0.03285821
'global_time':2.885778, 'head_position_x':0.08337582, 'head_position_y':1.632973, 'head_position_z':-0.02191403
'global_time':2.897305, 'head_position_x':0.08465667, 'head_position_y':1.633408, 'head_position_z':-0.02167821
'global_time':2.910231, 'head_position_x':0.08593491, 'head_position_y':1.63355, 'head_position_z':-0.02159781
'global_time':2.919918, 'head_position_x':0.08729015, 'head_position_y':1.633252, 'head_position_z':-0.02183593
'global_time':2.931819, 'head_position_x':0.08864806, 'head_position_y':1.633003, 'head_position_z':-0.02202959
'global_time':2.944135, 'head_position_x':0.09001332, 'head_position_y':1.633017, 'head_position_z':-0.02234839
'global_time':2.956429, 'head_position_x':0.09134468, 'head_position_y':1.632957, 'head_position_z':-0.02241781
'global_time':2.97205, 'head_position_x':0.09400283, 'head_position_y':1.632733, 'head_position_z':-0.02266396
'global_time':2.982167, 'head_position_x':0.09528605, 'head_position_y':1.632889, 'head_position_z':-0.0226986
'global_time':2.993927, 'head_position_x':0.09656682, 'head_position_y':1.633061, 'head_position_z':-0.02300193
'global_time':3.004197, 'head_position_x':0.09776406, 'head_position_y':1.633206, 'head_position_z':-0.0230172
'global_time':3.01764, 'head_position_x':0.09890628, 'head_position_y':1.633186, 'head_position_z':-0.02315452
'global_time':3.028398, 'head_position_x':0.09991015, 'head_position_y':1.633256, 'head_position_z':-0.02320916
'global_time':3.039222, 'head_position_x':0.1011474, 'head_position_y':1.633213, 'head_position_z':-0.02348959
'global_time':3.051317, 'head_position_x':0.1020918, 'head_position_y':1.633368, 'head_position_z':-0.02358202
'global_time':3.061505, 'head_position_x':0.1030121, 'head_position_y':1.633584, 'head_position_z':-0.02351648
'global_time':3.072682, 'head_position_x':0.1039095, 'head_position_y':1.633761, 'head_position_z':-0.02369989
'global_time':3.084632, 'head_position_x':0.1048223, 'head_position_y':1.633879, 'head_position_z':-0.0238027
'global_time':3.095655, 'head_position_x':0.1056422, 'head_position_y':1.633856, 'head_position_z':-0.02398297
'global_time':3.107784, 'head_position_x':0.1064177, 'head_position_y':1.633735, 'head_position_z':-0.02417497
'global_time':3.119159, 'head_position_x':0.107168, 'head_position_y':1.633856, 'head_position_z':-0.02430983
'global_time':3.131886, 'head_position_x':0.1080354, 'head_position_y':1.634095, 'head_position_z':-0.02452972
'global_time':3.143377, 'head_position_x':0.1087789, 'head_position_y':1.634143, 'head_position_z':-0.02496858
'global_time':3.15403, 'head_position_x':0.1096696, 'head_position_y':1.633801, 'head_position_z':-0.02617659
'global_time':3.166042, 'head_position_x':0.1102603, 'head_position_y':1.633917, 'head_position_z':-0.02627796
'global_time':3.179162, 'head_position_x':0.1107554, 'head_position_y':1.63425, 'head_position_z':-0.02620259
'global_time':3.191475, 'head_position_x':0.1117339, 'head_position_y':1.635178, 'head_position_z':-0.02584102
'global_time':3.203667, 'head_position_x':0.1121333, 'head_position_y':1.635345, 'head_position_z':-0.0257403
'global_time':3.214286, 'head_position_x':0.1124846, 'head_position_y':1.635386, 'head_position_z':-0.0256819
'global_time':3.228405, 'head_position_x':0.112372, 'head_position_y':1.635835, 'head_position_z':-0.0235227
'global_time':3.239848, 'head_position_x':0.1119885, 'head_position_y':1.635947, 'head_position_z':-0.02260573
'global_time':3.251574, 'head_position_x':0.1119683, 'head_position_y':1.635626, 'head_position_z':-0.02252347
'global_time':3.261248, 'head_position_x':0.11183, 'head_position_y':1.635662, 'head_position_z':-0.02236719
'global_time':3.273948, 'head_position_x':0.1117661, 'head_position_y':1.635474, 'head_position_z':-0.02226799
'global_time':3.285198, 'head_position_x':0.1116372, 'head_position_y':1.635573, 'head_position_z':-0.02226037
'global_time':3.296463, 'head_position_x':0.1115367, 'head_position_y':1.63587, 'head_position_z':-0.02230127
'global_time':3.307114, 'head_position_x':0.1110671, 'head_position_y':1.636399, 'head_position_z':-0.02135544
'global_time':3.318398, 'head_position_x':0.1104458, 'head_position_y':1.636768, 'head_position_z':-0.02133129
'global_time':3.329757, 'head_position_x':0.1098238, 'head_position_y':1.636766, 'head_position_z':-0.02141428
'global_time':3.34098, 'head_position_x':0.1091091, 'head_position_y':1.636849, 'head_position_z':-0.02173854
'global_time':3.351753, 'head_position_x':0.1081941, 'head_position_y':1.637124, 'head_position_z':-0.02184727
'global_time':3.362932, 'head_position_x':0.1071536, 'head_position_y':1.637292, 'head_position_z':-0.02216821
'global_time':3.374027, 'head_position_x':0.1060689, 'head_position_y':1.637251, 'head_position_z':-0.02228229
'global_time':3.385313, 'head_position_x':0.1048926, 'head_position_y':1.637264, 'head_position_z':-0.02253259
'global_time':3.402817, 'head_position_x':0.10253, 'head_position_y':1.637559, 'head_position_z':-0.02295076
'global_time':3.413877, 'head_position_x':0.1012657, 'head_position_y':1.637446, 'head_position_z':-0.02303236
'global_time':3.425495, 'head_position_x':0.09994133, 'head_position_y':1.637209, 'head_position_z':-0.02321858
'global_time':3.43592, 'head_position_x':0.09856869, 'head_position_y':1.637032, 'head_position_z':-0.02345654
'global_time':3.446478, 'head_position_x':0.0971285, 'head_position_y':1.637047, 'head_position_z':-0.02348942
'global_time':3.458882, 'head_position_x':0.09563699, 'head_position_y':1.637157, 'head_position_z':-0.02331175
'global_time':3.468646, 'head_position_x':0.09393417, 'head_position_y':1.63747, 'head_position_z':-0.02308311
'global_time':3.478328, 'head_position_x':0.09193488, 'head_position_y':1.638054, 'head_position_z':-0.02129788
'global_time':3.489489, 'head_position_x':0.09022996, 'head_position_y':1.638416, 'head_position_z':-0.02127798
'global_time':3.501445, 'head_position_x':0.0884232, 'head_position_y':1.638572, 'head_position_z':-0.02125826
'global_time':3.511555, 'head_position_x':0.08659893, 'head_position_y':1.638601, 'head_position_z':-0.02142879
