114.625, 7.043587, 6.975929
114.6385, 9.566761, 6.97907
114.651, 7.886176, 6.896146
114.6641, 5.903583, 6.727509
114.6785, 4.012871, 6.497087
114.6931, 9.007191, 6.539739
114.7075, 6.728602, 6.464311
114.7211, 4.882768, 6.22956
114.7559, 8.022902, 6.190451
114.7662, 7.554978, 6.378171
114.7769, 6.339771, 6.439449
114.7868, 6.155275, 6.446255
114.7999, 7.571122, 6.376734
114.8739, 8.734087, 6.577365
114.8869, 9.952698, 6.894714
114.9248, 7.790542, 7.076224
114.939, 7.239372, 7.137187
114.953, 6.640471, 7.145682
114.9673, 6.781816, 7.170546
114.981, 7.130729, 7.247266
114.9939, 7.280224, 7.259097
115.0057, 5.640348, 7.062777
115.0187, 5.197671, 6.928352
115.0332, 5.021328, 6.88424
115.046, 5.106954, 6.938943
115.0568, 5.902555, 6.783712
115.0681, 6.037544, 6.749159
115.079, 5.143561, 6.762198
115.091, 5.174651, 6.619786
115.1041, 5.329152, 6.508494
115.1187, 5.468031, 6.464908
115.1335, 5.213413, 6.417815
115.148, 5.774747, 6.327996
115.1609, 5.010158, 6.1418
115.1743, 4.801294, 5.88423
115.1869, 5.236391, 5.756522
115.2003, 5.020747, 5.645591
115.2148, 5.068534, 5.566994
115.2279, 4.62251, 5.459029
115.2408, 4.354574, 5.320221
115.2557, 4.747633, 5.193591
115.2687, 3.362998, 5.079724
115.2825, 4.074545, 5.023568
115.2962, 3.616675, 4.953335
115.3079, 8.968351, 5.146405
115.3197, 2.937889, 4.998171
115.3311, 3.223514, 4.85747
115.404, 0, 4.600291
115.4153, 0, 4.341559
115.4373, 6.248163, 4.387509
115.4487, 4.128823, 4.320549
115.4596, 8.656106, 4.492683
115.4709, 6.002295, 4.504061
115.4819, 3.539611, 4.430533
115.493, 3.396937, 4.360316
115.5043, 3.524888, 4.274741
115.5154, 3.677197, 4.207563
115.5263, 4.835138, 4.195893
115.5379, 4.835927, 4.206564
115.5511, 7.958991, 4.386785
115.5639, 8.178085, 4.558308
115.5883, 9.306569, 4.855486
115.6004, 9.488555, 5.126187
115.6119, 9.030793, 5.396893
115.624, 8.661059, 5.381528
115.6362, 7.099353, 5.589601
115.648, 9.936334, 5.925242
115.6641, 9.875836, 6.419034
115.6815, 7.392749, 6.788671
115.6947, 5.698018, 6.761163
115.708, 5.576804, 6.833562
115.7213, 5.193239, 6.660418
115.7348, 5.901636, 6.655385
115.7488, 5.204987, 6.738654
115.7613, 5.582465, 6.84793
115.7734, 4.376273, 6.890499
115.7864, 3.986916, 6.905985
115.7994, 4.521729, 6.890315
115.8098, 4.793483, 6.888193
115.8218, 4.882556, 6.734371
115.8329, 4.877251, 6.56933
115.8441, 6.364495, 6.422227
115.8579, 7.855223, 6.34056
115.8716, 9.362845, 6.357162
115.8857, 8.93002, 6.370611
115.899, 8.636559, 6.447472
115.9259, 6.838122, 6.292561
