'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.063384, 'head_vector_x':-0.0340657, 'head_vector_y':0.003300071, 'head_vector_z':0.9994141
'global_time':1.074834, 'head_vector_x':-0.008275793, 'head_vector_y':0.00440763, 'head_vector_z':0.999956
'global_time':1.086479, 'head_vector_x':0.01326494, 'head_vector_y':0.006312256, 'head_vector_z':0.9998921
'global_time':1.098387, 'head_vector_x':0.03262594, 'head_vector_y':0.007400868, 'head_vector_z':0.9994403
'global_time':1.110594, 'head_vector_x':0.04764054, 'head_vector_y':0.00710856, 'head_vector_z':0.9988393
'global_time':1.121628, 'head_vector_x':0.0628536, 'head_vector_y':0.006149166, 'head_vector_z':0.9980038
'global_time':1.131975, 'head_vector_x':0.07723325, 'head_vector_y':0.004977044, 'head_vector_z':0.9970006
'global_time':1.144402, 'head_vector_x':0.08939869, 'head_vector_y':0.004581433, 'head_vector_z':0.9959854
'global_time':1.155795, 'head_vector_x':0.1004429, 'head_vector_y':0.005128862, 'head_vector_z':0.9949296
'global_time':1.168202, 'head_vector_x':0.1069342, 'head_vector_y':0.006872022, 'head_vector_z':0.9942424
'global_time':1.181591, 'head_vector_x':0.1124133, 'head_vector_y':0.008565191, 'head_vector_z':0.9936246
'global_time':1.19323, 'head_vector_x':0.1146208, 'head_vector_y':0.01083887, 'head_vector_z':0.9933502
'global_time':1.209006, 'head_vector_x':0.1172912, 'head_vector_y':0.01160316, 'head_vector_z':0.9930298
'global_time':1.220484, 'head_vector_x':0.1221778, 'head_vector_y':0.01230382, 'head_vector_z':0.992432
'global_time':1.230913, 'head_vector_x':0.1231057, 'head_vector_y':0.01276797, 'head_vector_z':0.9923114
'global_time':1.243352, 'head_vector_x':0.1230005, 'head_vector_y':0.01333665, 'head_vector_z':0.992317
'global_time':1.2563, 'head_vector_x':0.120982, 'head_vector_y':0.0142435, 'head_vector_z':0.9925525
'global_time':1.268067, 'head_vector_x':0.1181794, 'head_vector_y':0.01534687, 'head_vector_z':0.9928737
'global_time':1.280441, 'head_vector_x':0.1151081, 'head_vector_y':0.01646701, 'head_vector_z':0.9932165
'global_time':1.293807, 'head_vector_x':0.1119102, 'head_vector_y':0.01707909, 'head_vector_z':0.9935715
'global_time':1.304974, 'head_vector_x':0.1088946, 'head_vector_y':0.01724758, 'head_vector_z':0.9939036
'global_time':1.315495, 'head_vector_x':0.1059781, 'head_vector_y':0.01770314, 'head_vector_z':0.9942108
'global_time':1.326088, 'head_vector_x':0.1032528, 'head_vector_y':0.01782989, 'head_vector_z':0.9944953
'global_time':1.337979, 'head_vector_x':0.1011149, 'head_vector_y':0.01846294, 'head_vector_z':0.9947034
'global_time':1.350677, 'head_vector_x':0.09900983, 'head_vector_y':0.01906024, 'head_vector_z':0.9949039
'global_time':1.361507, 'head_vector_x':0.09738586, 'head_vector_y':0.01996668, 'head_vector_z':0.9950464
'global_time':1.371848, 'head_vector_x':0.09604794, 'head_vector_y':0.02074589, 'head_vector_z':0.9951605
'global_time':1.38252, 'head_vector_x':0.09536228, 'head_vector_y':0.02182341, 'head_vector_z':0.9952034
'global_time':1.394611, 'head_vector_x':0.09489048, 'head_vector_y':0.02294879, 'head_vector_z':0.9952232
'global_time':1.404979, 'head_vector_x':0.09478528, 'head_vector_y':0.02455777, 'head_vector_z':0.9951948
'global_time':1.414943, 'head_vector_x':0.09542151, 'head_vector_y':0.02641759, 'head_vector_z':0.9950864
'global_time':1.426641, 'head_vector_x':0.0962356, 'head_vector_y':0.02782843, 'head_vector_z':0.9949695
'global_time':1.439303, 'head_vector_x':0.09734055, 'head_vector_y':0.02962562, 'head_vector_z':0.9948101
'global_time':1.45123, 'head_vector_x':0.09854937, 'head_vector_y':0.03072899, 'head_vector_z':0.9946576
'global_time':1.463158, 'head_vector_x':0.1009703, 'head_vector_y':0.03218979, 'head_vector_z':0.9943686
