'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.121628, 'head_position_x':0.2362412, 'head_position_y':1.629344, 'head_position_z':-0.009039409
'global_time':1.131975, 'head_position_x':0.2364929, 'head_position_y':1.629171, 'head_position_z':-0.009813777
'global_time':1.144402, 'head_position_x':0.2363521, 'head_position_y':1.629168, 'head_position_z':-0.01056856
'global_time':1.155795, 'head_position_x':0.2358809, 'head_position_y':1.629139, 'head_position_z':-0.01100251
'global_time':1.168202, 'head_position_x':0.2350413, 'head_position_y':1.629267, 'head_position_z':-0.01149231
'global_time':1.181591, 'head_position_x':0.234036, 'head_position_y':1.629335, 'head_position_z':-0.01200298
'global_time':1.19323, 'head_position_x':0.2325784, 'head_position_y':1.629349, 'head_position_z':-0.01236039
'global_time':1.209006, 'head_position_x':0.2309521, 'head_position_y':1.630507, 'head_position_z':-0.01213625
'global_time':1.220484, 'head_position_x':0.2273205, 'head_position_y':1.630646, 'head_position_z':-0.0129877
'global_time':1.230913, 'head_position_x':0.2250596, 'head_position_y':1.630541, 'head_position_z':-0.01322417
'global_time':1.243352, 'head_position_x':0.2225853, 'head_position_y':1.630588, 'head_position_z':-0.01350746
'global_time':1.2563, 'head_position_x':0.2197842, 'head_position_y':1.630517, 'head_position_z':-0.01370474
'global_time':1.268067, 'head_position_x':0.2169077, 'head_position_y':1.630476, 'head_position_z':-0.01387641
'global_time':1.280441, 'head_position_x':0.2138082, 'head_position_y':1.630317, 'head_position_z':-0.01399384
'global_time':1.293807, 'head_position_x':0.210577, 'head_position_y':1.630189, 'head_position_z':-0.01415128
'global_time':1.304974, 'head_position_x':0.2073101, 'head_position_y':1.630087, 'head_position_z':-0.01427947
'global_time':1.315495, 'head_position_x':0.2037227, 'head_position_y':1.630008, 'head_position_z':-0.01443812
'global_time':1.326088, 'head_position_x':0.1999047, 'head_position_y':1.629976, 'head_position_z':-0.01422969
'global_time':1.337979, 'head_position_x':0.1961372, 'head_position_y':1.62994, 'head_position_z':-0.01426845
'global_time':1.350677, 'head_position_x':0.1923809, 'head_position_y':1.629888, 'head_position_z':-0.01430311
'global_time':1.361507, 'head_position_x':0.1884297, 'head_position_y':1.629648, 'head_position_z':-0.01427559
'global_time':1.371848, 'head_position_x':0.1844698, 'head_position_y':1.629486, 'head_position_z':-0.01428057
'global_time':1.38252, 'head_position_x':0.1804367, 'head_position_y':1.629344, 'head_position_z':-0.01423415
'global_time':1.394611, 'head_position_x':0.1764264, 'head_position_y':1.629282, 'head_position_z':-0.01417009
'global_time':1.404979, 'head_position_x':0.1723158, 'head_position_y':1.629136, 'head_position_z':-0.01394517
'global_time':1.414943, 'head_position_x':0.1681223, 'head_position_y':1.629135, 'head_position_z':-0.01378231
'global_time':1.426641, 'head_position_x':0.1636774, 'head_position_y':1.629213, 'head_position_z':-0.01329062
'global_time':1.439303, 'head_position_x':0.159338, 'head_position_y':1.629213, 'head_position_z':-0.01303767
'global_time':1.45123, 'head_position_x':0.1549435, 'head_position_y':1.629211, 'head_position_z':-0.01283671
'global_time':1.463158, 'head_position_x':0.1460601, 'head_position_y':1.629138, 'head_position_z':-0.01245277
'global_time':1.474473, 'head_position_x':0.1414709, 'head_position_y':1.629018, 'head_position_z':-0.01252873
'global_time':1.486855, 'head_position_x':0.1367269, 'head_position_y':1.628831, 'head_position_z':-0.01233298
'global_time':1.498304, 'head_position_x':0.1319881, 'head_position_y':1.628577, 'head_position_z':-0.01229121
'global_time':1.509341, 'head_position_x':0.1271663, 'head_position_y':1.628268, 'head_position_z':-0.01219091
