'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.9727014, 'gaze_vector_x':-0.3742686, 'gaze_vector_y':-0.004134471, 'gaze_vector_z':0.9273111
'gaze_vector':0.9833947, 'gaze_vector_x':-0.3297907, 'gaze_vector_y':-0.003088749, 'gaze_vector_z':0.944049
'gaze_vector':0.9940562, 'gaze_vector_x':-0.285823, 'gaze_vector_y':-0.001679816, 'gaze_vector_z':0.9582809
'gaze_vector':1.005165, 'gaze_vector_x':-0.2443304, 'gaze_vector_y':4.155841E-05, 'gaze_vector_z':0.9696921
'gaze_vector':1.016735, 'gaze_vector_x':-0.2047264, 'gaze_vector_y':0.001784399, 'gaze_vector_z':0.9788176
'gaze_vector':1.028054, 'gaze_vector_x':-0.167339, 'gaze_vector_y':0.003102956, 'gaze_vector_z':0.9858946
'gaze_vector':1.040266, 'gaze_vector_x':-0.1305296, 'gaze_vector_y':0.003855021, 'gaze_vector_z':0.9914369
'gaze_vector':1.052157, 'gaze_vector_x':-0.09573631, 'gaze_vector_y':0.00340981, 'gaze_vector_z':0.9954009
'gaze_vector':1.063384, 'gaze_vector_x':-0.0340657, 'gaze_vector_y':0.003300071, 'gaze_vector_z':0.9994141
'gaze_vector':1.074834, 'gaze_vector_x':-0.008275793, 'gaze_vector_y':0.00440763, 'gaze_vector_z':0.999956
'gaze_vector':1.086479, 'gaze_vector_x':0.01326494, 'gaze_vector_y':0.006312256, 'gaze_vector_z':0.9998921
'gaze_vector':1.098387, 'gaze_vector_x':0.03262594, 'gaze_vector_y':0.007400868, 'gaze_vector_z':0.9994403
'gaze_vector':1.110594, 'gaze_vector_x':0.04764054, 'gaze_vector_y':0.00710856, 'gaze_vector_z':0.9988393
'gaze_vector':1.121628, 'gaze_vector_x':0.0628536, 'gaze_vector_y':0.006149166, 'gaze_vector_z':0.9980038
'gaze_vector':1.131975, 'gaze_vector_x':0.07723325, 'gaze_vector_y':0.004977044, 'gaze_vector_z':0.9970006
'gaze_vector':1.144402, 'gaze_vector_x':0.08939869, 'gaze_vector_y':0.004581433, 'gaze_vector_z':0.9959854
'gaze_vector':1.155795, 'gaze_vector_x':0.1004429, 'gaze_vector_y':0.005128862, 'gaze_vector_z':0.9949296
