'global_time':1.996555, 'hit_distance':3.315123 
'global_time':2.014474, 'hit_distance':3.293092 
'global_time':2.026709, 'hit_distance':3.296167 
'global_time':2.038225, 'hit_distance':3.297643 
'global_time':2.048009, 'hit_distance':3.298735 
'global_time':2.060321, 'hit_distance':3.301101 
'global_time':2.072975, 'hit_distance':3.303701 
'global_time':2.082864, 'hit_distance':3.308309 
'global_time':2.093393, 'hit_distance':3.310961 
'global_time':2.105359, 'hit_distance':3.315485 
'global_time':2.116315, 'hit_distance':3.318434 
'global_time':2.116315, 'hit_distance':3.374626 
'global_time':2.129025, 'hit_distance':3.316286 
'global_time':2.129025, 'hit_distance':3.364358 
'global_time':2.146248, 'hit_distance':3.320055 
'global_time':2.146248, 'hit_distance':3.354764 
'global_time':2.157951, 'hit_distance':3.315509 
'global_time':2.157951, 'hit_distance':3.346738 
'global_time':2.169756, 'hit_distance':3.322297 
'global_time':2.169756, 'hit_distance':3.34033 
'global_time':2.180221, 'hit_distance':3.329138 
'global_time':2.180221, 'hit_distance':3.333669 
'global_time':2.19271, 'hit_distance':3.325739 
'global_time':2.19271, 'hit_distance':3.329052 
'global_time':2.20608, 'hit_distance':3.323492 
'global_time':2.20608, 'hit_distance':3.325169 
'global_time':2.217933, 'hit_distance':3.318148 
'global_time':2.217933, 'hit_distance':3.322381 
'global_time':2.230711, 'hit_distance':3.320621 
'global_time':2.230711, 'hit_distance':3.32063 
'global_time':2.243283, 'hit_distance':3.317032 
'global_time':2.243283, 'hit_distance':3.319581 
'global_time':2.255494, 'hit_distance':3.316324 
'global_time':2.255494, 'hit_distance':3.319065 
'global_time':2.267256, 'hit_distance':3.317566 
'global_time':2.267256, 'hit_distance':3.319092 
'global_time':2.44249, 'hit_distance':3.347089 
'global_time':2.44249, 'hit_distance':3.345188 
'global_time':2.454957, 'hit_distance':3.353806 
'global_time':2.454957, 'hit_distance':3.346498 
'global_time':2.469103, 'hit_distance':3.352662 
'global_time':2.469103, 'hit_distance':3.348428 
'global_time':2.481499, 'hit_distance':3.355073 
'global_time':2.481499, 'hit_distance':3.351006 
'global_time':2.496268, 'hit_distance':3.357911 
'global_time':2.496268, 'hit_distance':3.354795 
'global_time':2.513237, 'hit_distance':3.361376 
'global_time':2.513237, 'hit_distance':3.35932 
'global_time':2.526824, 'hit_distance':3.363915 
'global_time':2.526824, 'hit_distance':3.36178 
'global_time':2.537796, 'hit_distance':3.364043 
'global_time':2.537796, 'hit_distance':3.364349 
'global_time':2.549132, 'hit_distance':3.362767 
'global_time':2.549132, 'hit_distance':3.36544 
'global_time':2.561591, 'hit_distance':3.371627 
'global_time':2.561591, 'hit_distance':3.366727 
'global_time':2.573656, 'hit_distance':3.367248 
'global_time':2.573656, 'hit_distance':3.367656 
'global_time':2.585644, 'hit_distance':3.368344 
'global_time':2.585644, 'hit_distance':3.368426 
'global_time':2.59709, 'hit_distance':3.368385 
'global_time':2.59709, 'hit_distance':3.368835 
'global_time':2.611234, 'hit_distance':3.370129 
'global_time':2.611234, 'hit_distance':3.369156 
'global_time':2.622519, 'hit_distance':3.373009 
'global_time':2.622519, 'hit_distance':3.369567 
'global_time':2.634669, 'hit_distance':3.37239 
'global_time':2.634669, 'hit_distance':3.369761 
'global_time':2.646012, 'hit_distance':3.373023 
'global_time':2.646012, 'hit_distance':3.370303 
'global_time':2.658691, 'hit_distance':3.373944 
'global_time':2.658691, 'hit_distance':3.370435 
'global_time':2.670653, 'hit_distance':3.375648 
'global_time':2.670653, 'hit_distance':3.370394 
'global_time':2.682047, 'hit_distance':3.375799 
'global_time':2.682047, 'hit_distance':3.370378 
'global_time':2.694659, 'hit_distance':3.377096 
'global_time':2.694659, 'hit_distance':3.370189 
'global_time':2.706213, 'hit_distance':3.374756 
'global_time':2.706213, 'hit_distance':3.369737 
'global_time':2.718242, 'hit_distance':3.378677 
'global_time':2.718242, 'hit_distance':3.368501 
'global_time':2.729383, 'hit_distance':3.417053 
'global_time':2.729383, 'hit_distance':3.367242 
'global_time':2.739798, 'hit_distance':3.365975 
'global_time':2.75273, 'hit_distance':3.364923 
'global_time':2.763621, 'hit_distance':3.653062 
'global_time':2.763621, 'hit_distance':3.364422 
'global_time':2.777101, 'hit_distance':3.7577 
'global_time':2.777101, 'hit_distance':3.364722 
'global_time':2.788612, 'hit_distance':3.76257 
'global_time':2.788612, 'hit_distance':3.366043 
'global_time':2.80235, 'hit_distance':3.736304 
'global_time':2.80235, 'hit_distance':3.368458 
'global_time':2.814121, 'hit_distance':3.677408 
'global_time':2.814121, 'hit_distance':3.3715 
'global_time':2.824875, 'hit_distance':3.698967 
'global_time':2.824875, 'hit_distance':3.375624 
'global_time':2.836385, 'hit_distance':3.675775 
'global_time':2.836385, 'hit_distance':3.380436 
'global_time':2.848288, 'hit_distance':3.719679 
'global_time':2.848288, 'hit_distance':3.386526 
'global_time':2.859755, 'hit_distance':3.731846 
'global_time':2.859755, 'hit_distance':3.393659 
'global_time':2.87175, 'hit_distance':3.756434 
'global_time':2.87175, 'hit_distance':3.402278 
'global_time':2.881736, 'hit_distance':3.768709 
'global_time':2.893549, 'hit_distance':3.741771 
'global_time':2.90558, 'hit_distance':3.754547 
'global_time':2.917084, 'hit_distance':3.764661 
'global_time':2.929646, 'hit_distance':3.745456 
'global_time':2.941979, 'hit_distance':3.73007 
'global_time':2.953575, 'hit_distance':3.732083 
'global_time':2.964543, 'hit_distance':3.725252 
'global_time':2.976341, 'hit_distance':3.707038 
'global_time':2.990734, 'hit_distance':3.696371 
'global_time':3.002748, 'hit_distance':3.685809 
'global_time':3.014074, 'hit_distance':3.676472 
'global_time':3.024836, 'hit_distance':3.680114 
'global_time':3.024836, 'hit_distance':3.614476 
'global_time':3.037897, 'hit_distance':3.676851 
'global_time':3.037897, 'hit_distance':3.637792 
'global_time':3.048737, 'hit_distance':3.674335 
'global_time':3.048737, 'hit_distance':3.661854 
'global_time':3.060351, 'hit_distance':3.646205 
'global_time':3.060351, 'hit_distance':3.678601 
'global_time':3.071971, 'hit_distance':3.6643 
'global_time':3.071971, 'hit_distance':3.692388 
'global_time':3.085773, 'hit_distance':3.662099 
'global_time':3.085773, 'hit_distance':3.701113 
'global_time':3.097126, 'hit_distance':3.649752 
'global_time':3.097126, 'hit_distance':3.70568 
'global_time':3.110064, 'hit_distance':3.651351 
'global_time':3.110064, 'hit_distance':3.707407 
'global_time':3.124022, 'hit_distance':3.643594 
'global_time':3.124022, 'hit_distance':3.703441 
'global_time':3.134839, 'hit_distance':3.642649 
'global_time':3.134839, 'hit_distance':3.699659 
'global_time':3.145389, 'hit_distance':3.63596 
'global_time':3.145389, 'hit_distance':3.696543 
'global_time':3.156379, 'hit_distance':3.646733 
'global_time':3.156379, 'hit_distance':3.695449 
'global_time':3.170031, 'hit_distance':3.571315 
'global_time':3.170031, 'hit_distance':3.690554 
'global_time':3.181206, 'hit_distance':3.68212 
'global_time':3.191474, 'hit_distance':3.668974 
'global_time':3.203541, 'hit_distance':3.472743 
'global_time':3.203541, 'hit_distance':3.651167 
'global_time':3.216204, 'hit_distance':3.476091 
'global_time':3.216204, 'hit_distance':3.630742 
'global_time':3.228549, 'hit_distance':3.511886 
'global_time':3.228549, 'hit_distance':3.607714 
'global_time':3.239937, 'hit_distance':3.513971 
'global_time':3.239937, 'hit_distance':3.584316 
