'gaze_vector':0.9925222, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.003265, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.01856, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.030027, 'gaze_vector_x':-0.06316213, 'gaze_vector_y':-0.8765539, 'gaze_vector_z':0.4771287
'gaze_vector':1.040634, 'gaze_vector_x':0.2181525, 'gaze_vector_y':-0.8767501, 'gaze_vector_z':0.4286024
'gaze_vector':1.056235, 'gaze_vector_x':0.01274804, 'gaze_vector_y':-0.7690002, 'gaze_vector_z':0.6391179
'gaze_vector':1.065778, 'gaze_vector_x':-0.2625219, 'gaze_vector_y':-0.7660468, 'gaze_vector_z':0.5867093
'gaze_vector':1.07678, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.088114, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.097413, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.107905, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.119226, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.129892, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.463225, 'gaze_vector_x':0.1471013, 'gaze_vector_y':-0.6733577, 'gaze_vector_z':0.7245194
'gaze_vector':1.483794, 'gaze_vector_x':0.1832218, 'gaze_vector_y':-0.5628172, 'gaze_vector_z':0.8060144
'gaze_vector':1.495316, 'gaze_vector_x':0.180288, 'gaze_vector_y':-0.557524, 'gaze_vector_z':0.8103438
'gaze_vector':1.507002, 'gaze_vector_x':0.1798767, 'gaze_vector_y':-0.562745, 'gaze_vector_z':0.8068181
'gaze_vector':1.518664, 'gaze_vector_x':0.1455311, 'gaze_vector_y':-0.5290359, 'gaze_vector_z':0.8360118
'gaze_vector':1.531863, 'gaze_vector_x':0.09335697, 'gaze_vector_y':-0.4554796, 'gaze_vector_z':0.8853251
'gaze_vector':1.544371, 'gaze_vector_x':0.05745852, 'gaze_vector_y':-0.4428596, 'gaze_vector_z':0.8947349
'gaze_vector':1.555447, 'gaze_vector_x':0.05110074, 'gaze_vector_y':-0.3953269, 'gaze_vector_z':0.9171155
'gaze_vector':1.566331, 'gaze_vector_x':0.03466588, 'gaze_vector_y':-0.3623722, 'gaze_vector_z':0.9313825
'gaze_vector':1.579037, 'gaze_vector_x':0.04716996, 'gaze_vector_y':-0.3756351, 'gaze_vector_z':0.925552
'gaze_vector':1.590245, 'gaze_vector_x':0.04167299, 'gaze_vector_y':-0.3153936, 'gaze_vector_z':0.9480388
'gaze_vector':1.601847, 'gaze_vector_x':0.03153972, 'gaze_vector_y':-0.3265328, 'gaze_vector_z':0.944648
'gaze_vector':1.613366, 'gaze_vector_x':0.02938238, 'gaze_vector_y':-0.3165322, 'gaze_vector_z':0.9481117
'gaze_vector':1.625873, 'gaze_vector_x':0.03393584, 'gaze_vector_y':-0.3109587, 'gaze_vector_z':0.9498048
'gaze_vector':1.637236, 'gaze_vector_x':0.03422792, 'gaze_vector_y':-0.3416882, 'gaze_vector_z':0.9391755
'gaze_vector':1.648237, 'gaze_vector_x':0.03927454, 'gaze_vector_y':-0.3349587, 'gaze_vector_z':0.9414014
'gaze_vector':1.659782, 'gaze_vector_x':0.04020604, 'gaze_vector_y':-0.3351799, 'gaze_vector_z':0.9412886
'gaze_vector':1.672794, 'gaze_vector_x':0.04226172, 'gaze_vector_y':-0.3282776, 'gaze_vector_z':0.9436275
'gaze_vector':1.684502, 'gaze_vector_x':0.04067659, 'gaze_vector_y':-0.3280396, 'gaze_vector_z':0.9437863
'gaze_vector':1.696219, 'gaze_vector_x':0.04335205, 'gaze_vector_y':-0.3318659, 'gaze_vector_z':0.9423178
'gaze_vector':1.70778, 'gaze_vector_x':0.03913515, 'gaze_vector_y':-0.3322841, 'gaze_vector_z':0.9423578
'gaze_vector':1.720841, 'gaze_vector_x':0.04116786, 'gaze_vector_y':-0.3411261, 'gaze_vector_z':0.9391019
'gaze_vector':1.732885, 'gaze_vector_x':0.04244557, 'gaze_vector_y':-0.3355007, 'gaze_vector_z':0.9410748
'gaze_vector':1.744516, 'gaze_vector_x':0.04318833, 'gaze_vector_y':-0.3422652, 'gaze_vector_z':0.9385965
'gaze_vector':1.756709, 'gaze_vector_x':0.03759623, 'gaze_vector_y':-0.3375534, 'gaze_vector_z':0.9405406
'gaze_vector':1.770984, 'gaze_vector_x':0.03812684, 'gaze_vector_y':-0.3335333, 'gaze_vector_z':0.94195
'gaze_vector':1.781956, 'gaze_vector_x':0.03996711, 'gaze_vector_y':-0.3415338, 'gaze_vector_z':0.9390139
'gaze_vector':1.794318, 'gaze_vector_x':0.04295945, 'gaze_vector_y':-0.3424727, 'gaze_vector_z':0.9385384
'gaze_vector':1.806392, 'gaze_vector_x':0.04755334, 'gaze_vector_y':-0.3450584, 'gaze_vector_z':0.9373651
'gaze_vector':1.819509, 'gaze_vector_x':0.04729159, 'gaze_vector_y':-0.342109, 'gaze_vector_z':0.9384564
'gaze_vector':1.832305, 'gaze_vector_x':0.04982038, 'gaze_vector_y':-0.3031965, 'gaze_vector_z':0.9516072
'gaze_vector':1.844649, 'gaze_vector_x':0.05326536, 'gaze_vector_y':-0.3075598, 'gaze_vector_z':0.9500247
'gaze_vector':1.854852, 'gaze_vector_x':0.05408187, 'gaze_vector_y':-0.3200765, 'gaze_vector_z':0.9458311
'gaze_vector':1.866544, 'gaze_vector_x':0.04909962, 'gaze_vector_y':-0.3351978, 'gaze_vector_z':0.9408613
'gaze_vector':1.877334, 'gaze_vector_x':0.05392148, 'gaze_vector_y':-0.3124411, 'gaze_vector_z':0.948393
'gaze_vector':1.888335, 'gaze_vector_x':0.05295139, 'gaze_vector_y':-0.3260413, 'gaze_vector_z':0.9438675
'gaze_vector':1.899729, 'gaze_vector_x':0.02495772, 'gaze_vector_y':-0.4679371, 'gaze_vector_z':0.8833973
'gaze_vector':1.91016, 'gaze_vector_x':0.2358575, 'gaze_vector_y':-0.4331874, 'gaze_vector_z':0.8698816
'gaze_vector':1.923487, 'gaze_vector_x':0.1289333, 'gaze_vector_y':-0.3287394, 'gaze_vector_z':0.9355596
'gaze_vector':1.933986, 'gaze_vector_x':0.1020656, 'gaze_vector_y':-0.3680817, 'gaze_vector_z':0.9241665
'gaze_vector':1.946593, 'gaze_vector_x':0.1124867, 'gaze_vector_y':-0.3300708, 'gaze_vector_z':0.9372259
'gaze_vector':1.962195, 'gaze_vector_x':0.0003628731, 'gaze_vector_y':-0.2965072, 'gaze_vector_z':0.9550236
'gaze_vector':1.972402, 'gaze_vector_x':0.03197195, 'gaze_vector_y':-0.5866054, 'gaze_vector_z':0.8092304
'gaze_vector':1.984756, 'gaze_vector_x':0.08664098, 'gaze_vector_y':-0.07707003, 'gaze_vector_z':0.9932398
'gaze_vector':1.996555, 'gaze_vector_x':0.005027637, 'gaze_vector_y':-0.005974047, 'gaze_vector_z':0.9999604
'gaze_vector':2.014474, 'gaze_vector_x':-0.008056201, 'gaze_vector_y':0.03700944, 'gaze_vector_z':0.9992808
'gaze_vector':2.026709, 'gaze_vector_x':-0.007556923, 'gaze_vector_y':0.04425459, 'gaze_vector_z':0.9989882
'gaze_vector':2.038225, 'gaze_vector_x':-0.01264811, 'gaze_vector_y':0.04600028, 'gaze_vector_z':0.9988511
'gaze_vector':2.048009, 'gaze_vector_x':-0.01937759, 'gaze_vector_y':0.05418599, 'gaze_vector_z':0.9983336
'gaze_vector':2.060321, 'gaze_vector_x':-0.02643618, 'gaze_vector_y':0.06184141, 'gaze_vector_z':0.9977199
'gaze_vector':2.072975, 'gaze_vector_x':-0.03442462, 'gaze_vector_y':0.07564614, 'gaze_vector_z':0.996536
'gaze_vector':2.082864, 'gaze_vector_x':-0.0530967, 'gaze_vector_y':0.07392758, 'gaze_vector_z':0.9958428
'gaze_vector':2.093393, 'gaze_vector_x':-0.05387898, 'gaze_vector_y':0.08886987, 'gaze_vector_z':0.994573
'gaze_vector':2.105359, 'gaze_vector_x':-0.04789424, 'gaze_vector_y':0.1004727, 'gaze_vector_z':0.9937758
'gaze_vector':2.116315, 'gaze_vector_x':-0.05231307, 'gaze_vector_y':0.08974552, 'gaze_vector_z':0.9945858
'gaze_vector':2.129025, 'gaze_vector_x':-0.05332564, 'gaze_vector_y':0.09871274, 'gaze_vector_z':0.9936733
'gaze_vector':2.146248, 'gaze_vector_x':-0.0462531, 'gaze_vector_y':0.08398245, 'gaze_vector_z':0.9953881
'gaze_vector':2.157951, 'gaze_vector_x':-0.05417926, 'gaze_vector_y':0.09486599, 'gaze_vector_z':0.9940098
'gaze_vector':2.169756, 'gaze_vector_x':-0.05048654, 'gaze_vector_y':0.1126585, 'gaze_vector_z':0.9923384
'gaze_vector':2.180221, 'gaze_vector_x':-0.04937176, 'gaze_vector_y':0.09912419, 'gaze_vector_z':0.993838
'gaze_vector':2.19271, 'gaze_vector_x':-0.04441746, 'gaze_vector_y':0.08959629, 'gaze_vector_z':0.9949783
'gaze_vector':2.20608, 'gaze_vector_x':-0.03130347, 'gaze_vector_y':0.06879272, 'gaze_vector_z':0.997127
'gaze_vector':2.217933, 'gaze_vector_x':-0.03190871, 'gaze_vector_y':0.06916377, 'gaze_vector_z':0.9970917
'gaze_vector':2.230711, 'gaze_vector_x':-0.02733197, 'gaze_vector_y':0.04178788, 'gaze_vector_z':0.9987382
'gaze_vector':2.243283, 'gaze_vector_x':-0.02069638, 'gaze_vector_y':0.02279955, 'gaze_vector_z':0.999519
'gaze_vector':2.255494, 'gaze_vector_x':-0.007743783, 'gaze_vector_y':0.01291126, 'gaze_vector_z':0.999874
'gaze_vector':2.267256, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.278921, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.291136, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.302612, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.312762, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':2.324035, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
