'global_time':28.95855, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.179194,  'useGaze':True, 'useVal':True
'global_time':29.61211, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6535555,  'useGaze':True, 'useVal':True
'global_time':30.19212, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5800163,  'useGaze':True, 'useVal':True
'global_time':30.94403, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.7519022,  'useGaze':True, 'useVal':True
'global_time':31.79611, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.8520853,  'useGaze':True, 'useVal':True
'global_time':32.4447, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6485887,  'useGaze':True, 'useVal':True
'global_time':32.98999, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5452845,  'useGaze':True, 'useVal':True
'global_time':33.68884, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.6988621,  'useGaze':True, 'useVal':True
'global_time':34.36638, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.6775612,  'useGaze':True, 'useVal':True
'global_time':35.0461, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.6797075,  'useGaze':True, 'useVal':True
'global_time':35.81356, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7674533,  'useGaze':True, 'useVal':True
'global_time':36.53436, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7207945,  'useGaze':True, 'useVal':True
'global_time':37.10475, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.5703813,  'useGaze':True, 'useVal':True
