'global_time':26.95609, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.4372716,  'useGaze':True, 'useVal':True
'global_time':27.41518, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.4590858,  'useGaze':True, 'useVal':True
'global_time':27.91802, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.5028407,  'useGaze':True, 'useVal':True
'global_time':28.4434, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5253883,  'useGaze':True, 'useVal':True
'global_time':28.88889, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.4454895,  'useGaze':True, 'useVal':True
'global_time':29.32172, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.4328271,  'useGaze':True, 'useVal':True
'global_time':29.96308, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.6413582,  'useGaze':True, 'useVal':True
'global_time':30.57757, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.6144987,  'useGaze':True, 'useVal':True
'global_time':32.24604, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.66846,  'useGaze':True, 'useVal':True
'global_time':32.88667, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.6406361,  'useGaze':True, 'useVal':True
'global_time':33.37839, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.4917186,  'useGaze':True, 'useVal':True
'global_time':33.81668, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.4382889,  'useGaze':True, 'useVal':True
'global_time':34.47559, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.6589144,  'useGaze':True, 'useVal':True
'global_time':35.05316, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5775706,  'useGaze':True, 'useVal':True
