'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.083562, 'head_vector_x':-0.3330923, 'head_vector_y':0.2654155, 'head_vector_z':0.9047675
'global_time':1.096014, 'head_vector_x':-0.3378386, 'head_vector_y':0.2599729, 'head_vector_z':0.9045879
'global_time':1.106212, 'head_vector_x':-0.3423462, 'head_vector_y':0.2541469, 'head_vector_z':0.9045488
'global_time':1.120435, 'head_vector_x':-0.3458716, 'head_vector_y':0.2477077, 'head_vector_z':0.9049938
'global_time':1.136358, 'head_vector_x':-0.3497882, 'head_vector_y':0.2415823, 'head_vector_z':0.9051443
'global_time':1.147487, 'head_vector_x':-0.3564005, 'head_vector_y':0.2294361, 'head_vector_z':0.905725
'global_time':1.158428, 'head_vector_x':-0.3599069, 'head_vector_y':0.2238356, 'head_vector_z':0.9057398
'global_time':1.170239, 'head_vector_x':-0.3634578, 'head_vector_y':0.2180441, 'head_vector_z':0.9057346
'global_time':1.180934, 'head_vector_x':-0.3673283, 'head_vector_y':0.2118658, 'head_vector_z':0.9056395
'global_time':1.191992, 'head_vector_x':-0.3714991, 'head_vector_y':0.2053784, 'head_vector_z':0.9054326
'global_time':1.525325, 'head_vector_x':-0.3755969, 'head_vector_y':0.1989121, 'head_vector_z':0.9051856
'global_time':1.550883, 'head_vector_x':-0.6735873, 'head_vector_y':0.1495563, 'head_vector_z':0.7238184
'global_time':1.563378, 'head_vector_x':-0.6725114, 'head_vector_y':0.1498621, 'head_vector_z':0.724755
'global_time':1.575897, 'head_vector_x':-0.6720833, 'head_vector_y':0.1496473, 'head_vector_z':0.7251964
'global_time':1.589633, 'head_vector_x':-0.6715379, 'head_vector_y':0.1494559, 'head_vector_z':0.7257408
'global_time':1.602897, 'head_vector_x':-0.6710934, 'head_vector_y':0.1490354, 'head_vector_z':0.7262383
'global_time':1.616138, 'head_vector_x':-0.6705809, 'head_vector_y':0.1487329, 'head_vector_z':0.7267736
'global_time':1.628607, 'head_vector_x':-0.6701285, 'head_vector_y':0.1484469, 'head_vector_z':0.7272492
'global_time':1.639362, 'head_vector_x':-0.6694833, 'head_vector_y':0.1483941, 'head_vector_z':0.7278539
'global_time':1.652812, 'head_vector_x':-0.6682321, 'head_vector_y':0.1482897, 'head_vector_z':0.7290241
'global_time':1.665024, 'head_vector_x':-0.6677039, 'head_vector_y':0.1484967, 'head_vector_z':0.7294657
'global_time':1.678834, 'head_vector_x':-0.6672349, 'head_vector_y':0.1482164, 'head_vector_z':0.7299517
'global_time':1.694257, 'head_vector_x':-0.6666654, 'head_vector_y':0.1481468, 'head_vector_z':0.7304859
'global_time':1.707252, 'head_vector_x':-0.6659313, 'head_vector_y':0.1472412, 'head_vector_z':0.7313381
'global_time':1.718812, 'head_vector_x':-0.6654824, 'head_vector_y':0.1469842, 'head_vector_z':0.7317984
'global_time':1.730785, 'head_vector_x':-0.6651065, 'head_vector_y':0.1466631, 'head_vector_z':0.7322044
'global_time':1.744786, 'head_vector_x':-0.6646728, 'head_vector_y':0.1464427, 'head_vector_z':0.7326422
'global_time':1.756629, 'head_vector_x':-0.6642588, 'head_vector_y':0.1462172, 'head_vector_z':0.7330626
'global_time':1.769701, 'head_vector_x':-0.663785, 'head_vector_y':0.1460154, 'head_vector_z':0.733532
'global_time':1.782613, 'head_vector_x':-0.6634021, 'head_vector_y':0.1457649, 'head_vector_z':0.733928
'global_time':1.794691, 'head_vector_x':-0.662843, 'head_vector_y':0.1456991, 'head_vector_z':0.7344459
'global_time':1.806691, 'head_vector_x':-0.6625292, 'head_vector_y':0.1452699, 'head_vector_z':0.734814
'global_time':1.815601, 'head_vector_x':-0.6618783, 'head_vector_y':0.1451111, 'head_vector_z':0.7354318
'global_time':1.826718, 'head_vector_x':-0.661256, 'head_vector_y':0.1448829, 'head_vector_z':0.7360364
'global_time':1.840808, 'head_vector_x':-0.6601086, 'head_vector_y':0.1446264, 'head_vector_z':0.7371159
'global_time':1.857425, 'head_vector_x':-0.6597226, 'head_vector_y':0.1444372, 'head_vector_z':0.7374985
'global_time':1.867982, 'head_vector_x':-0.6590239, 'head_vector_y':0.1440149, 'head_vector_z':0.7382055
'global_time':1.879799, 'head_vector_x':-0.6582555, 'head_vector_y':0.1438671, 'head_vector_z':0.7389194
'global_time':1.89458, 'head_vector_x':-0.6573913, 'head_vector_y':0.143942, 'head_vector_z':0.7396739
'global_time':1.905383, 'head_vector_x':-0.656377, 'head_vector_y':0.1441937, 'head_vector_z':0.7405251
'global_time':1.915996, 'head_vector_x':-0.6552912, 'head_vector_y':0.144453, 'head_vector_z':0.7414356
'global_time':1.926485, 'head_vector_x':-0.6539239, 'head_vector_y':0.1445713, 'head_vector_z':0.7426188
'global_time':1.939307, 'head_vector_x':-0.6528487, 'head_vector_y':0.1444624, 'head_vector_z':0.7435853
