'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.120435, 'head_position_x':-0.1043141, 'head_position_y':1.113432, 'head_position_z':-0.5554709
'global_time':1.136358, 'head_position_x':-0.1046009, 'head_position_y':1.112859, 'head_position_z':-0.5554653
'global_time':1.147487, 'head_position_x':-0.1049964, 'head_position_y':1.111785, 'head_position_z':-0.5555876
'global_time':1.158428, 'head_position_x':-0.1051957, 'head_position_y':1.111255, 'head_position_z':-0.5556092
'global_time':1.170239, 'head_position_x':-0.10543, 'head_position_y':1.110742, 'head_position_z':-0.5556584
'global_time':1.180934, 'head_position_x':-0.1056447, 'head_position_y':1.110197, 'head_position_z':-0.5557243
'global_time':1.191992, 'head_position_x':-0.1060959, 'head_position_y':1.109677, 'head_position_z':-0.5556222
'global_time':1.525325, 'head_position_x':-0.1065436, 'head_position_y':1.109087, 'head_position_z':-0.5555395
'global_time':1.550883, 'head_position_x':-0.1170121, 'head_position_y':1.102284, 'head_position_z':-0.5638663
'global_time':1.563378, 'head_position_x':-0.1169036, 'head_position_y':1.102254, 'head_position_z':-0.563746
'global_time':1.575897, 'head_position_x':-0.1169913, 'head_position_y':1.10236, 'head_position_z':-0.5635816
'global_time':1.589633, 'head_position_x':-0.1169177, 'head_position_y':1.102281, 'head_position_z':-0.5635664
'global_time':1.602897, 'head_position_x':-0.1169633, 'head_position_y':1.102319, 'head_position_z':-0.563463
'global_time':1.616138, 'head_position_x':-0.116856, 'head_position_y':1.102266, 'head_position_z':-0.5634447
'global_time':1.628607, 'head_position_x':-0.1170144, 'head_position_y':1.102304, 'head_position_z':-0.563276
'global_time':1.639362, 'head_position_x':-0.1169593, 'head_position_y':1.102285, 'head_position_z':-0.5632606
'global_time':1.652812, 'head_position_x':-0.1169726, 'head_position_y':1.102286, 'head_position_z':-0.5632476
'global_time':1.665024, 'head_position_x':-0.1170975, 'head_position_y':1.102299, 'head_position_z':-0.5631705
'global_time':1.678834, 'head_position_x':-0.1174267, 'head_position_y':1.102289, 'head_position_z':-0.5629127
'global_time':1.694257, 'head_position_x':-0.1174363, 'head_position_y':1.102267, 'head_position_z':-0.5629005
'global_time':1.707252, 'head_position_x':-0.1176169, 'head_position_y':1.102229, 'head_position_z':-0.5628112
'global_time':1.718812, 'head_position_x':-0.1179121, 'head_position_y':1.102205, 'head_position_z':-0.5626296
'global_time':1.730785, 'head_position_x':-0.1179455, 'head_position_y':1.102177, 'head_position_z':-0.5626305
'global_time':1.744786, 'head_position_x':-0.1182557, 'head_position_y':1.102177, 'head_position_z':-0.562455
'global_time':1.756629, 'head_position_x':-0.1183298, 'head_position_y':1.102149, 'head_position_z':-0.5624644
'global_time':1.769701, 'head_position_x':-0.118487, 'head_position_y':1.10218, 'head_position_z':-0.5624231
'global_time':1.782613, 'head_position_x':-0.118725, 'head_position_y':1.102182, 'head_position_z':-0.5623379
'global_time':1.794691, 'head_position_x':-0.1188085, 'head_position_y':1.102124, 'head_position_z':-0.5623297
'global_time':1.806691, 'head_position_x':-0.1190099, 'head_position_y':1.102119, 'head_position_z':-0.5622944
'global_time':1.815601, 'head_position_x':-0.1191009, 'head_position_y':1.102077, 'head_position_z':-0.5623108
'global_time':1.826718, 'head_position_x':-0.1192868, 'head_position_y':1.10206, 'head_position_z':-0.5623222
'global_time':1.840808, 'head_position_x':-0.1195796, 'head_position_y':1.101978, 'head_position_z':-0.5623164
'global_time':1.857425, 'head_position_x':-0.1196594, 'head_position_y':1.101928, 'head_position_z':-0.5622835
'global_time':1.867982, 'head_position_x':-0.1197933, 'head_position_y':1.101913, 'head_position_z':-0.5622736
'global_time':1.879799, 'head_position_x':-0.119943, 'head_position_y':1.101939, 'head_position_z':-0.5621941
'global_time':1.89458, 'head_position_x':-0.1200371, 'head_position_y':1.101978, 'head_position_z':-0.5621496
'global_time':1.905383, 'head_position_x':-0.1201169, 'head_position_y':1.101965, 'head_position_z':-0.5622073
'global_time':1.915996, 'head_position_x':-0.1202287, 'head_position_y':1.102, 'head_position_z':-0.5621573
'global_time':1.926485, 'head_position_x':-0.1203903, 'head_position_y':1.101996, 'head_position_z':-0.5621571
'global_time':1.939307, 'head_position_x':-0.1204834, 'head_position_y':1.102008, 'head_position_z':-0.5621175
'global_time':1.949906, 'head_position_x':-0.1205224, 'head_position_y':1.101995, 'head_position_z':-0.562118
'global_time':1.961973, 'head_position_x':-0.1205915, 'head_position_y':1.101971, 'head_position_z':-0.5620744
'global_time':1.97498, 'head_position_x':-0.1205918, 'head_position_y':1.101928, 'head_position_z':-0.5620293
'global_time':1.985852, 'head_position_x':-0.120717, 'head_position_y':1.101902, 'head_position_z':-0.5618877
'global_time':1.998291, 'head_position_x':-0.1208355, 'head_position_y':1.101964, 'head_position_z':-0.5618387
'global_time':2.014228, 'head_position_x':-0.1208783, 'head_position_y':1.101944, 'head_position_z':-0.561752
'global_time':2.025093, 'head_position_x':-0.1209611, 'head_position_y':1.101946, 'head_position_z':-0.5617051
'global_time':2.037233, 'head_position_x':-0.1209836, 'head_position_y':1.10192, 'head_position_z':-0.5616342
'global_time':2.048408, 'head_position_x':-0.1209977, 'head_position_y':1.10192, 'head_position_z':-0.5617118
'global_time':2.060038, 'head_position_x':-0.1210174, 'head_position_y':1.101873, 'head_position_z':-0.5616534
'global_time':2.073725, 'head_position_x':-0.1209854, 'head_position_y':1.101814, 'head_position_z':-0.5616945
'global_time':2.085835, 'head_position_x':-0.1210399, 'head_position_y':1.10165, 'head_position_z':-0.5615425
'global_time':2.097405, 'head_position_x':-0.121094, 'head_position_y':1.101589, 'head_position_z':-0.5614812
'global_time':2.107866, 'head_position_x':-0.1211353, 'head_position_y':1.101603, 'head_position_z':-0.5614372
'global_time':2.120458, 'head_position_x':-0.1212505, 'head_position_y':1.10165, 'head_position_z':-0.5613541
'global_time':2.131447, 'head_position_x':-0.1213646, 'head_position_y':1.101728, 'head_position_z':-0.5612628
'global_time':2.141266, 'head_position_x':-0.1213809, 'head_position_y':1.101788, 'head_position_z':-0.5613543
'global_time':2.151729, 'head_position_x':-0.1214308, 'head_position_y':1.101838, 'head_position_z':-0.5612803
'global_time':2.169232, 'head_position_x':-0.1215198, 'head_position_y':1.1019, 'head_position_z':-0.5610994
'global_time':2.181375, 'head_position_x':-0.1216027, 'head_position_y':1.101908, 'head_position_z':-0.5609106
'global_time':2.19193, 'head_position_x':-0.1215373, 'head_position_y':1.101767, 'head_position_z':-0.5608335
'global_time':2.202472, 'head_position_x':-0.1214774, 'head_position_y':1.101606, 'head_position_z':-0.5607866
'global_time':2.215488, 'head_position_x':-0.1214231, 'head_position_y':1.101496, 'head_position_z':-0.5607315
'global_time':2.227089, 'head_position_x':-0.1213554, 'head_position_y':1.101392, 'head_position_z':-0.5607474
'global_time':2.23828, 'head_position_x':-0.121307, 'head_position_y':1.101222, 'head_position_z':-0.5607387
'global_time':2.248647, 'head_position_x':-0.1212654, 'head_position_y':1.101044, 'head_position_z':-0.5608146
'global_time':2.259605, 'head_position_x':-0.1212665, 'head_position_y':1.100951, 'head_position_z':-0.5608626
'global_time':2.271371, 'head_position_x':-0.1212823, 'head_position_y':1.100943, 'head_position_z':-0.5610503
'global_time':2.281691, 'head_position_x':-0.1215283, 'head_position_y':1.101094, 'head_position_z':-0.560926
'global_time':2.293081, 'head_position_x':-0.1217455, 'head_position_y':1.101338, 'head_position_z':-0.5608424
'global_time':2.30407, 'head_position_x':-0.1220253, 'head_position_y':1.101568, 'head_position_z':-0.5607012
'global_time':2.320671, 'head_position_x':-0.1222016, 'head_position_y':1.10172, 'head_position_z':-0.5606269
'global_time':2.331076, 'head_position_x':-0.1224005, 'head_position_y':1.101719, 'head_position_z':-0.5606755
'global_time':2.34125, 'head_position_x':-0.1223893, 'head_position_y':1.101655, 'head_position_z':-0.5607345
'global_time':2.350575, 'head_position_x':-0.1225168, 'head_position_y':1.10176, 'head_position_z':-0.5607118
'global_time':2.363325, 'head_position_x':-0.1226609, 'head_position_y':1.1019, 'head_position_z':-0.560641
'global_time':2.374222, 'head_position_x':-0.1228768, 'head_position_y':1.102074, 'head_position_z':-0.5604798
'global_time':2.3837, 'head_position_x':-0.1228746, 'head_position_y':1.102025, 'head_position_z':-0.5604771
'global_time':2.394729, 'head_position_x':-0.1227341, 'head_position_y':1.101872, 'head_position_z':-0.5605539
'global_time':2.40697, 'head_position_x':-0.1226301, 'head_position_y':1.101682, 'head_position_z':-0.5605709
'global_time':2.416973, 'head_position_x':-0.1224773, 'head_position_y':1.101489, 'head_position_z':-0.5606774
'global_time':2.428416, 'head_position_x':-0.1224001, 'head_position_y':1.101383, 'head_position_z':-0.5606527
'global_time':2.44106, 'head_position_x':-0.1223966, 'head_position_y':1.10138, 'head_position_z':-0.560622
'global_time':2.453299, 'head_position_x':-0.122384, 'head_position_y':1.101443, 'head_position_z':-0.5605317
