'global_time':29.2198, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.936685, 'gaze_y':2.298511, 'gaze_z':3.445074, 'useGaze': True
'global_time':29.75674, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.138807, 'gaze_y':1.383827, 'gaze_z':4.933137, 'useGaze': True
'global_time':30.73045, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.936551, 'gaze_y':2.142845, 'gaze_z':2.225748, 'useGaze': True
'global_time':31.17732, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934404, 'gaze_y':2.136211, 'gaze_z':0.6741859, 'useGaze': True
'global_time':32.2631, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.4388247, 'gaze_y':1.216098, 'gaze_z':4.938451, 'useGaze': True
'global_time':32.77478, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.361322, 'gaze_y':1.094984, 'gaze_z':4.939804, 'useGaze': True
'global_time':33.29464, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.943951, 'gaze_y':1.081108, 'gaze_z':3.442801, 'useGaze': True
'global_time':33.82588, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.941223, 'gaze_y':1.136877, 'gaze_z':0.6613777, 'useGaze': True
'global_time':34.36934, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934325, 'gaze_y':2.252565, 'gaze_z':0.8294786, 'useGaze': True
'global_time':35.08092, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.934694, 'gaze_y':2.71816, 'gaze_z':3.860543, 'useGaze': True
'global_time':35.57487, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.201333, 'gaze_y':1.245739, 'gaze_z':4.937346, 'useGaze': True
'global_time':36.06715, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.195078, 'gaze_y':2.172904, 'gaze_z':4.932756, 'useGaze': True
'global_time':36.89948, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.940344, 'gaze_y':1.359163, 'gaze_z':3.525668, 'useGaze': True
