'global_time':35.01159, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.408266, 'gaze_y':1.241941, 'gaze_z':4.935082, 'useGaze': True
'global_time':36.12976, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.3451172, 'gaze_y':1.184444, 'gaze_z':4.93536, 'useGaze': True
'global_time':37.06745, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.931966, 'gaze_y':2.397885, 'gaze_z':1.994657, 'useGaze': True
'global_time':37.70802, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.9644631, 'gaze_y':2.148955, 'gaze_z':4.93178, 'useGaze': True
'global_time':38.30572, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.939755, 'gaze_y':1.054694, 'gaze_z':3.77072, 'useGaze': True
'global_time':38.98909, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.931417, 'gaze_y':2.07949, 'gaze_z':0.7810882, 'useGaze': True
'global_time':39.62305, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.801305, 'gaze_y':1.155692, 'gaze_z':4.9409, 'useGaze': True
'global_time':40.16994, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.160186, 'gaze_y':1.03154, 'gaze_z':4.940368, 'useGaze': True
'global_time':40.86254, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.929933, 'gaze_y':2.260751, 'gaze_z':2.005763, 'useGaze': True
'global_time':41.40248, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.934658, 'gaze_y':1.1204, 'gaze_z':2.020874, 'useGaze': True
'global_time':41.92296, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.941854, 'gaze_y':1.104014, 'gaze_z':3.707255, 'useGaze': True
'global_time':42.85584, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.942021, 'gaze_y':1.175536, 'gaze_z':0.6614525, 'useGaze': True
'global_time':43.39225, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.939003, 'gaze_y':2.15799, 'gaze_z':2.03247, 'useGaze': True
