'global_time':34.37094, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.8644844,  'useGaze':True, 'useVal':True
'global_time':35.0229, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.6519557,  'useGaze':True, 'useVal':True
'global_time':36.14164, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.118751,  'useGaze':True, 'useVal':True
'global_time':37.08241, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.940768,  'useGaze':True, 'useVal':True
'global_time':37.7191, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.6366896,  'useGaze':True, 'useVal':True
'global_time':38.31768, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5985686,  'useGaze':True, 'useVal':True
'global_time':39.00272, 'ChildID':6, 'pos_x':-4, 'pos_y':2.5, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.6850316,  'useGaze':True, 'useVal':True
'global_time':39.63431, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.6315992,  'useGaze':True, 'useVal':True
'global_time':40.18249, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5481739,  'useGaze':True, 'useVal':True
'global_time':40.87434, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.6918679,  'useGaze':True, 'useVal':True
'global_time':41.4143, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':0.5399523,  'useGaze':True, 'useVal':True
'global_time':41.93599, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5216852,  'useGaze':True, 'useVal':True
'global_time':42.86786, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.9318595,  'useGaze':True, 'useVal':True
'global_time':43.40395, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.536112,  'useGaze':True, 'useVal':True
