'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':1.138447, 'head_position_x':0.2549222, 'head_position_y':1.73501, 'head_position_z':-0.5632508
'global_time':1.150535, 'head_position_x':0.2550148, 'head_position_y':1.735001, 'head_position_z':-0.5631788
'global_time':1.163284, 'head_position_x':0.2551936, 'head_position_y':1.735001, 'head_position_z':-0.5631223
'global_time':1.176099, 'head_position_x':0.2556036, 'head_position_y':1.735045, 'head_position_z':-0.5629413
'global_time':1.187308, 'head_position_x':0.2557014, 'head_position_y':1.735074, 'head_position_z':-0.5628696
'global_time':1.19772, 'head_position_x':0.2558878, 'head_position_y':1.735041, 'head_position_z':-0.5627654
'global_time':1.209654, 'head_position_x':0.2561767, 'head_position_y':1.734919, 'head_position_z':-0.5626668
'global_time':1.223271, 'head_position_x':0.2564269, 'head_position_y':1.734852, 'head_position_z':-0.56257
'global_time':1.235091, 'head_position_x':0.2566023, 'head_position_y':1.734794, 'head_position_z':-0.5625231
'global_time':1.247137, 'head_position_x':0.2569009, 'head_position_y':1.73471, 'head_position_z':-0.5623645
'global_time':1.260171, 'head_position_x':0.25726, 'head_position_y':1.734767, 'head_position_z':-0.5623179
'global_time':1.271878, 'head_position_x':0.257436, 'head_position_y':1.734743, 'head_position_z':-0.5622214
'global_time':1.285228, 'head_position_x':0.2578472, 'head_position_y':1.734745, 'head_position_z':-0.5621324
'global_time':1.29846, 'head_position_x':0.2582888, 'head_position_y':1.734714, 'head_position_z':-0.5620778
'global_time':1.311196, 'head_position_x':0.2591453, 'head_position_y':1.734511, 'head_position_z':-0.5619704
'global_time':1.323708, 'head_position_x':0.2596917, 'head_position_y':1.734457, 'head_position_z':-0.5619184
'global_time':1.337131, 'head_position_x':0.2601864, 'head_position_y':1.73438, 'head_position_z':-0.5619168
'global_time':1.350684, 'head_position_x':0.2605484, 'head_position_y':1.734271, 'head_position_z':-0.5619816
'global_time':1.363319, 'head_position_x':0.2610902, 'head_position_y':1.734245, 'head_position_z':-0.5619807
'global_time':1.374591, 'head_position_x':0.2617441, 'head_position_y':1.734213, 'head_position_z':-0.5618924
'global_time':1.386469, 'head_position_x':0.2623196, 'head_position_y':1.734165, 'head_position_z':-0.561916
'global_time':1.398552, 'head_position_x':0.2634108, 'head_position_y':1.734009, 'head_position_z':-0.5620937
'global_time':1.410539, 'head_position_x':0.2641779, 'head_position_y':1.733956, 'head_position_z':-0.5622599
'global_time':1.421544, 'head_position_x':0.2647808, 'head_position_y':1.73385, 'head_position_z':-0.562348
'global_time':1.433904, 'head_position_x':0.2652648, 'head_position_y':1.733698, 'head_position_z':-0.5625626
'global_time':1.445573, 'head_position_x':0.2659441, 'head_position_y':1.733667, 'head_position_z':-0.5628371
'global_time':1.45939, 'head_position_x':0.2665354, 'head_position_y':1.733561, 'head_position_z':-0.5629876
'global_time':1.47201, 'head_position_x':0.2670656, 'head_position_y':1.73339, 'head_position_z':-0.5633948
'global_time':1.485597, 'head_position_x':0.267608, 'head_position_y':1.733224, 'head_position_z':-0.5635518
'global_time':1.497178, 'head_position_x':0.2682643, 'head_position_y':1.733016, 'head_position_z':-0.5638641
'global_time':1.510767, 'head_position_x':0.2692043, 'head_position_y':1.732626, 'head_position_z':-0.5641976
'global_time':1.525714, 'head_position_x':0.2695488, 'head_position_y':1.73239, 'head_position_z':-0.5646166
'global_time':1.537439, 'head_position_x':0.2699735, 'head_position_y':1.732348, 'head_position_z':-0.5647293
'global_time':1.550744, 'head_position_x':0.2702951, 'head_position_y':1.732226, 'head_position_z':-0.5648298
'global_time':1.564443, 'head_position_x':0.2705215, 'head_position_y':1.732085, 'head_position_z':-0.5651398
'global_time':1.579824, 'head_position_x':0.2710289, 'head_position_y':1.731861, 'head_position_z':-0.5653024
'global_time':1.591898, 'head_position_x':0.2710704, 'head_position_y':1.73174, 'head_position_z':-0.5654295
'global_time':1.606772, 'head_position_x':0.2711807, 'head_position_y':1.731649, 'head_position_z':-0.5654531
'global_time':1.626019, 'head_position_x':0.2714789, 'head_position_y':1.731605, 'head_position_z':-0.5656881
'global_time':1.640467, 'head_position_x':0.2714725, 'head_position_y':1.731505, 'head_position_z':-0.5658445
'global_time':1.651693, 'head_position_x':0.2716146, 'head_position_y':1.731445, 'head_position_z':-0.5657871
'global_time':1.663887, 'head_position_x':0.271724, 'head_position_y':1.731369, 'head_position_z':-0.5658474
'global_time':1.677073, 'head_position_x':0.2720011, 'head_position_y':1.731321, 'head_position_z':-0.5660771
'global_time':1.688931, 'head_position_x':0.2722335, 'head_position_y':1.731364, 'head_position_z':-0.5661749
'global_time':1.701279, 'head_position_x':0.2725148, 'head_position_y':1.731393, 'head_position_z':-0.5662634
'global_time':1.713326, 'head_position_x':0.2725301, 'head_position_y':1.731367, 'head_position_z':-0.5665014
'global_time':1.728026, 'head_position_x':0.2726789, 'head_position_y':1.731367, 'head_position_z':-0.5666252
'global_time':1.73999, 'head_position_x':0.2728733, 'head_position_y':1.731421, 'head_position_z':-0.566622
'global_time':1.751985, 'head_position_x':0.2728754, 'head_position_y':1.731404, 'head_position_z':-0.5667431
'global_time':1.763794, 'head_position_x':0.2729821, 'head_position_y':1.731405, 'head_position_z':-0.5669228
'global_time':1.774101, 'head_position_x':0.2730625, 'head_position_y':1.731391, 'head_position_z':-0.5670915
'global_time':1.785514, 'head_position_x':0.2733069, 'head_position_y':1.731428, 'head_position_z':-0.5672225
'global_time':1.797199, 'head_position_x':0.2733981, 'head_position_y':1.731431, 'head_position_z':-0.5674462
'global_time':1.809589, 'head_position_x':0.2740363, 'head_position_y':1.731541, 'head_position_z':-0.567688
'global_time':1.822186, 'head_position_x':0.2742464, 'head_position_y':1.731549, 'head_position_z':-0.567818
'global_time':1.834526, 'head_position_x':0.2745675, 'head_position_y':1.731584, 'head_position_z':-0.5680313
'global_time':1.847433, 'head_position_x':0.2749434, 'head_position_y':1.731644, 'head_position_z':-0.568135
'global_time':1.859878, 'head_position_x':0.275209, 'head_position_y':1.731648, 'head_position_z':-0.5683478
'global_time':1.871615, 'head_position_x':0.2752581, 'head_position_y':1.731655, 'head_position_z':-0.5684173
'global_time':1.88361, 'head_position_x':0.2753732, 'head_position_y':1.731706, 'head_position_z':-0.5685735
'global_time':1.901552, 'head_position_x':0.2754169, 'head_position_y':1.731778, 'head_position_z':-0.568679
'global_time':1.914479, 'head_position_x':0.2750457, 'head_position_y':1.732096, 'head_position_z':-0.5684161
'global_time':1.926342, 'head_position_x':0.2748545, 'head_position_y':1.732254, 'head_position_z':-0.5682288
'global_time':1.943177, 'head_position_x':0.2735828, 'head_position_y':1.732458, 'head_position_z':-0.5678748
'global_time':1.954184, 'head_position_x':0.2728164, 'head_position_y':1.732523, 'head_position_z':-0.567686
'global_time':1.9664, 'head_position_x':0.2720062, 'head_position_y':1.73255, 'head_position_z':-0.5674984
'global_time':1.978928, 'head_position_x':0.2711237, 'head_position_y':1.73259, 'head_position_z':-0.5670088
'global_time':2.312261, 'head_position_x':0.2700045, 'head_position_y':1.732566, 'head_position_z':-0.5666171
'global_time':2.332003, 'head_position_x':0.260973, 'head_position_y':1.731479, 'head_position_z':-0.5591261
'global_time':2.3451, 'head_position_x':0.2610543, 'head_position_y':1.731468, 'head_position_z':-0.5591416
'global_time':2.359618, 'head_position_x':0.2610694, 'head_position_y':1.731551, 'head_position_z':-0.5592121
'global_time':2.372098, 'head_position_x':0.2610103, 'head_position_y':1.731429, 'head_position_z':-0.5591709
'global_time':2.386035, 'head_position_x':0.2611304, 'head_position_y':1.731457, 'head_position_z':-0.5594284
'global_time':2.400433, 'head_position_x':0.2611799, 'head_position_y':1.731461, 'head_position_z':-0.5594606
'global_time':2.4137, 'head_position_x':0.2613083, 'head_position_y':1.73149, 'head_position_z':-0.5595414
'global_time':2.426999, 'head_position_x':0.2613418, 'head_position_y':1.731502, 'head_position_z':-0.5595779
'global_time':2.439927, 'head_position_x':0.2612659, 'head_position_y':1.731488, 'head_position_z':-0.5596478
'global_time':2.453702, 'head_position_x':0.2614172, 'head_position_y':1.731513, 'head_position_z':-0.5595874
'global_time':2.468875, 'head_position_x':0.2614695, 'head_position_y':1.731504, 'head_position_z':-0.5595834
