'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.089178, 'head_vector_x':0.04456564, 'head_vector_y':0.1439672, 'head_vector_z':0.9885784
'global_time':1.101928, 'head_vector_x':0.05078833, 'head_vector_y':0.1430276, 'head_vector_z':0.9884147
'global_time':1.117369, 'head_vector_x':0.0567169, 'head_vector_y':0.1421673, 'head_vector_z':0.9882164
'global_time':1.128011, 'head_vector_x':0.0625349, 'head_vector_y':0.1416204, 'head_vector_z':0.9879438
'global_time':1.138447, 'head_vector_x':0.0675831, 'head_vector_y':0.1409117, 'head_vector_z':0.9877127
'global_time':1.150535, 'head_vector_x':0.07204723, 'head_vector_y':0.1403495, 'head_vector_z':0.9874772
'global_time':1.163284, 'head_vector_x':0.07592149, 'head_vector_y':0.1395349, 'head_vector_z':0.9873024
'global_time':1.176099, 'head_vector_x':0.08308546, 'head_vector_y':0.1379995, 'head_vector_z':0.9869412
'global_time':1.187308, 'head_vector_x':0.08666831, 'head_vector_y':0.1372511, 'head_vector_z':0.9867374
'global_time':1.19772, 'head_vector_x':0.09081639, 'head_vector_y':0.1366443, 'head_vector_z':0.9864485
'global_time':1.209654, 'head_vector_x':0.09565451, 'head_vector_y':0.1360664, 'head_vector_z':0.9860711
'global_time':1.223271, 'head_vector_x':0.1004113, 'head_vector_y':0.1359498, 'head_vector_z':0.9856141
'global_time':1.235091, 'head_vector_x':0.1047149, 'head_vector_y':0.1357423, 'head_vector_z':0.9851948
'global_time':1.247137, 'head_vector_x':0.1085427, 'head_vector_y':0.1360732, 'head_vector_z':0.9847348
'global_time':1.260171, 'head_vector_x':0.1126618, 'head_vector_y':0.1366223, 'head_vector_z':0.9841959
'global_time':1.271878, 'head_vector_x':0.1174965, 'head_vector_y':0.137365, 'head_vector_z':0.983527
'global_time':1.285228, 'head_vector_x':0.1226289, 'head_vector_y':0.137927, 'head_vector_z':0.9828216
'global_time':1.29846, 'head_vector_x':0.1289451, 'head_vector_y':0.1382709, 'head_vector_z':0.9819645
'global_time':1.311196, 'head_vector_x':0.1416058, 'head_vector_y':0.1383456, 'head_vector_z':0.9802083
'global_time':1.323708, 'head_vector_x':0.1479413, 'head_vector_y':0.1381662, 'head_vector_z':0.9792975
'global_time':1.337131, 'head_vector_x':0.1543148, 'head_vector_y':0.1380029, 'head_vector_z':0.9783364
'global_time':1.350684, 'head_vector_x':0.1606413, 'head_vector_y':0.1384363, 'head_vector_z':0.9772562
'global_time':1.363319, 'head_vector_x':0.1672041, 'head_vector_y':0.1385413, 'head_vector_z':0.9761399
'global_time':1.374591, 'head_vector_x':0.1740199, 'head_vector_y':0.1388343, 'head_vector_z':0.9749062
'global_time':1.386469, 'head_vector_x':0.1818239, 'head_vector_y':0.1387147, 'head_vector_z':0.973498
'global_time':1.398552, 'head_vector_x':0.1972743, 'head_vector_y':0.137698, 'head_vector_z':0.9706298
'global_time':1.410539, 'head_vector_x':0.2055244, 'head_vector_y':0.1367761, 'head_vector_z':0.969047
'global_time':1.421544, 'head_vector_x':0.2134688, 'head_vector_y':0.135699, 'head_vector_z':0.9674796
'global_time':1.433904, 'head_vector_x':0.2215098, 'head_vector_y':0.1348012, 'head_vector_z':0.9657961
'global_time':1.445573, 'head_vector_x':0.2296424, 'head_vector_y':0.1334091, 'head_vector_z':0.9640884
'global_time':1.45939, 'head_vector_x':0.2376475, 'head_vector_y':0.1318185, 'head_vector_z':0.9623656
'global_time':1.47201, 'head_vector_x':0.2457023, 'head_vector_y':0.1302787, 'head_vector_z':0.9605508
'global_time':1.485597, 'head_vector_x':0.2540453, 'head_vector_y':0.1285445, 'head_vector_z':0.9586121
'global_time':1.497178, 'head_vector_x':0.2619576, 'head_vector_y':0.1265838, 'head_vector_z':0.9567418
'global_time':1.510767, 'head_vector_x':0.2763334, 'head_vector_y':0.1228197, 'head_vector_z':0.9531816
'global_time':1.525714, 'head_vector_x':0.2827836, 'head_vector_y':0.1214758, 'head_vector_z':0.9514605
'global_time':1.537439, 'head_vector_x':0.2886036, 'head_vector_y':0.120018, 'head_vector_z':0.9498966
'global_time':1.550744, 'head_vector_x':0.2941971, 'head_vector_y':0.1189589, 'head_vector_z':0.9483126
'global_time':1.564443, 'head_vector_x':0.2992137, 'head_vector_y':0.1181673, 'head_vector_z':0.9468409
'global_time':1.579824, 'head_vector_x':0.3081449, 'head_vector_y':0.1167913, 'head_vector_z':0.9441433
'global_time':1.591898, 'head_vector_x':0.3105635, 'head_vector_y':0.1165064, 'head_vector_z':0.9433857
'global_time':1.606772, 'head_vector_x':0.313153, 'head_vector_y':0.1163243, 'head_vector_z':0.9425518
'global_time':1.626019, 'head_vector_x':0.3168553, 'head_vector_y':0.1158825, 'head_vector_z':0.9413682
'global_time':1.640467, 'head_vector_x':0.3186931, 'head_vector_y':0.1156753, 'head_vector_z':0.9407731
'global_time':1.651693, 'head_vector_x':0.3207938, 'head_vector_y':0.1152359, 'head_vector_z':0.9401128
'global_time':1.663887, 'head_vector_x':0.3225438, 'head_vector_y':0.1149118, 'head_vector_z':0.9395535
'global_time':1.677073, 'head_vector_x':0.3270901, 'head_vector_y':0.1145441, 'head_vector_z':0.9380255
'global_time':1.688931, 'head_vector_x':0.3300216, 'head_vector_y':0.1143949, 'head_vector_z':0.9370163
'global_time':1.701279, 'head_vector_x':0.3329518, 'head_vector_y':0.1142595, 'head_vector_z':0.9359957
'global_time':1.713326, 'head_vector_x':0.3355645, 'head_vector_y':0.1139707, 'head_vector_z':0.9350974
'global_time':1.728026, 'head_vector_x':0.3378907, 'head_vector_y':0.113483, 'head_vector_z':0.9343188
'global_time':1.73999, 'head_vector_x':0.3401161, 'head_vector_y':0.1129546, 'head_vector_z':0.933575
'global_time':1.751985, 'head_vector_x':0.3422755, 'head_vector_y':0.1123453, 'head_vector_z':0.9328591
'global_time':1.763794, 'head_vector_x':0.3444101, 'head_vector_y':0.1114094, 'head_vector_z':0.9321854
'global_time':1.774101, 'head_vector_x':0.346551, 'head_vector_y':0.1104549, 'head_vector_z':0.9315053
'global_time':1.785514, 'head_vector_x':0.3486244, 'head_vector_y':0.1096747, 'head_vector_z':0.9308236
'global_time':1.797199, 'head_vector_x':0.3511666, 'head_vector_y':0.1091569, 'head_vector_z':0.9299284
'global_time':1.809589, 'head_vector_x':0.3579738, 'head_vector_y':0.108912, 'head_vector_z':0.927358
'global_time':1.822186, 'head_vector_x':0.3609559, 'head_vector_y':0.1090418, 'head_vector_z':0.9261861
