'global_time':2.838493, 'hit_distance':6.684698 
'global_time':2.851491, 'hit_distance':6.698015 
'global_time':2.864392, 'hit_distance':6.710432 
'global_time':2.876149, 'hit_distance':6.718925 
'global_time':2.888287, 'hit_distance':6.725369 
'global_time':2.900337, 'hit_distance':6.73641 
'global_time':2.914533, 'hit_distance':6.747646 
'global_time':2.926279, 'hit_distance':6.776278 
'global_time':2.937835, 'hit_distance':6.817507 
'global_time':2.948983, 'hit_distance':6.838184 
'global_time':2.962222, 'hit_distance':6.863694 
'global_time':2.977437, 'hit_distance':6.887869 
'global_time':2.991271, 'hit_distance':6.912607 
'global_time':3.003617, 'hit_distance':6.869849 
'global_time':3.015131, 'hit_distance':6.91143 
'global_time':3.025889, 'hit_distance':6.950745 
'global_time':3.039789, 'hit_distance':7.204751 
'global_time':3.052406, 'hit_distance':7.239656 
'global_time':3.064716, 'hit_distance':7.268101 
'global_time':3.077171, 'hit_distance':7.292166 
'global_time':3.089723, 'hit_distance':7.282109 
'global_time':3.102654, 'hit_distance':7.337492 
'global_time':3.114264, 'hit_distance':7.343482 
'global_time':3.126351, 'hit_distance':7.340136 
'global_time':3.13837, 'hit_distance':7.351198 
'global_time':3.151298, 'hit_distance':7.373313 
'global_time':3.163695, 'hit_distance':7.323116 
'global_time':3.175718, 'hit_distance':7.372164 
'global_time':3.187773, 'hit_distance':7.33454 
'global_time':3.199898, 'hit_distance':7.296419 
'global_time':3.210187, 'hit_distance':7.297574 
'global_time':3.22212, 'hit_distance':7.27142 
'global_time':3.235466, 'hit_distance':7.243263 
'global_time':3.247059, 'hit_distance':7.244259 
'global_time':3.259377, 'hit_distance':7.349966 
'global_time':3.271127, 'hit_distance':7.404989 
'global_time':3.284336, 'hit_distance':7.377104 
'global_time':3.296604, 'hit_distance':7.358205 
'global_time':3.308161, 'hit_distance':7.323861 
'global_time':3.319888, 'hit_distance':7.242446 
'global_time':3.332703, 'hit_distance':7.141766 
'global_time':3.34269, 'hit_distance':7.14732 
'global_time':3.353561, 'hit_distance':7.110744 
'global_time':3.366135, 'hit_distance':7.09354 
'global_time':3.378767, 'hit_distance':7.152717 
'global_time':3.391217, 'hit_distance':7.113159 
