'global_time':5.189726, 'hit_distance':6.565906 
'global_time':5.202827, 'hit_distance':6.54636 
'global_time':5.214986, 'hit_distance':6.53785 
'global_time':5.226967, 'hit_distance':6.533436 
'global_time':5.240717, 'hit_distance':6.530054 
'global_time':5.252913, 'hit_distance':6.527802 
'global_time':5.264371, 'hit_distance':6.527405 
'global_time':5.28544, 'hit_distance':6.53342 
'global_time':5.29848, 'hit_distance':6.540116 
'global_time':5.310863, 'hit_distance':6.545385 
'global_time':5.321678, 'hit_distance':6.546641 
'global_time':5.333335, 'hit_distance':6.55216 
'global_time':5.345832, 'hit_distance':6.572751 
'global_time':5.357462, 'hit_distance':6.583452 
'global_time':5.368545, 'hit_distance':6.598804 
'global_time':5.381952, 'hit_distance':6.616963 
'global_time':5.393433, 'hit_distance':6.637861 
'global_time':5.405673, 'hit_distance':6.658672 
'global_time':5.418716, 'hit_distance':6.685091 
'global_time':5.431752, 'hit_distance':6.704338 
'global_time':5.444023, 'hit_distance':6.723727 
'global_time':5.455001, 'hit_distance':6.741147 
'global_time':5.465393, 'hit_distance':6.759315 
'global_time':5.478166, 'hit_distance':6.779047 
'global_time':5.489048, 'hit_distance':6.834235 
'global_time':5.50124, 'hit_distance':6.860119 
'global_time':5.513577, 'hit_distance':6.889532 
'global_time':5.527219, 'hit_distance':6.920906 
'global_time':5.53907, 'hit_distance':6.952107 
'global_time':5.551176, 'hit_distance':6.983254 
'global_time':5.564203, 'hit_distance':7.014564 
'global_time':5.575654, 'hit_distance':7.046393 
'global_time':5.586927, 'hit_distance':7.080413 
'global_time':5.59743, 'hit_distance':7.130849 
'global_time':5.613969, 'hit_distance':7.21384 
'global_time':5.627114, 'hit_distance':7.250206 
'global_time':5.639165, 'hit_distance':7.289338 
'global_time':5.651076, 'hit_distance':7.307451 
'global_time':5.66474, 'hit_distance':7.329375 
'global_time':5.6782, 'hit_distance':7.407625 
'global_time':5.688828, 'hit_distance':7.440273 
'global_time':5.703877, 'hit_distance':7.472606 
'global_time':5.7155, 'hit_distance':7.519083 
'global_time':5.727243, 'hit_distance':7.570059 
'global_time':5.739666, 'hit_distance':7.59802 
'global_time':5.752879, 'hit_distance':7.624825 
'global_time':5.76525, 'hit_distance':7.640594 
'global_time':5.776315, 'hit_distance':7.560019 
'global_time':5.789083, 'hit_distance':7.559022 
'global_time':5.802208, 'hit_distance':7.523459 
'global_time':5.813922, 'hit_distance':7.536132 
'global_time':5.825457, 'hit_distance':7.521421 
'global_time':5.837655, 'hit_distance':7.500381 
'global_time':5.851616, 'hit_distance':7.484178 
'global_time':5.863578, 'hit_distance':7.466676 
'global_time':5.876443, 'hit_distance':7.441366 
'global_time':5.889489, 'hit_distance':7.379099 
