'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.085864, 'head_vector_x':0.2516747, 'head_vector_y':0.06882833, 'head_vector_z':0.9653614
'global_time':1.09753, 'head_vector_x':0.2574631, 'head_vector_y':0.07040668, 'head_vector_z':0.9637197
'global_time':1.110159, 'head_vector_x':0.2624336, 'head_vector_y':0.071406, 'head_vector_z':0.9623044
'global_time':1.123243, 'head_vector_x':0.2669009, 'head_vector_y':0.07221213, 'head_vector_z':0.9610147
'global_time':1.135363, 'head_vector_x':0.2707316, 'head_vector_y':0.0727113, 'head_vector_z':0.9599049
'global_time':1.148692, 'head_vector_x':0.2777875, 'head_vector_y':0.07313, 'head_vector_z':0.9578549
'global_time':1.165247, 'head_vector_x':0.2805888, 'head_vector_y':0.07307658, 'head_vector_z':0.9570422
'global_time':1.177555, 'head_vector_x':0.2834368, 'head_vector_y':0.07319289, 'head_vector_z':0.9561937
'global_time':1.190265, 'head_vector_x':0.2865549, 'head_vector_y':0.07296975, 'head_vector_z':0.955281
'global_time':1.201275, 'head_vector_x':0.2896826, 'head_vector_y':0.0729143, 'head_vector_z':0.9543414
'global_time':1.214945, 'head_vector_x':0.2959279, 'head_vector_y':0.07305456, 'head_vector_z':0.9524126
'global_time':1.226227, 'head_vector_x':0.2986459, 'head_vector_y':0.07319953, 'head_vector_z':0.9515526
'global_time':1.238755, 'head_vector_x':0.3010842, 'head_vector_y':0.0733475, 'head_vector_z':0.9507726
'global_time':1.25074, 'head_vector_x':0.3032282, 'head_vector_y':0.07309376, 'head_vector_z':0.9501105
'global_time':1.262669, 'head_vector_x':0.3056097, 'head_vector_y':0.07292906, 'head_vector_z':0.9493598
'global_time':1.275096, 'head_vector_x':0.3081934, 'head_vector_y':0.07334378, 'head_vector_z':0.9484922
'global_time':1.284897, 'head_vector_x':0.3107295, 'head_vector_y':0.07390702, 'head_vector_z':0.9476207
'global_time':1.297959, 'head_vector_x':0.3134759, 'head_vector_y':0.07455163, 'head_vector_z':0.9466652
'global_time':1.310023, 'head_vector_x':0.3158583, 'head_vector_y':0.07521906, 'head_vector_z':0.9458201
'global_time':1.32416, 'head_vector_x':0.31788, 'head_vector_y':0.0757487, 'head_vector_z':0.9451002
'global_time':1.33603, 'head_vector_x':0.3197463, 'head_vector_y':0.07605277, 'head_vector_z':0.944446
'global_time':1.350377, 'head_vector_x':0.322605, 'head_vector_y':0.07586917, 'head_vector_z':0.9434882
'global_time':1.365282, 'head_vector_x':0.3234113, 'head_vector_y':0.07561444, 'head_vector_z':0.9432325
'global_time':1.375807, 'head_vector_x':0.3241283, 'head_vector_y':0.0750688, 'head_vector_z':0.94303
'global_time':1.386527, 'head_vector_x':0.3243787, 'head_vector_y':0.07479035, 'head_vector_z':0.942966
'global_time':1.399816, 'head_vector_x':0.3244006, 'head_vector_y':0.07406457, 'head_vector_z':0.9430158
'global_time':1.410137, 'head_vector_x':0.3237878, 'head_vector_y':0.07364544, 'head_vector_z':0.9432592
'global_time':1.422229, 'head_vector_x':0.3226604, 'head_vector_y':0.07325964, 'head_vector_z':0.9436754
'global_time':1.435808, 'head_vector_x':0.3186254, 'head_vector_y':0.07246575, 'head_vector_z':0.9451067
'global_time':1.448718, 'head_vector_x':0.3156084, 'head_vector_y':0.07176953, 'head_vector_z':0.9461715
'global_time':1.459719, 'head_vector_x':0.3126459, 'head_vector_y':0.07105338, 'head_vector_z':0.9472085
'global_time':1.472292, 'head_vector_x':0.3091857, 'head_vector_y':0.07024028, 'head_vector_z':0.9484042
'global_time':1.485407, 'head_vector_x':0.3051701, 'head_vector_y':0.06949312, 'head_vector_z':0.9497589
'global_time':1.497188, 'head_vector_x':0.300905, 'head_vector_y':0.06844848, 'head_vector_z':0.9511945
'global_time':1.509519, 'head_vector_x':0.2962238, 'head_vector_y':0.06792966, 'head_vector_z':0.9526998
'global_time':1.521359, 'head_vector_x':0.2911422, 'head_vector_y':0.06720712, 'head_vector_z':0.9543162
'global_time':1.533467, 'head_vector_x':0.2857372, 'head_vector_y':0.0667183, 'head_vector_z':0.9559827
'global_time':1.546215, 'head_vector_x':0.2801788, 'head_vector_y':0.06590353, 'head_vector_z':0.9576829
'global_time':1.559222, 'head_vector_x':0.2679166, 'head_vector_y':0.0648139, 'head_vector_z':0.9612595
'global_time':1.569512, 'head_vector_x':0.2612952, 'head_vector_y':0.06388527, 'head_vector_z':0.9631425
'global_time':1.582359, 'head_vector_x':0.2547369, 'head_vector_y':0.06285858, 'head_vector_z':0.9649652
'global_time':1.592951, 'head_vector_x':0.2478095, 'head_vector_y':0.06238234, 'head_vector_z':0.9667982
'global_time':1.605679, 'head_vector_x':0.24074, 'head_vector_y':0.06243262, 'head_vector_z':0.9685796
'global_time':1.618047, 'head_vector_x':0.2332304, 'head_vector_y':0.06285399, 'head_vector_z':0.9703881
'global_time':1.630325, 'head_vector_x':0.2256545, 'head_vector_y':0.06369401, 'head_vector_z':0.972123
'global_time':1.64327, 'head_vector_x':0.2179752, 'head_vector_y':0.06390389, 'head_vector_z':0.9738599
'global_time':1.656154, 'head_vector_x':0.2100852, 'head_vector_y':0.06394775, 'head_vector_z':0.9755895
'global_time':1.668363, 'head_vector_x':0.2024767, 'head_vector_y':0.06357694, 'head_vector_z':0.9772211
'global_time':1.68137, 'head_vector_x':0.187037, 'head_vector_y':0.06261528, 'head_vector_z':0.9803553
'global_time':1.692879, 'head_vector_x':0.1790625, 'head_vector_y':0.06193371, 'head_vector_z':0.9818864
'global_time':1.705058, 'head_vector_x':0.1708263, 'head_vector_y':0.06156382, 'head_vector_z':0.983376
'global_time':1.71643, 'head_vector_x':0.1619651, 'head_vector_y':0.06071751, 'head_vector_z':0.9849268
'global_time':1.726586, 'head_vector_x':0.152945, 'head_vector_y':0.06025759, 'head_vector_z':0.9863959
'global_time':1.738709, 'head_vector_x':0.1440629, 'head_vector_y':0.06010488, 'head_vector_z':0.9877415
'global_time':1.754021, 'head_vector_x':0.1350987, 'head_vector_y':0.05998745, 'head_vector_z':0.9890146
