'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':0.9746915, 'gaze_vector_x':0.1028131, 'gaze_vector_y':0.01920035, 'gaze_vector_z':0.9945088
'gaze_vector':0.9875848, 'gaze_vector_x':0.1347856, 'gaze_vector_y':0.01469776, 'gaze_vector_z':0.990752
'gaze_vector':0.9993339, 'gaze_vector_x':0.1462278, 'gaze_vector_y':0.01790434, 'gaze_vector_z':0.9890795
'gaze_vector':1.011204, 'gaze_vector_x':0.1574081, 'gaze_vector_y':0.01931629, 'gaze_vector_z':0.9873297
'gaze_vector':1.023353, 'gaze_vector_x':0.1703175, 'gaze_vector_y':0.02587536, 'gaze_vector_z':0.9850448
'gaze_vector':1.035605, 'gaze_vector_x':0.1811862, 'gaze_vector_y':0.02472335, 'gaze_vector_z':0.9831335
'gaze_vector':1.048028, 'gaze_vector_x':0.2080345, 'gaze_vector_y':0.01652174, 'gaze_vector_z':0.9779795
'gaze_vector':1.05976, 'gaze_vector_x':0.222943, 'gaze_vector_y':0.01967751, 'gaze_vector_z':0.9746306
'gaze_vector':1.07319, 'gaze_vector_x':0.2181924, 'gaze_vector_y':0.02440438, 'gaze_vector_z':0.9755999
'gaze_vector':1.085864, 'gaze_vector_x':0.2244342, 'gaze_vector_y':0.02771861, 'gaze_vector_z':0.9740822
'gaze_vector':1.09753, 'gaze_vector_x':0.2351139, 'gaze_vector_y':0.0367299, 'gaze_vector_z':0.9712641
'gaze_vector':1.110159, 'gaze_vector_x':0.2460856, 'gaze_vector_y':0.03162834, 'gaze_vector_z':0.9687313
'gaze_vector':1.123243, 'gaze_vector_x':0.2491729, 'gaze_vector_y':0.0327699, 'gaze_vector_z':0.9679017
'gaze_vector':1.135363, 'gaze_vector_x':0.2662419, 'gaze_vector_y':0.03346785, 'gaze_vector_z':0.9633173
'gaze_vector':1.148692, 'gaze_vector_x':0.2734525, 'gaze_vector_y':0.02689745, 'gaze_vector_z':0.9614949
'gaze_vector':1.165247, 'gaze_vector_x':0.2852453, 'gaze_vector_y':0.03561039, 'gaze_vector_z':0.9577885
'gaze_vector':1.177555, 'gaze_vector_x':0.2982458, 'gaze_vector_y':0.02435185, 'gaze_vector_z':0.9541702
'gaze_vector':1.190265, 'gaze_vector_x':0.3019465, 'gaze_vector_y':0.0353038, 'gaze_vector_z':0.9526626
'gaze_vector':1.201275, 'gaze_vector_x':0.3004791, 'gaze_vector_y':0.01146425, 'gaze_vector_z':0.9537126
'gaze_vector':1.214945, 'gaze_vector_x':0.3191319, 'gaze_vector_y':0.007523693, 'gaze_vector_z':0.9476659
'gaze_vector':1.226227, 'gaze_vector_x':0.3210414, 'gaze_vector_y':0.01467461, 'gaze_vector_z':0.9469413
'gaze_vector':1.238755, 'gaze_vector_x':0.3257462, 'gaze_vector_y':0.02813692, 'gaze_vector_z':0.9450222
'gaze_vector':1.25074, 'gaze_vector_x':0.331491, 'gaze_vector_y':0.03128688, 'gaze_vector_z':0.9429255
'gaze_vector':1.262669, 'gaze_vector_x':0.3420407, 'gaze_vector_y':0.02795998, 'gaze_vector_z':0.9392545
'gaze_vector':1.275096, 'gaze_vector_x':0.3504775, 'gaze_vector_y':0.03347404, 'gaze_vector_z':0.9359697
'gaze_vector':1.284897, 'gaze_vector_x':0.3415112, 'gaze_vector_y':0.02683089, 'gaze_vector_z':0.9394919
'gaze_vector':1.297959, 'gaze_vector_x':0.3400743, 'gaze_vector_y':0.02338891, 'gaze_vector_z':0.9400975
'gaze_vector':1.310023, 'gaze_vector_x':0.3417204, 'gaze_vector_y':0.02096102, 'gaze_vector_z':0.9395624
'gaze_vector':1.32416, 'gaze_vector_x':0.3457467, 'gaze_vector_y':0.02398444, 'gaze_vector_z':0.9380196
'gaze_vector':1.33603, 'gaze_vector_x':0.35783, 'gaze_vector_y':0.02479426, 'gaze_vector_z':0.9334507
'gaze_vector':1.350377, 'gaze_vector_x':0.3684801, 'gaze_vector_y':0.03377848, 'gaze_vector_z':0.9290197
'gaze_vector':1.365282, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.375807, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.386527, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.399816, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.410137, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.422229, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.435808, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.448718, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.459719, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.472292, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.485407, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.497188, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.509519, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.521359, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.533467, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.546215, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':1.559222, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
