'global_time':1.177555, 'center_x':2.199999, 'center_y':2, 'center_z':6, 'gaze_x':2.09794, 'gaze_y':1.970039, 'gaze_z':5.99726
'global_time':1.190265, 'center_x':2.299999, 'center_y':2, 'center_z':6, 'gaze_x':2.12695, 'gaze_y':2.044818, 'gaze_z':5.997279
'global_time':1.201275, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':2.115166, 'gaze_y':1.88222, 'gaze_z':5.997307
'global_time':1.214945, 'center_x':2.499998, 'center_y':2, 'center_z':6, 'gaze_x':2.257161, 'gaze_y':1.855687, 'gaze_z':5.9973
'global_time':1.226227, 'center_x':2.599998, 'center_y':2, 'center_z':6, 'gaze_x':2.272382, 'gaze_y':1.904645, 'gaze_z':5.997338
'global_time':1.238755, 'center_x':2.699998, 'center_y':2, 'center_z':6, 'gaze_x':2.309563, 'gaze_y':1.997153, 'gaze_z':5.997314
'global_time':1.25074, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':2.354496, 'gaze_y':2.01918, 'gaze_z':5.997359
'global_time':1.262669, 'center_x':2.899998, 'center_y':2, 'center_z':6, 'gaze_x':2.436872, 'gaze_y':1.997068, 'gaze_z':5.997377
'global_time':1.275096, 'center_x':2.999998, 'center_y':2, 'center_z':6, 'gaze_x':2.504033, 'gaze_y':2.035908, 'gaze_z':5.997446
'global_time':1.284897, 'center_x':3.099998, 'center_y':2, 'center_z':6, 'gaze_x':2.433364, 'gaze_y':1.989099, 'gaze_z':5.997437
'global_time':1.297959, 'center_x':3.099998, 'center_y':2, 'center_z':6, 'gaze_x':2.422393, 'gaze_y':1.965215, 'gaze_z':5.997375
'global_time':1.310023, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':2.435489, 'gaze_y':1.948472, 'gaze_z':5.997394
'global_time':1.32416, 'center_x':3.299998, 'center_y':2, 'center_z':6, 'gaze_x':2.467479, 'gaze_y':1.969544, 'gaze_z':5.997409
'global_time':1.33603, 'center_x':3.399997, 'center_y':2, 'center_z':6, 'gaze_x':2.563545, 'gaze_y':1.975943, 'gaze_z':5.997376
'global_time':1.350377, 'center_x':3.499997, 'center_y':2, 'center_z':6, 'gaze_x':2.650547, 'gaze_y':2.03957, 'gaze_z':5.997439
'global_time':4.225817, 'center_x':5.960464E-08, 'center_y':2, 'center_z':6, 'gaze_x':-0.5559294, 'gaze_y':2.007442, 'gaze_z':5.99411
'global_time':4.237464, 'center_x':-0.0999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.2487782, 'gaze_y':2.015932, 'gaze_z':5.994099
'global_time':4.250473, 'center_x':-0.1999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.04441227, 'gaze_y':2.16027, 'gaze_z':5.994122
'global_time':4.262062, 'center_x':-0.2999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.0276389, 'gaze_y':2.212935, 'gaze_z':5.994178
'global_time':4.273854, 'center_x':-0.3999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.4287477, 'gaze_y':2.038877, 'gaze_z':5.994197
'global_time':4.287465, 'center_x':-0.4999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.4847736, 'gaze_y':2.034, 'gaze_z':5.994231
'global_time':4.300026, 'center_x':-0.5999997, 'center_y':2, 'center_z':6, 'gaze_x':-0.7285948, 'gaze_y':2.07814, 'gaze_z':5.994235
'global_time':4.310686, 'center_x':-0.6999997, 'center_y':2, 'center_z':6, 'gaze_x':-0.7546223, 'gaze_y':2.037438, 'gaze_z':5.994352
'global_time':4.322451, 'center_x':-0.7999997, 'center_y':2, 'center_z':6, 'gaze_x':-0.8397266, 'gaze_y':2.022827, 'gaze_z':5.994374
'global_time':4.335252, 'center_x':-0.8999996, 'center_y':2, 'center_z':6, 'gaze_x':-0.9438396, 'gaze_y':2.04355, 'gaze_z':5.994461
'global_time':4.349814, 'center_x':-0.9999996, 'center_y':2, 'center_z':6, 'gaze_x':-1.019519, 'gaze_y':2.130588, 'gaze_z':5.994489
'global_time':4.360451, 'center_x':-1.1, 'center_y':2, 'center_z':6, 'gaze_x':-1.15299, 'gaze_y':2.142153, 'gaze_z':5.994514
'global_time':4.372513, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-1.200303, 'gaze_y':2.130418, 'gaze_z':5.994522
'global_time':4.384795, 'center_x':-1.299999, 'center_y':2, 'center_z':6, 'gaze_x':-1.407794, 'gaze_y':2.009314, 'gaze_z':5.994569
'global_time':4.398099, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-1.509413, 'gaze_y':1.97111, 'gaze_z':5.994508
'global_time':4.410576, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-1.549024, 'gaze_y':1.96124, 'gaze_z':5.994604
'global_time':4.422499, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-1.707074, 'gaze_y':2.083046, 'gaze_z':5.994593
'global_time':4.436128, 'center_x':-1.699999, 'center_y':2, 'center_z':6, 'gaze_x':-1.900106, 'gaze_y':2.03636, 'gaze_z':5.994563
'global_time':4.447173, 'center_x':-1.799999, 'center_y':2, 'center_z':6, 'gaze_x':-1.986279, 'gaze_y':2.092421, 'gaze_z':5.994606
'global_time':4.457419, 'center_x':-1.899999, 'center_y':2, 'center_z':6, 'gaze_x':-2.089813, 'gaze_y':2.14452, 'gaze_z':5.994619
'global_time':4.470248, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-2.219639, 'gaze_y':2.246883, 'gaze_z':5.994515
'global_time':4.482425, 'center_x':-2.099999, 'center_y':2, 'center_z':6, 'gaze_x':-2.321707, 'gaze_y':2.247193, 'gaze_z':5.994556
'global_time':4.493743, 'center_x':-2.199999, 'center_y':2, 'center_z':6, 'gaze_x':-2.329273, 'gaze_y':2.224695, 'gaze_z':5.994486
'global_time':4.505225, 'center_x':-2.299999, 'center_y':2, 'center_z':6, 'gaze_x':-2.384566, 'gaze_y':2.202027, 'gaze_z':5.994581
'global_time':4.517369, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-2.566743, 'gaze_y':2.152386, 'gaze_z':5.994504
'global_time':4.530688, 'center_x':-2.499998, 'center_y':2, 'center_z':6, 'gaze_x':-2.581678, 'gaze_y':2.154106, 'gaze_z':5.99452
'global_time':4.543682, 'center_x':-2.599998, 'center_y':2, 'center_z':6, 'gaze_x':-2.825717, 'gaze_y':2.153608, 'gaze_z':5.994549
'global_time':4.555549, 'center_x':-2.699998, 'center_y':2, 'center_z':6, 'gaze_x':-2.891102, 'gaze_y':2.218744, 'gaze_z':5.994596
'global_time':4.567588, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-3.181254, 'gaze_y':2.174525, 'gaze_z':5.994597
'global_time':4.589588, 'center_x':-2.899998, 'center_y':2, 'center_z':6, 'gaze_x':-3.331095, 'gaze_y':2.156176, 'gaze_z':5.994682
'global_time':4.601894, 'center_x':-2.999998, 'center_y':2, 'center_z':6, 'gaze_x':-3.507761, 'gaze_y':2.1185, 'gaze_z':5.994657
'global_time':4.613666, 'center_x':-3.099998, 'center_y':2, 'center_z':6, 'gaze_x':-3.460055, 'gaze_y':2.103165, 'gaze_z':5.994733
'global_time':4.626977, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-3.137964, 'gaze_y':2.193637, 'gaze_z':5.994788
'global_time':4.638323, 'center_x':-3.299998, 'center_y':2, 'center_z':6, 'gaze_x':-3.180815, 'gaze_y':2.233155, 'gaze_z':5.994768
'global_time':4.649158, 'center_x':-3.399997, 'center_y':2, 'center_z':6, 'gaze_x':-3.488487, 'gaze_y':2.140455, 'gaze_z':5.994786
'global_time':4.660885, 'center_x':-3.499997, 'center_y':2, 'center_z':6, 'gaze_x':-3.581598, 'gaze_y':2.119038, 'gaze_z':5.994828
'global_time':4.673273, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-3.662308, 'gaze_y':2.110583, 'gaze_z':5.994834
