'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.083169, 'head_position_x':0.04656061, 'head_position_y':1.102805, 'head_position_z':-0.6264399
'global_time':1.09419, 'head_position_x':0.04653533, 'head_position_y':1.10284, 'head_position_z':-0.6263728
'global_time':1.105212, 'head_position_x':0.04652813, 'head_position_y':1.102844, 'head_position_z':-0.6263391
'global_time':1.118101, 'head_position_x':0.04674157, 'head_position_y':1.102812, 'head_position_z':-0.6265051
'global_time':1.131495, 'head_position_x':0.04675207, 'head_position_y':1.102869, 'head_position_z':-0.6265136
'global_time':1.143596, 'head_position_x':0.04671156, 'head_position_y':1.102885, 'head_position_z':-0.6264905
'global_time':1.155748, 'head_position_x':0.04682931, 'head_position_y':1.102863, 'head_position_z':-0.6266521
'global_time':1.170436, 'head_position_x':0.04682998, 'head_position_y':1.102836, 'head_position_z':-0.6267775
'global_time':1.181147, 'head_position_x':0.04677189, 'head_position_y':1.102841, 'head_position_z':-0.6267655
'global_time':1.192649, 'head_position_x':0.04685508, 'head_position_y':1.102831, 'head_position_z':-0.626871
'global_time':1.205148, 'head_position_x':0.04693941, 'head_position_y':1.102776, 'head_position_z':-0.6269216
'global_time':1.218206, 'head_position_x':0.04686742, 'head_position_y':1.102764, 'head_position_z':-0.6268949
'global_time':1.227378, 'head_position_x':0.04695015, 'head_position_y':1.102682, 'head_position_z':-0.6269606
'global_time':1.238089, 'head_position_x':0.04692043, 'head_position_y':1.102676, 'head_position_z':-0.6269224
'global_time':1.248139, 'head_position_x':0.04681814, 'head_position_y':1.102671, 'head_position_z':-0.6268336
'global_time':1.259094, 'head_position_x':0.04677524, 'head_position_y':1.102656, 'head_position_z':-0.6268014
'global_time':1.2702, 'head_position_x':0.04680075, 'head_position_y':1.102637, 'head_position_z':-0.6267906
'global_time':1.279987, 'head_position_x':0.04679102, 'head_position_y':1.102616, 'head_position_z':-0.6267846
'global_time':1.289926, 'head_position_x':0.04681754, 'head_position_y':1.102611, 'head_position_z':-0.6268253
'global_time':1.300358, 'head_position_x':0.04691979, 'head_position_y':1.102575, 'head_position_z':-0.6268809
'global_time':1.312045, 'head_position_x':0.04690858, 'head_position_y':1.102567, 'head_position_z':-0.6268839
'global_time':1.322645, 'head_position_x':0.0469152, 'head_position_y':1.102585, 'head_position_z':-0.6269164
'global_time':1.333158, 'head_position_x':0.04690835, 'head_position_y':1.102592, 'head_position_z':-0.6269268
'global_time':1.343107, 'head_position_x':0.04692774, 'head_position_y':1.102637, 'head_position_z':-0.6269861
'global_time':1.353999, 'head_position_x':0.04692007, 'head_position_y':1.102658, 'head_position_z':-0.6269966
'global_time':1.364987, 'head_position_x':0.04699227, 'head_position_y':1.102676, 'head_position_z':-0.6270496
'global_time':1.376191, 'head_position_x':0.04698721, 'head_position_y':1.102674, 'head_position_z':-0.6270648
'global_time':1.387084, 'head_position_x':0.04693584, 'head_position_y':1.102693, 'head_position_z':-0.6270137
'global_time':1.398928, 'head_position_x':0.04702638, 'head_position_y':1.102641, 'head_position_z':-0.6270456
'global_time':1.410533, 'head_position_x':0.04705049, 'head_position_y':1.10262, 'head_position_z':-0.6270361
'global_time':1.420635, 'head_position_x':0.0470094, 'head_position_y':1.102598, 'head_position_z':-0.6270755
'global_time':1.431578, 'head_position_x':0.04698715, 'head_position_y':1.102592, 'head_position_z':-0.6270741
'global_time':1.442976, 'head_position_x':0.046977, 'head_position_y':1.102603, 'head_position_z':-0.6270068
'global_time':1.453917, 'head_position_x':0.04696263, 'head_position_y':1.102594, 'head_position_z':-0.6269798
'global_time':1.466166, 'head_position_x':0.04690091, 'head_position_y':1.102569, 'head_position_z':-0.6268615
'global_time':1.476292, 'head_position_x':0.046894, 'head_position_y':1.102546, 'head_position_z':-0.6268408
'global_time':1.488222, 'head_position_x':0.04692508, 'head_position_y':1.102536, 'head_position_z':-0.6267496
'global_time':1.500427, 'head_position_x':0.04690084, 'head_position_y':1.10258, 'head_position_z':-0.6266835
'global_time':1.51092, 'head_position_x':0.04689135, 'head_position_y':1.102545, 'head_position_z':-0.6266568
'global_time':1.522201, 'head_position_x':0.0470545, 'head_position_y':1.102521, 'head_position_z':-0.6267555
'global_time':1.532682, 'head_position_x':0.04707386, 'head_position_y':1.102536, 'head_position_z':-0.626724
'global_time':1.543289, 'head_position_x':0.0472215, 'head_position_y':1.102559, 'head_position_z':-0.6268769
'global_time':1.55399, 'head_position_x':0.04721971, 'head_position_y':1.102582, 'head_position_z':-0.6269034
'global_time':1.564942, 'head_position_x':0.0471687, 'head_position_y':1.102675, 'head_position_z':-0.6268983
'global_time':1.576082, 'head_position_x':0.04712498, 'head_position_y':1.1027, 'head_position_z':-0.6269234
'global_time':1.587259, 'head_position_x':0.04708599, 'head_position_y':1.102759, 'head_position_z':-0.6269599
'global_time':1.599591, 'head_position_x':0.04702052, 'head_position_y':1.102808, 'head_position_z':-0.6269798
'global_time':1.610236, 'head_position_x':0.04702908, 'head_position_y':1.102836, 'head_position_z':-0.6270118
'global_time':1.62088, 'head_position_x':0.04709915, 'head_position_y':1.102824, 'head_position_z':-0.627075
'global_time':1.632204, 'head_position_x':0.04709295, 'head_position_y':1.102796, 'head_position_z':-0.6270699
'global_time':1.644441, 'head_position_x':0.04708388, 'head_position_y':1.102718, 'head_position_z':-0.6270424
'global_time':1.655853, 'head_position_x':0.04706664, 'head_position_y':1.102658, 'head_position_z':-0.6269978
'global_time':1.667297, 'head_position_x':0.04703485, 'head_position_y':1.102557, 'head_position_z':-0.6270136
'global_time':1.678429, 'head_position_x':0.04698284, 'head_position_y':1.102544, 'head_position_z':-0.6269582
'global_time':1.691312, 'head_position_x':0.04699145, 'head_position_y':1.102438, 'head_position_z':-0.6269643
'global_time':1.70118, 'head_position_x':0.0469472, 'head_position_y':1.102406, 'head_position_z':-0.6268941
'global_time':1.712599, 'head_position_x':0.04696395, 'head_position_y':1.102359, 'head_position_z':-0.6268522
'global_time':1.723802, 'head_position_x':0.04696445, 'head_position_y':1.102383, 'head_position_z':-0.6268421
'global_time':1.736052, 'head_position_x':0.04699254, 'head_position_y':1.102377, 'head_position_z':-0.6268153
'global_time':1.746952, 'head_position_x':0.04699526, 'head_position_y':1.102422, 'head_position_z':-0.6267495
'global_time':1.758236, 'head_position_x':0.04699952, 'head_position_y':1.102478, 'head_position_z':-0.6267127
'global_time':1.769419, 'head_position_x':0.04698699, 'head_position_y':1.102475, 'head_position_z':-0.6267239
'global_time':1.780934, 'head_position_x':0.04709212, 'head_position_y':1.102513, 'head_position_z':-0.62682
'global_time':1.792097, 'head_position_x':0.04710883, 'head_position_y':1.102544, 'head_position_z':-0.62683
'global_time':1.804338, 'head_position_x':0.04721295, 'head_position_y':1.102554, 'head_position_z':-0.6269986
'global_time':1.81545, 'head_position_x':0.04719087, 'head_position_y':1.102559, 'head_position_z':-0.6269968
'global_time':1.825692, 'head_position_x':0.04709695, 'head_position_y':1.102558, 'head_position_z':-0.6269956
'global_time':1.836658, 'head_position_x':0.04707583, 'head_position_y':1.102553, 'head_position_z':-0.6270028
'global_time':1.847866, 'head_position_x':0.04697909, 'head_position_y':1.10258, 'head_position_z':-0.6269352
'global_time':1.858967, 'head_position_x':0.0469405, 'head_position_y':1.102557, 'head_position_z':-0.626923
'global_time':1.874393, 'head_position_x':0.04693773, 'head_position_y':1.102543, 'head_position_z':-0.6269059
'global_time':1.885243, 'head_position_x':0.04686239, 'head_position_y':1.102527, 'head_position_z':-0.6268823
'global_time':1.896264, 'head_position_x':0.0468738, 'head_position_y':1.102502, 'head_position_z':-0.6268637
'global_time':1.907553, 'head_position_x':0.04686425, 'head_position_y':1.1025, 'head_position_z':-0.6268411
'global_time':1.921985, 'head_position_x':0.04685757, 'head_position_y':1.102475, 'head_position_z':-0.6268204
'global_time':1.932884, 'head_position_x':0.04693384, 'head_position_y':1.102489, 'head_position_z':-0.6268386
'global_time':2.266218, 'head_position_x':0.04689847, 'head_position_y':1.102529, 'head_position_z':-0.6267442
'global_time':2.285117, 'head_position_x':0.04807539, 'head_position_y':1.101668, 'head_position_z':-0.6271175
'global_time':2.294802, 'head_position_x':0.04818243, 'head_position_y':1.101653, 'head_position_z':-0.6271509
'global_time':2.305094, 'head_position_x':0.04826219, 'head_position_y':1.101606, 'head_position_z':-0.6271465
'global_time':2.318639, 'head_position_x':0.04827845, 'head_position_y':1.101591, 'head_position_z':-0.6271439
'global_time':2.331087, 'head_position_x':0.04803654, 'head_position_y':1.101712, 'head_position_z':-0.6269038
'global_time':2.341824, 'head_position_x':0.04809324, 'head_position_y':1.101709, 'head_position_z':-0.6269106
'global_time':2.352892, 'head_position_x':0.04798601, 'head_position_y':1.101742, 'head_position_z':-0.6267888
'global_time':2.364108, 'head_position_x':0.04803408, 'head_position_y':1.101713, 'head_position_z':-0.6267708
'global_time':2.375875, 'head_position_x':0.04811302, 'head_position_y':1.101735, 'head_position_z':-0.6267926
'global_time':2.387351, 'head_position_x':0.04817905, 'head_position_y':1.101733, 'head_position_z':-0.6268046
'global_time':2.399276, 'head_position_x':0.04821596, 'head_position_y':1.101766, 'head_position_z':-0.6268323
'global_time':2.41255, 'head_position_x':0.0482361, 'head_position_y':1.101774, 'head_position_z':-0.6268525
'global_time':2.423838, 'head_position_x':0.04803746, 'head_position_y':1.101837, 'head_position_z':-0.626759
'global_time':2.438023, 'head_position_x':0.04798588, 'head_position_y':1.101849, 'head_position_z':-0.6267765
'global_time':2.45237, 'head_position_x':0.04779258, 'head_position_y':1.101913, 'head_position_z':-0.6266372
'global_time':2.46396, 'head_position_x':0.04780191, 'head_position_y':1.101926, 'head_position_z':-0.6266625
'global_time':2.476273, 'head_position_x':0.04768711, 'head_position_y':1.101948, 'head_position_z':-0.6265872
'global_time':2.487229, 'head_position_x':0.04772275, 'head_position_y':1.101925, 'head_position_z':-0.6266344
'global_time':2.499845, 'head_position_x':0.04790851, 'head_position_y':1.101848, 'head_position_z':-0.6267344
'global_time':2.510308, 'head_position_x':0.04790929, 'head_position_y':1.101788, 'head_position_z':-0.6267593
'global_time':2.52409, 'head_position_x':0.0479891, 'head_position_y':1.101737, 'head_position_z':-0.6267215
'global_time':2.535308, 'head_position_x':0.04790465, 'head_position_y':1.101719, 'head_position_z':-0.6266763
'global_time':2.548385, 'head_position_x':0.0478379, 'head_position_y':1.10178, 'head_position_z':-0.6266416
'global_time':2.560678, 'head_position_x':0.04784801, 'head_position_y':1.101793, 'head_position_z':-0.6266572
'global_time':2.573231, 'head_position_x':0.04771284, 'head_position_y':1.101903, 'head_position_z':-0.6265667
'global_time':2.586718, 'head_position_x':0.04770214, 'head_position_y':1.101949, 'head_position_z':-0.6266257
'global_time':2.598947, 'head_position_x':0.04772747, 'head_position_y':1.102051, 'head_position_z':-0.626767
'global_time':2.610878, 'head_position_x':0.04770787, 'head_position_y':1.10219, 'head_position_z':-0.6269083
'global_time':2.62302, 'head_position_x':0.04758934, 'head_position_y':1.102511, 'head_position_z':-0.6271693
'global_time':2.635967, 'head_position_x':0.04769457, 'head_position_y':1.102527, 'head_position_z':-0.627246
'global_time':2.647889, 'head_position_x':0.04775701, 'head_position_y':1.102533, 'head_position_z':-0.627309
'global_time':2.659269, 'head_position_x':0.04781658, 'head_position_y':1.102543, 'head_position_z':-0.6273553
'global_time':2.674421, 'head_position_x':0.04804106, 'head_position_y':1.102587, 'head_position_z':-0.6275995
'global_time':2.687121, 'head_position_x':0.04809988, 'head_position_y':1.102688, 'head_position_z':-0.6276811
'global_time':2.699511, 'head_position_x':0.04825271, 'head_position_y':1.102702, 'head_position_z':-0.627753
