'global_time':14.23957, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.3714564,  'useGaze':True, 'useVal':False
'global_time':14.67259, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':14.98549, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.7459156,  'useGaze':True, 'useVal':False
'global_time':15.26155, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.2760581,  'useGaze':True, 'useVal':False
'global_time':15.72823, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.4666843,  'useGaze':True, 'useVal':False
'global_time':16.03152, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':16.13206, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.4038316,  'useGaze':True, 'useVal':False
'global_time':16.42556, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.2934969,  'useGaze':True, 'useVal':False
'global_time':16.73822, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.3126507,  'useGaze':True, 'useVal':False
'global_time':17.18933, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.4511088,  'useGaze':True, 'useVal':False
'global_time':17.46166, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.2723338,  'useGaze':True, 'useVal':False
'global_time':17.97566, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.5140033,  'useGaze':True, 'useVal':False
'global_time':18.24998, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.274324,  'useGaze':True, 'useVal':False
