'global_time':14.22886, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.766549, 'gaze_y':2.144718, 'gaze_z':2.933044, 'useGaze': True
'global_time':14.66169, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.2564081, 'gaze_y':1.587777, 'gaze_z':2.934001, 'useGaze': True
'global_time':14.97391, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.643416, 'gaze_y':1.242926, 'gaze_z':2.934042, 'useGaze': True
'global_time':15.24958, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.2920498, 'gaze_y':1.627184, 'gaze_z':2.934669, 'useGaze': True
'global_time':15.71598, 'center_x':-2, 'center_y':1, 'center_z':3, 'gaze_x':-1.396471, 'gaze_y':1.509338, 'gaze_z':3.016428, 'useGaze': True
'global_time':16.02033, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.1664866, 'gaze_y':1.233396, 'gaze_z':2.935231, 'useGaze': True
'global_time':16.12081, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.718612, 'gaze_y':1.393345, 'gaze_z':2.93514, 'useGaze': True
'global_time':16.41379, 'center_x':2, 'center_y':2.5, 'center_z':3, 'gaze_x':1.744306, 'gaze_y':2.248405, 'gaze_z':2.934982, 'useGaze': True
'global_time':16.72779, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.666859, 'gaze_y':1.443363, 'gaze_z':2.93075, 'useGaze': True
'global_time':17.17737, 'center_x':-2, 'center_y':2.5, 'center_z':3, 'gaze_x':-1.619313, 'gaze_y':1.946728, 'gaze_z':2.947947, 'useGaze': True
'global_time':17.45148, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':-0.05790685, 'gaze_y':1.575734, 'gaze_z':2.931296, 'useGaze': True
'global_time':17.96368, 'center_x':2, 'center_y':1, 'center_z':3, 'gaze_x':1.728097, 'gaze_y':1.355198, 'gaze_z':2.93601, 'useGaze': True
'global_time':18.23853, 'center_x':0, 'center_y':1, 'center_z':3, 'gaze_x':0.1103731, 'gaze_y':1.332505, 'gaze_z':2.939266, 'useGaze': True
