'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':0.9249958, 'gaze_vector_x':-0.07978861, 'gaze_vector_y':-0.8854783, 'gaze_vector_z':0.4577793
'gaze_vector':0.9371935, 'gaze_vector_x':-0.0718828, 'gaze_vector_y':-0.8846819, 'gaze_vector_z':0.46062
'gaze_vector':0.9475154, 'gaze_vector_x':-0.06356173, 'gaze_vector_y':-0.8837912, 'gaze_vector_z':0.463544
'gaze_vector':0.9581095, 'gaze_vector_x':-0.055278, 'gaze_vector_y':-0.8828335, 'gaze_vector_z':0.4664218
'gaze_vector':0.9696102, 'gaze_vector_x':-0.04687224, 'gaze_vector_y':-0.8820182, 'gaze_vector_z':0.4688785
'gaze_vector':0.9808225, 'gaze_vector_x':-0.03837941, 'gaze_vector_y':-0.881014, 'gaze_vector_z':0.4715309
'gaze_vector':0.993823, 'gaze_vector_x':-0.02967136, 'gaze_vector_y':-0.8799437, 'gaze_vector_z':0.4741506
'gaze_vector':1.004751, 'gaze_vector_x':-0.02079489, 'gaze_vector_y':-0.8789024, 'gaze_vector_z':0.4765481
'gaze_vector':1.016486, 'gaze_vector_x':-0.01164057, 'gaze_vector_y':-0.8777227, 'gaze_vector_z':0.4790276
'gaze_vector':1.027641, 'gaze_vector_x':-0.002129468, 'gaze_vector_y':-0.8766682, 'gaze_vector_z':0.4810908
'gaze_vector':1.03796, 'gaze_vector_x':0.007721718, 'gaze_vector_y':-0.8758386, 'gaze_vector_z':0.4825424
'gaze_vector':1.048889, 'gaze_vector_x':0.01720482, 'gaze_vector_y':-0.8752742, 'gaze_vector_z':0.4833211
'gaze_vector':1.06006, 'gaze_vector_x':0.02692172, 'gaze_vector_y':-0.8747936, 'gaze_vector_z':0.4837471
'gaze_vector':1.070599, 'gaze_vector_x':0.03647389, 'gaze_vector_y':-0.8746326, 'gaze_vector_z':0.4834124
'gaze_vector':1.081424, 'gaze_vector_x':0.0456481, 'gaze_vector_y':-0.8743671, 'gaze_vector_z':0.4831134
'gaze_vector':1.092351, 'gaze_vector_x':0.05442168, 'gaze_vector_y':-0.8743697, 'gaze_vector_z':0.4821991
'gaze_vector':1.103336, 'gaze_vector_x':0.06258097, 'gaze_vector_y':-0.8742383, 'gaze_vector_z':0.4814469
'gaze_vector':1.114444, 'gaze_vector_x':0.0708338, 'gaze_vector_y':-0.8741369, 'gaze_vector_z':0.4804866
'gaze_vector':1.125989, 'gaze_vector_x':0.07866485, 'gaze_vector_y':-0.874041, 'gaze_vector_z':0.4794415
'gaze_vector':1.140489, 'gaze_vector_x':0.08592306, 'gaze_vector_y':-0.8737931, 'gaze_vector_z':0.4786471
'gaze_vector':1.152094, 'gaze_vector_x':0.09320132, 'gaze_vector_y':-0.8735063, 'gaze_vector_z':0.4778078
'gaze_vector':1.162997, 'gaze_vector_x':0.1002892, 'gaze_vector_y':-0.8731782, 'gaze_vector_z':0.4769716
'gaze_vector':1.173195, 'gaze_vector_x':0.1066524, 'gaze_vector_y':-0.8726352, 'gaze_vector_z':0.4765849
'gaze_vector':1.184717, 'gaze_vector_x':0.1136135, 'gaze_vector_y':-0.8720722, 'gaze_vector_z':0.4760064
'gaze_vector':1.518051, 'gaze_vector_x':0.1200125, 'gaze_vector_y':-0.8711379, 'gaze_vector_z':0.4761468
'gaze_vector':1.53949, 'gaze_vector_x':0.08572645, 'gaze_vector_y':0.09716931, 'gaze_vector_z':0.991569
'gaze_vector':1.550182, 'gaze_vector_x':0.08284613, 'gaze_vector_y':0.1497892, 'gaze_vector_z':0.9852409
'gaze_vector':1.56114, 'gaze_vector_x':0.08050751, 'gaze_vector_y':0.1701628, 'gaze_vector_z':0.9821218
'gaze_vector':1.57393, 'gaze_vector_x':0.07865672, 'gaze_vector_y':0.1863512, 'gaze_vector_z':0.9793295
'gaze_vector':1.584614, 'gaze_vector_x':0.07596581, 'gaze_vector_y':0.196848, 'gaze_vector_z':0.9774866
'gaze_vector':1.59422, 'gaze_vector_x':0.07271454, 'gaze_vector_y':0.2076345, 'gaze_vector_z':0.9755001
'gaze_vector':1.606763, 'gaze_vector_x':0.0686684, 'gaze_vector_y':0.2185509, 'gaze_vector_z':0.9734065
'gaze_vector':1.62049, 'gaze_vector_x':0.06435852, 'gaze_vector_y':0.230062, 'gaze_vector_z':0.9710456
'gaze_vector':1.632215, 'gaze_vector_x':0.05340038, 'gaze_vector_y':0.2512232, 'gaze_vector_z':0.966455
'gaze_vector':1.643493, 'gaze_vector_x':0.04679154, 'gaze_vector_y':0.2630858, 'gaze_vector_z':0.9636371
'gaze_vector':1.654756, 'gaze_vector_x':0.03945587, 'gaze_vector_y':0.2748558, 'gaze_vector_z':0.9606755
'gaze_vector':1.669611, 'gaze_vector_x':0.03248592, 'gaze_vector_y':0.2865014, 'gaze_vector_z':0.9575289
'gaze_vector':1.681249, 'gaze_vector_x':0.02498768, 'gaze_vector_y':0.2961336, 'gaze_vector_z':0.9548196
'gaze_vector':1.694582, 'gaze_vector_x':0.01830668, 'gaze_vector_y':0.3050004, 'gaze_vector_z':0.9521763
'gaze_vector':1.705376, 'gaze_vector_x':0.01151111, 'gaze_vector_y':0.3117145, 'gaze_vector_z':0.9501061
'gaze_vector':1.718571, 'gaze_vector_x':0.004490239, 'gaze_vector_y':0.3182133, 'gaze_vector_z':0.9480085
'gaze_vector':1.731807, 'gaze_vector_x':-0.002312237, 'gaze_vector_y':0.3241392, 'gaze_vector_z':0.9460066
'gaze_vector':1.749411, 'gaze_vector_x':-0.01551941, 'gaze_vector_y':0.3372782, 'gaze_vector_z':0.9412771
'gaze_vector':1.761804, 'gaze_vector_x':-0.02194211, 'gaze_vector_y':0.3439643, 'gaze_vector_z':0.9387263
'gaze_vector':1.77561, 'gaze_vector_x':-0.02863162, 'gaze_vector_y':0.3502497, 'gaze_vector_z':0.9362187
'gaze_vector':1.787612, 'gaze_vector_x':-0.03533788, 'gaze_vector_y':0.3560334, 'gaze_vector_z':0.9338049
