'global_time':40.59142, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8154944,  'useGaze':False, 'useVal':True
'global_time':41.48578, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8943604,  'useGaze':False, 'useVal':True
'global_time':42.30213, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.816341,  'useGaze':False, 'useVal':True
'global_time':43.10594, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8037946,  'useGaze':False, 'useVal':True
'global_time':44.23033, 'ChildID':4, 'pos_x':-2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':1.124391,  'useGaze':False, 'useVal':True
'global_time':45.16, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.9296519,  'useGaze':False, 'useVal':True
'global_time':46.02852, 'ChildID':5, 'pos_x':-2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.8685247,  'useGaze':False, 'useVal':True
'global_time':46.94321, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.9146879,  'useGaze':False, 'useVal':True
'global_time':47.93332, 'ChildID':1, 'pos_x':2, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.9901032,  'useGaze':False, 'useVal':True
'global_time':48.71345, 'ChildID':2, 'pos_x':0, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.7801322,  'useGaze':False, 'useVal':True
'global_time':49.61582, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':0.9023722,  'useGaze':False, 'useVal':True
'global_time':50.46285, 'ChildID':0, 'pos_x':2, 'pos_y':2.5, 'pos_z':3, 'is_correct':1, 'activated_time':0.8470311,  'useGaze':False, 'useVal':True
'global_time':51.51033, 'ChildID':3, 'pos_x':0, 'pos_y':1, 'pos_z':3, 'is_correct':1, 'activated_time':1.047473,  'useGaze':False, 'useVal':True
