'global_time':14.90481, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.298429, 'gaze_y':1.407978, 'gaze_z':4.948459, 'useGaze': False
'global_time':15.52522, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.1975442, 'gaze_y':2.152989, 'gaze_z':4.940586, 'useGaze': False
'global_time':16.35703, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.931504, 'gaze_y':3.006097, 'gaze_z':1.501566, 'useGaze': False
'global_time':16.98586, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.946041, 'gaze_y':1.406577, 'gaze_z':1.854307, 'useGaze': False
'global_time':17.47143, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.936799, 'gaze_y':2.822672, 'gaze_z':3.179062, 'useGaze': False
'global_time':18.05818, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':1.059479, 'gaze_y':2.975173, 'gaze_z':4.933078, 'useGaze': False
'global_time':18.6944, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.7845506, 'gaze_y':1.229938, 'gaze_z':4.948795, 'useGaze': False
'global_time':19.14252, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.7114199, 'gaze_y':1.548044, 'gaze_z':4.946565, 'useGaze': False
'global_time':19.49029, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.937646, 'gaze_y':2.985969, 'gaze_z':3.689611, 'useGaze': False
'global_time':19.54824, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.93473, 'gaze_y':2.966914, 'gaze_z':2.225718, 'useGaze': False
'global_time':19.67069, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.935717, 'gaze_y':2.53089, 'gaze_z':0.7668042, 'useGaze': False
'global_time':20.23613, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.946103, 'gaze_y':1.504908, 'gaze_z':0.3380023, 'useGaze': False
'global_time':20.8005, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.944652, 'gaze_y':2.087002, 'gaze_z':3.413912, 'useGaze': False
