'global_time':4.509037, 'hit_distance':5.784232 
'global_time':4.523412, 'hit_distance':5.763339 
'global_time':4.537298, 'hit_distance':5.759919 
'global_time':4.549077, 'hit_distance':5.695149 
'global_time':4.559383, 'hit_distance':5.768097 
'global_time':4.570473, 'hit_distance':5.733854 
'global_time':4.570473, 'hit_distance':5.967705 
'global_time':4.582515, 'hit_distance':5.772445 
'global_time':4.582515, 'hit_distance':5.900412 
'global_time':4.593359, 'hit_distance':5.808692 
'global_time':4.593359, 'hit_distance':5.831809 
'global_time':4.60516, 'hit_distance':5.807483 
'global_time':4.60516, 'hit_distance':5.768761 
'global_time':4.618069, 'hit_distance':5.864717 
'global_time':4.618069, 'hit_distance':5.777482 
'global_time':4.628346, 'hit_distance':5.829202 
'global_time':4.628346, 'hit_distance':5.784523 
'global_time':4.640673, 'hit_distance':5.808286 
'global_time':4.640673, 'hit_distance':5.789776 
'global_time':4.65316, 'hit_distance':5.826309 
'global_time':4.65316, 'hit_distance':5.804517 
'global_time':4.663947, 'hit_distance':5.806656 
'global_time':4.663947, 'hit_distance':5.808802 
'global_time':4.67531, 'hit_distance':5.80503 
'global_time':4.67531, 'hit_distance':5.816945 
'global_time':4.687092, 'hit_distance':5.813467 
'global_time':4.687092, 'hit_distance':5.821626 
'global_time':4.696844, 'hit_distance':5.786926 
'global_time':4.696844, 'hit_distance':5.819068 
'global_time':4.709058, 'hit_distance':5.752762 
'global_time':4.709058, 'hit_distance':5.812664 
'global_time':4.719482, 'hit_distance':5.764687 
'global_time':4.719482, 'hit_distance':5.801371 
'global_time':4.732129, 'hit_distance':5.757877 
'global_time':4.732129, 'hit_distance':5.793396 
'global_time':4.744728, 'hit_distance':5.765422 
'global_time':4.744728, 'hit_distance':5.788548 
'global_time':4.757136, 'hit_distance':5.748 
'global_time':4.757136, 'hit_distance':5.779713 
'global_time':4.770437, 'hit_distance':5.759809 
'global_time':4.770437, 'hit_distance':5.774574 
'global_time':4.783506, 'hit_distance':5.760737 
'global_time':4.783506, 'hit_distance':5.770036 
'global_time':4.794893, 'hit_distance':5.731964 
'global_time':4.794893, 'hit_distance':5.760881 
'global_time':4.804958, 'hit_distance':5.742737 
'global_time':4.804958, 'hit_distance':5.755815 
'global_time':4.817992, 'hit_distance':5.74704 
'global_time':4.817992, 'hit_distance':5.755088 
'global_time':4.828988, 'hit_distance':5.729096 
'global_time':4.828988, 'hit_distance':5.750862 
'global_time':4.840971, 'hit_distance':5.501749 
'global_time':4.840971, 'hit_distance':5.720523 
'global_time':4.852423, 'hit_distance':5.614809 
'global_time':4.866026, 'hit_distance':5.480524 
'global_time':4.879157, 'hit_distance':5.345792 
'global_time':4.891181, 'hit_distance':5.224337 
'global_time':4.988403, 'hit_distance':4.756712 
'global_time':5.01163, 'hit_distance':4.714571 
'global_time':5.021706, 'hit_distance':4.739456 
'global_time':5.041444, 'hit_distance':4.839543 
'global_time':5.084221, 'hit_distance':4.767182 
'global_time':5.094318, 'hit_distance':4.776803 
'global_time':5.094318, 'hit_distance':4.784144 
'global_time':5.105964, 'hit_distance':4.877474 
'global_time':5.105964, 'hit_distance':4.752141 
'global_time':5.117359, 'hit_distance':4.911627 
'global_time':5.117359, 'hit_distance':4.771074 
'global_time':5.128168, 'hit_distance':4.847633 
'global_time':5.128168, 'hit_distance':4.782357 
'global_time':5.138914, 'hit_distance':4.870986 
'global_time':5.138914, 'hit_distance':4.795858 
'global_time':5.151045, 'hit_distance':4.857059 
'global_time':5.151045, 'hit_distance':4.811051 
'global_time':5.16195, 'hit_distance':4.873489 
'global_time':5.16195, 'hit_distance':4.827857 
'global_time':5.173704, 'hit_distance':4.922039 
'global_time':5.173704, 'hit_distance':4.8483 
'global_time':5.18526, 'hit_distance':4.860271 
'global_time':5.18526, 'hit_distance':4.861572 
'global_time':5.19818, 'hit_distance':4.88852 
'global_time':5.19818, 'hit_distance':4.876449 
'global_time':5.208591, 'hit_distance':4.952849 
'global_time':5.208591, 'hit_distance':4.88524 
'global_time':5.21954, 'hit_distance':4.87334 
'global_time':5.21954, 'hit_distance':4.881234 
'global_time':5.231077, 'hit_distance':4.922578 
'global_time':5.231077, 'hit_distance':4.88965 
'global_time':5.243474, 'hit_distance':4.897024 
'global_time':5.243474, 'hit_distance':4.892704 
'global_time':5.253822, 'hit_distance':4.900057 
'global_time':5.253822, 'hit_distance':4.897667 
'global_time':5.264234, 'hit_distance':4.899247 
'global_time':5.264234, 'hit_distance':4.900844 
'global_time':5.276258, 'hit_distance':4.900775 
'global_time':5.276258, 'hit_distance':4.898538 
'global_time':5.288764, 'hit_distance':4.903327 
'global_time':5.288764, 'hit_distance':4.903531 
'global_time':5.299989, 'hit_distance':4.906155 
'global_time':5.299989, 'hit_distance':4.905614 
'global_time':5.311079, 'hit_distance':4.906251 
'global_time':5.311079, 'hit_distance':4.900739 
'global_time':5.321797, 'hit_distance':4.895553 
'global_time':5.321797, 'hit_distance':4.903414 
'global_time':5.336515, 'hit_distance':4.922161 
'global_time':5.336515, 'hit_distance':4.903424 
'global_time':5.346178, 'hit_distance':4.902422 
'global_time':5.346178, 'hit_distance':4.904175 
'global_time':5.359172, 'hit_distance':4.895308 
'global_time':5.359172, 'hit_distance':4.903675 
'global_time':5.36972, 'hit_distance':4.892672 
'global_time':5.36972, 'hit_distance':4.90331 
'global_time':5.382171, 'hit_distance':4.946373 
'global_time':5.382171, 'hit_distance':4.908313 
'global_time':5.44817, 'hit_distance':4.894197 
'global_time':5.459547, 'hit_distance':4.915276 
'global_time':5.469827, 'hit_distance':5.281169 
'global_time':5.469827, 'hit_distance':5.054871 
'global_time':5.482018, 'hit_distance':5.692003 
'global_time':5.493982, 'hit_distance':5.758932 
'global_time':5.571065, 'hit_distance':5.283006 
'global_time':5.58271, 'hit_distance':5.444179 
'global_time':5.596792, 'hit_distance':5.69377 
'global_time':5.607297, 'hit_distance':5.836161 
'global_time':5.62002, 'hit_distance':5.890443 
'global_time':5.631495, 'hit_distance':5.958157 
'global_time':5.631495, 'hit_distance':5.950458 
'global_time':5.643327, 'hit_distance':5.733322 
'global_time':5.654458, 'hit_distance':5.825049 
'global_time':5.666459, 'hit_distance':5.863507 
'global_time':5.67788, 'hit_distance':5.868098 
'global_time':5.689359, 'hit_distance':5.884796 
'global_time':5.689359, 'hit_distance':5.935872 
'global_time':5.701647, 'hit_distance':5.940254 
'global_time':5.701647, 'hit_distance':5.838058 
'global_time':5.712158, 'hit_distance':5.917384 
'global_time':5.712158, 'hit_distance':5.858741 
'global_time':5.724324, 'hit_distance':5.802745 
'global_time':5.724324, 'hit_distance':5.865839 
'global_time':5.735037, 'hit_distance':5.80979 
'global_time':5.735037, 'hit_distance':5.849479 
'global_time':5.746372, 'hit_distance':5.921689 
'global_time':5.746372, 'hit_distance':5.870597 
'global_time':5.758911, 'hit_distance':5.868547 
'global_time':5.758911, 'hit_distance':5.875446 
'global_time':5.769485, 'hit_distance':5.864087 
'global_time':5.769485, 'hit_distance':5.87592 
'global_time':5.779666, 'hit_distance':5.90632 
'global_time':5.779666, 'hit_distance':5.8802 
'global_time':5.79184, 'hit_distance':5.848856 
'global_time':5.79184, 'hit_distance':5.876318 
'global_time':5.805209, 'hit_distance':5.855632 
'global_time':5.805209, 'hit_distance':5.86711 
'global_time':5.818883, 'hit_distance':5.892369 
'global_time':5.818883, 'hit_distance':5.864534 
'global_time':5.830451, 'hit_distance':5.893746 
'global_time':5.830451, 'hit_distance':5.874642 
'global_time':5.843232, 'hit_distance':5.920287 
'global_time':5.843232, 'hit_distance':5.886942 
'global_time':5.854022, 'hit_distance':5.915145 
'global_time':5.854022, 'hit_distance':5.886159 
'global_time':5.864987, 'hit_distance':5.895597 
'global_time':5.864987, 'hit_distance':5.888999 
'global_time':5.876227, 'hit_distance':5.8873 
'global_time':5.876227, 'hit_distance':5.891525 
'global_time':5.887106, 'hit_distance':5.87434 
'global_time':5.887106, 'hit_distance':5.887866 
'global_time':5.900857, 'hit_distance':5.864949 
'global_time':5.900857, 'hit_distance':5.889506 
'global_time':5.911613, 'hit_distance':5.840265 
'global_time':5.911613, 'hit_distance':5.887772 
'global_time':5.923867, 'hit_distance':6.023783 
'global_time':5.923867, 'hit_distance':5.901809 
'global_time':5.936677, 'hit_distance':5.995426 
'global_time':5.948533, 'hit_distance':6.14081 
'global_time':5.95944, 'hit_distance':6.051567 
'global_time':5.972303, 'hit_distance':5.991066 
'global_time':5.984282, 'hit_distance':6.043718 
'global_time':5.995633, 'hit_distance':6.056686 
'global_time':6.005235, 'hit_distance':6.05996 
'global_time':6.016345, 'hit_distance':6.046474 
'global_time':6.027918, 'hit_distance':6.042235 
'global_time':6.027918, 'hit_distance':6.116247 
'global_time':6.040401, 'hit_distance':6.019094 
'global_time':6.040401, 'hit_distance':6.063925 
'global_time':6.052474, 'hit_distance':6.004678 
'global_time':6.052474, 'hit_distance':6.033359 
'global_time':6.063574, 'hit_distance':6.001356 
'global_time':6.063574, 'hit_distance':6.027786 
'global_time':6.074279, 'hit_distance':6.002995 
