'global_time':22.2969, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.934181, 'gaze_y':1.468579, 'gaze_z':2.03459, 'useGaze': True
'global_time':22.73238, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.26923, 'gaze_y':2.112617, 'gaze_z':4.938704, 'useGaze': True
'global_time':23.12577, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.940644, 'gaze_y':0.9134791, 'gaze_z':3.391269, 'useGaze': True
'global_time':23.4889, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.93866, 'gaze_y':2.234141, 'gaze_z':3.439694, 'useGaze': True
'global_time':23.9693, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.418782, 'gaze_y':2.566478, 'gaze_z':4.931041, 'useGaze': True
'global_time':24.33004, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.8531975, 'gaze_y':1.115924, 'gaze_z':4.930994, 'useGaze': True
'global_time':24.92533, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.943734, 'gaze_y':2.094225, 'gaze_z':3.085779, 'useGaze': True
'global_time':25.3943, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.087952, 'gaze_y':1.391028, 'gaze_z':4.938744, 'useGaze': True
'global_time':26.10281, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.945829, 'gaze_y':1.078214, 'gaze_z':1.801458, 'useGaze': True
'global_time':26.49467, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.525538, 'gaze_y':1.316847, 'gaze_z':4.942221, 'useGaze': True
'global_time':26.99603, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.943165, 'gaze_y':1.403993, 'gaze_z':3.455132, 'useGaze': True
'global_time':27.37954, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.7738512, 'gaze_y':2.165738, 'gaze_z':4.941073, 'useGaze': True
'global_time':27.70392, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.2124792, 'gaze_y':2.172827, 'gaze_z':4.933656, 'useGaze': True
