'global_time':0.02, 'head_position_x':0, 'head_position_y':1.45, 'head_position_z':0
'global_time':1.090784, 'head_position_x':0.08495006, 'head_position_y':0.9751965, 'head_position_z':-0.3762092
'global_time':1.10183, 'head_position_x':0.08497126, 'head_position_y':0.9752012, 'head_position_z':-0.3762291
'global_time':1.114877, 'head_position_x':0.08497659, 'head_position_y':0.9752042, 'head_position_z':-0.3762051
'global_time':1.124988, 'head_position_x':0.0850328, 'head_position_y':0.9752199, 'head_position_z':-0.3762154
'global_time':1.140594, 'head_position_x':0.085095, 'head_position_y':0.9751882, 'head_position_z':-0.3762378
'global_time':1.151813, 'head_position_x':0.08513342, 'head_position_y':0.9752162, 'head_position_z':-0.3762628
'global_time':1.163047, 'head_position_x':0.08520158, 'head_position_y':0.9751872, 'head_position_z':-0.3762643
'global_time':1.17348, 'head_position_x':0.08523332, 'head_position_y':0.9751693, 'head_position_z':-0.3762558
'global_time':1.185052, 'head_position_x':0.08530046, 'head_position_y':0.9751619, 'head_position_z':-0.3762743
'global_time':1.19725, 'head_position_x':0.08534732, 'head_position_y':0.9751168, 'head_position_z':-0.3763239
'global_time':1.207919, 'head_position_x':0.085425, 'head_position_y':0.9751278, 'head_position_z':-0.3764085
'global_time':1.222573, 'head_position_x':0.08551066, 'head_position_y':0.9751192, 'head_position_z':-0.3764277
'global_time':1.243201, 'head_position_x':0.08554763, 'head_position_y':0.9751367, 'head_position_z':-0.3764605
'global_time':1.255122, 'head_position_x':0.0856562, 'head_position_y':0.9751372, 'head_position_z':-0.376509
'global_time':1.267416, 'head_position_x':0.08570012, 'head_position_y':0.9751345, 'head_position_z':-0.3765513
'global_time':1.281596, 'head_position_x':0.08600103, 'head_position_y':0.9752071, 'head_position_z':-0.3768122
'global_time':1.298184, 'head_position_x':0.08603324, 'head_position_y':0.9752362, 'head_position_z':-0.3768686
'global_time':1.308447, 'head_position_x':0.08611215, 'head_position_y':0.9752925, 'head_position_z':-0.3769471
'global_time':1.320991, 'head_position_x':0.08616465, 'head_position_y':0.975299, 'head_position_z':-0.3770401
'global_time':1.331259, 'head_position_x':0.0862058, 'head_position_y':0.975339, 'head_position_z':-0.3771285
'global_time':1.340715, 'head_position_x':0.08626129, 'head_position_y':0.9753379, 'head_position_z':-0.3772287
'global_time':1.352357, 'head_position_x':0.08632785, 'head_position_y':0.975299, 'head_position_z':-0.3773594
'global_time':1.364359, 'head_position_x':0.08638553, 'head_position_y':0.9752682, 'head_position_z':-0.3774378
'global_time':1.374763, 'head_position_x':0.08642995, 'head_position_y':0.9752605, 'head_position_z':-0.3775198
'global_time':1.385802, 'head_position_x':0.08645025, 'head_position_y':0.9752601, 'head_position_z':-0.3775559
'global_time':1.397737, 'head_position_x':0.08649802, 'head_position_y':0.9752456, 'head_position_z':-0.3776433
'global_time':1.411234, 'head_position_x':0.08654378, 'head_position_y':0.9752317, 'head_position_z':-0.3776648
'global_time':1.42626, 'head_position_x':0.0866191, 'head_position_y':0.9751944, 'head_position_z':-0.3778571
'global_time':1.437088, 'head_position_x':0.08667971, 'head_position_y':0.9751534, 'head_position_z':-0.3779298
'global_time':1.453104, 'head_position_x':0.08665462, 'head_position_y':0.9751711, 'head_position_z':-0.3779997
'global_time':1.465586, 'head_position_x':0.0866994, 'head_position_y':0.9751807, 'head_position_z':-0.3781065
'global_time':1.478384, 'head_position_x':0.08676639, 'head_position_y':0.9751491, 'head_position_z':-0.3781914
'global_time':1.489446, 'head_position_x':0.08679279, 'head_position_y':0.9751887, 'head_position_z':-0.3782928
'global_time':1.501351, 'head_position_x':0.08681817, 'head_position_y':0.9751638, 'head_position_z':-0.3783962
'global_time':1.514648, 'head_position_x':0.08691539, 'head_position_y':0.9751152, 'head_position_z':-0.378651
'global_time':1.52627, 'head_position_x':0.08703545, 'head_position_y':0.9750513, 'head_position_z':-0.3788047
'global_time':1.536843, 'head_position_x':0.08709617, 'head_position_y':0.9751444, 'head_position_z':-0.3789445
'global_time':1.548624, 'head_position_x':0.08716916, 'head_position_y':0.9751556, 'head_position_z':-0.3789733
'global_time':1.557897, 'head_position_x':0.08729221, 'head_position_y':0.9751403, 'head_position_z':-0.3790635
'global_time':1.57024, 'head_position_x':0.08747322, 'head_position_y':0.975119, 'head_position_z':-0.3792011
'global_time':1.58223, 'head_position_x':0.08762296, 'head_position_y':0.9751119, 'head_position_z':-0.3793239
'global_time':1.594568, 'head_position_x':0.08773618, 'head_position_y':0.9751019, 'head_position_z':-0.3793931
'global_time':1.609691, 'head_position_x':0.08782252, 'head_position_y':0.9751232, 'head_position_z':-0.3794891
'global_time':1.620239, 'head_position_x':0.08778523, 'head_position_y':0.9751373, 'head_position_z':-0.3794886
'global_time':1.631593, 'head_position_x':0.08783765, 'head_position_y':0.9751796, 'head_position_z':-0.3795605
'global_time':1.644175, 'head_position_x':0.08796768, 'head_position_y':0.9751988, 'head_position_z':-0.3796531
'global_time':1.658488, 'head_position_x':0.08846966, 'head_position_y':0.9752685, 'head_position_z':-0.3799253
'global_time':1.669168, 'head_position_x':0.08864533, 'head_position_y':0.9752818, 'head_position_z':-0.3800663
'global_time':1.680717, 'head_position_x':0.08883857, 'head_position_y':0.9754142, 'head_position_z':-0.3801757
'global_time':1.692248, 'head_position_x':0.08901852, 'head_position_y':0.9754215, 'head_position_z':-0.3802959
'global_time':1.704505, 'head_position_x':0.08911954, 'head_position_y':0.9755164, 'head_position_z':-0.3803912
'global_time':1.716723, 'head_position_x':0.08928375, 'head_position_y':0.9755566, 'head_position_z':-0.3804874
'global_time':1.728766, 'head_position_x':0.08949358, 'head_position_y':0.9756011, 'head_position_z':-0.3806812
'global_time':1.740311, 'head_position_x':0.08968429, 'head_position_y':0.9756277, 'head_position_z':-0.3808031
'global_time':1.753184, 'head_position_x':0.08982291, 'head_position_y':0.9756515, 'head_position_z':-0.3810082
'global_time':1.770726, 'head_position_x':0.09006583, 'head_position_y':0.9756644, 'head_position_z':-0.3812543
'global_time':1.781223, 'head_position_x':0.09058402, 'head_position_y':0.9756777, 'head_position_z':-0.3818542
'global_time':1.792695, 'head_position_x':0.09081257, 'head_position_y':0.9755544, 'head_position_z':-0.3821317
'global_time':1.804953, 'head_position_x':0.09091658, 'head_position_y':0.9757062, 'head_position_z':-0.3823582
'global_time':1.816139, 'head_position_x':0.09106158, 'head_position_y':0.9757735, 'head_position_z':-0.3825492
'global_time':1.828979, 'head_position_x':0.09111246, 'head_position_y':0.9759441, 'head_position_z':-0.3826764
'global_time':1.839581, 'head_position_x':0.09098102, 'head_position_y':0.9763333, 'head_position_z':-0.3826872
'global_time':1.851856, 'head_position_x':0.09106459, 'head_position_y':0.9764594, 'head_position_z':-0.3826955
'global_time':1.86676, 'head_position_x':0.09106991, 'head_position_y':0.9766443, 'head_position_z':-0.3828217
'global_time':1.879097, 'head_position_x':0.09108715, 'head_position_y':0.9769543, 'head_position_z':-0.3830255
'global_time':1.890645, 'head_position_x':0.09117839, 'head_position_y':0.9771626, 'head_position_z':-0.383203
'global_time':1.90269, 'head_position_x':0.09163647, 'head_position_y':0.9775972, 'head_position_z':-0.3837645
'global_time':1.914451, 'head_position_x':0.09179864, 'head_position_y':0.9778157, 'head_position_z':-0.3839874
'global_time':1.929814, 'head_position_x':0.09193497, 'head_position_y':0.9780754, 'head_position_z':-0.3841831
'global_time':1.941174, 'head_position_x':0.09206001, 'head_position_y':0.9783697, 'head_position_z':-0.3843687
'global_time':1.954724, 'head_position_x':0.09216461, 'head_position_y':0.9786399, 'head_position_z':-0.3845599
'global_time':1.965878, 'head_position_x':0.09214749, 'head_position_y':0.9788793, 'head_position_z':-0.3846415
'global_time':1.9793, 'head_position_x':0.09229653, 'head_position_y':0.9791135, 'head_position_z':-0.3848842
'global_time':1.990637, 'head_position_x':0.09253109, 'head_position_y':0.9796527, 'head_position_z':-0.3852804
'global_time':2.002223, 'head_position_x':0.09267293, 'head_position_y':0.9799315, 'head_position_z':-0.3855275
'global_time':2.014897, 'head_position_x':0.09278753, 'head_position_y':0.9801866, 'head_position_z':-0.3856841
'global_time':2.024799, 'head_position_x':0.09289083, 'head_position_y':0.9803696, 'head_position_z':-0.3858469
'global_time':2.038106, 'head_position_x':0.09302185, 'head_position_y':0.9805822, 'head_position_z':-0.3860239
'global_time':2.049332, 'head_position_x':0.09303222, 'head_position_y':0.9808279, 'head_position_z':-0.3861848
'global_time':2.060625, 'head_position_x':0.09313381, 'head_position_y':0.9810809, 'head_position_z':-0.3863734
'global_time':2.071385, 'head_position_x':0.09320728, 'head_position_y':0.9812595, 'head_position_z':-0.3865335
'global_time':2.085145, 'head_position_x':0.09321983, 'head_position_y':0.9815046, 'head_position_z':-0.3867567
