'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.046606, 'head_vector_x':-0.1701106, 'head_vector_y':-0.6584359, 'head_vector_z':0.7331606
'global_time':1.058419, 'head_vector_x':-0.1701576, 'head_vector_y':-0.6583992, 'head_vector_z':0.7331828
'global_time':1.069094, 'head_vector_x':-0.1701695, 'head_vector_y':-0.6582271, 'head_vector_z':0.7333344
'global_time':1.079735, 'head_vector_x':-0.1701757, 'head_vector_y':-0.6582786, 'head_vector_z':0.7332867
'global_time':1.090784, 'head_vector_x':-0.1701454, 'head_vector_y':-0.6581821, 'head_vector_z':0.7333804
'global_time':1.10183, 'head_vector_x':-0.1698664, 'head_vector_y':-0.65816, 'head_vector_z':0.733465
'global_time':1.114877, 'head_vector_x':-0.1696626, 'head_vector_y':-0.6580692, 'head_vector_z':0.7335936
'global_time':1.124988, 'head_vector_x':-0.1694988, 'head_vector_y':-0.6580831, 'head_vector_z':0.733619
'global_time':1.140594, 'head_vector_x':-0.1692633, 'head_vector_y':-0.6579499, 'head_vector_z':0.7337928
'global_time':1.151813, 'head_vector_x':-0.1688639, 'head_vector_y':-0.6581494, 'head_vector_z':0.7337059
'global_time':1.163047, 'head_vector_x':-0.1683667, 'head_vector_y':-0.658156, 'head_vector_z':0.7338142
'global_time':1.17348, 'head_vector_x':-0.1679512, 'head_vector_y':-0.6582159, 'head_vector_z':0.7338557
'global_time':1.185052, 'head_vector_x':-0.1673726, 'head_vector_y':-0.6581386, 'head_vector_z':0.7340572
'global_time':1.19725, 'head_vector_x':-0.1667068, 'head_vector_y':-0.6581787, 'head_vector_z':0.7341728
'global_time':1.207919, 'head_vector_x':-0.1661289, 'head_vector_y':-0.6581495, 'head_vector_z':0.7343299
'global_time':1.222573, 'head_vector_x':-0.1654934, 'head_vector_y':-0.658083, 'head_vector_z':0.734533
'global_time':1.243201, 'head_vector_x':-0.1647688, 'head_vector_y':-0.658039, 'head_vector_z':0.7347353
'global_time':1.255122, 'head_vector_x':-0.1636778, 'head_vector_y':-0.6578015, 'head_vector_z':0.7351917
'global_time':1.267416, 'head_vector_x':-0.1629945, 'head_vector_y':-0.6576793, 'head_vector_z':0.7354528
'global_time':1.281596, 'head_vector_x':-0.1617763, 'head_vector_y':-0.6573637, 'head_vector_z':0.7360036
'global_time':1.298184, 'head_vector_x':-0.1611864, 'head_vector_y':-0.6573603, 'head_vector_z':0.7361361
'global_time':1.308447, 'head_vector_x':-0.1604987, 'head_vector_y':-0.6571935, 'head_vector_z':0.7364353
'global_time':1.320991, 'head_vector_x':-0.1596035, 'head_vector_y':-0.6572409, 'head_vector_z':0.7365875
'global_time':1.331259, 'head_vector_x':-0.1585871, 'head_vector_y':-0.6573649, 'head_vector_z':0.7366964
'global_time':1.340715, 'head_vector_x':-0.1578302, 'head_vector_y':-0.657462, 'head_vector_z':0.7367722
'global_time':1.352357, 'head_vector_x':-0.1569639, 'head_vector_y':-0.6573904, 'head_vector_z':0.7370211
'global_time':1.364359, 'head_vector_x':-0.1560395, 'head_vector_y':-0.6572978, 'head_vector_z':0.7373
'global_time':1.374763, 'head_vector_x':-0.1548187, 'head_vector_y':-0.6572857, 'head_vector_z':0.7375681
'global_time':1.385802, 'head_vector_x':-0.1539836, 'head_vector_y':-0.6573151, 'head_vector_z':0.7377167
'global_time':1.397737, 'head_vector_x':-0.1528989, 'head_vector_y':-0.6572837, 'head_vector_z':0.7379704
'global_time':1.411234, 'head_vector_x':-0.152199, 'head_vector_y':-0.6572166, 'head_vector_z':0.7381747
'global_time':1.42626, 'head_vector_x':-0.1502153, 'head_vector_y':-0.6573677, 'head_vector_z':0.7384464
'global_time':1.437088, 'head_vector_x':-0.1493042, 'head_vector_y':-0.657348, 'head_vector_z':0.7386487
'global_time':1.453104, 'head_vector_x':-0.1482145, 'head_vector_y':-0.657364, 'head_vector_z':0.7388538
'global_time':1.465586, 'head_vector_x':-0.1473772, 'head_vector_y':-0.6574939, 'head_vector_z':0.7389057
'global_time':1.478384, 'head_vector_x':-0.1464727, 'head_vector_y':-0.6577241, 'head_vector_z':0.7388808
'global_time':1.489446, 'head_vector_x':-0.1454575, 'head_vector_y':-0.6577018, 'head_vector_z':0.7391012
'global_time':1.501351, 'head_vector_x':-0.14425, 'head_vector_y':-0.6578357, 'head_vector_z':0.7392186
'global_time':1.514648, 'head_vector_x':-0.1417031, 'head_vector_y':-0.6579594, 'head_vector_z':0.7396011
'global_time':1.52627, 'head_vector_x':-0.1410075, 'head_vector_y':-0.6570189, 'head_vector_z':0.7405694
'global_time':1.536843, 'head_vector_x':-0.1393318, 'head_vector_y':-0.6580938, 'head_vector_z':0.7399319
'global_time':1.548624, 'head_vector_x':-0.1381469, 'head_vector_y':-0.6579934, 'head_vector_z':0.7402433
'global_time':1.557897, 'head_vector_x':-0.1371201, 'head_vector_y':-0.6576718, 'head_vector_z':0.7407199
'global_time':1.57024, 'head_vector_x':-0.136016, 'head_vector_y':-0.6576733, 'head_vector_z':0.7409221
'global_time':1.58223, 'head_vector_x':-0.1348121, 'head_vector_y':-0.6574609, 'head_vector_z':0.7413304
