'global_time':14.5878, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.943629, 'gaze_y':1.243576, 'gaze_z':2.022982, 'useGaze': True
'global_time':14.655, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.942663, 'gaze_y':1.273962, 'gaze_z':0.680934, 'useGaze': True
'global_time':15.04335, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.939106, 'gaze_y':1.160277, 'gaze_z':2.076853, 'useGaze': True
'global_time':15.16073, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.939932, 'gaze_y':1.48753, 'gaze_z':4.060044, 'useGaze': True
'global_time':15.57278, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.407158, 'gaze_y':1.304492, 'gaze_z':4.941875, 'useGaze': True
'global_time':15.84587, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.7239525, 'gaze_y':2.152143, 'gaze_z':4.943453, 'useGaze': True
'global_time':16.18116, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.4930382, 'gaze_y':2.311589, 'gaze_z':4.935321, 'useGaze': True
'global_time':16.63891, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.943891, 'gaze_y':2.335363, 'gaze_z':3.235744, 'useGaze': True
'global_time':16.78941, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.93863, 'gaze_y':2.110195, 'gaze_z':1.89216, 'useGaze': True
'global_time':16.96396, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.999414, 'gaze_y':2.047359, 'gaze_z':0.5439512, 'useGaze': True
'global_time':17.22213, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.932112, 'gaze_y':2.275512, 'gaze_z':2.179454, 'useGaze': True
'global_time':17.25579, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.932939, 'gaze_y':2.463108, 'gaze_z':3.094355, 'useGaze': True
'global_time':17.54063, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.828558, 'gaze_y':2.257872, 'gaze_z':4.940017, 'useGaze': True
'global_time':17.8689, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.939702, 'gaze_y':2.428936, 'gaze_z':3.222681, 'useGaze': True
'global_time':5.336012, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.7868689, 'gaze_y':1.307202, 'gaze_z':4.951268, 'useGaze': True
'global_time':5.685492, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-0.5554004, 'gaze_y':2.437952, 'gaze_z':4.938978, 'useGaze': True
'global_time':5.979071, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.819179, 'gaze_y':2.355536, 'gaze_z':4.93768, 'useGaze': True
'global_time':6.226254, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.943084, 'gaze_y':2.537555, 'gaze_z':3.436336, 'useGaze': True
'global_time':6.629376, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.087587, 'gaze_y':2.660404, 'gaze_z':4.943085, 'useGaze': True
'global_time':6.662005, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.111622, 'gaze_y':2.462925, 'gaze_z':4.938483, 'useGaze': True
'global_time':7.023442, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.541484, 'gaze_y':1.445561, 'gaze_z':4.936956, 'useGaze': True
'global_time':7.305909, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.176993, 'gaze_y':1.242343, 'gaze_z':4.938742, 'useGaze': True
'global_time':7.950145, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.942813, 'gaze_y':2.381392, 'gaze_z':3.477408, 'useGaze': True
'global_time':8.267441, 'center_x':-4, 'center_y':1, 'center_z':0.3999996, 'gaze_x':-3.935219, 'gaze_y':1.489505, 'gaze_z':0.5459734, 'useGaze': True
'global_time':8.569464, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-3.935021, 'gaze_y':2.32606, 'gaze_z':2.009709, 'useGaze': True
'global_time':9.385945, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.9596624, 'gaze_y':1.515409, 'gaze_z':4.94707, 'useGaze': True
'global_time':6.472499, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934427, 'gaze_y':2.465487, 'gaze_z':0.651913, 'useGaze': True
'global_time':7.062198, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.939609, 'gaze_y':1.308683, 'gaze_z':3.302983, 'useGaze': True
'global_time':7.832904, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.138082, 'gaze_y':2.559301, 'gaze_z':4.933943, 'useGaze': True
'global_time':8.35823, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.081156, 'gaze_y':1.412637, 'gaze_z':4.936194, 'useGaze': True
'global_time':8.887164, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.3675469, 'gaze_y':1.387561, 'gaze_z':4.937802, 'useGaze': True
'global_time':9.749714, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.941653, 'gaze_y':1.310092, 'gaze_z':2.013267, 'useGaze': True
'global_time':10.4278, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934152, 'gaze_y':2.474259, 'gaze_z':0.6719036, 'useGaze': True
'global_time':14.86638, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.558745, 'gaze_y':2.345638, 'gaze_z':4.939823, 'useGaze': True
'global_time':16.96617, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.948226, 'gaze_y':1.237643, 'gaze_z':3.636137, 'useGaze': True
'global_time':18.71007, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.506244, 'gaze_y':1.175723, 'gaze_z':4.941419, 'useGaze': True
'global_time':19.29359, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.949585, 'gaze_y':1.174121, 'gaze_z':3.656349, 'useGaze': True
'global_time':19.83212, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.499587, 'gaze_y':2.298285, 'gaze_z':4.943213, 'useGaze': True
'global_time':20.70095, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.933566, 'gaze_y':2.291047, 'gaze_z':0.6961675, 'useGaze': True
'global_time':21.26275, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.935997, 'gaze_y':2.532797, 'gaze_z':3.284647, 'useGaze': True
'global_time':21.79224, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.921005, 'gaze_y':1.282083, 'gaze_z':4.946178, 'useGaze': True
'global_time':22.31507, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.360687, 'gaze_y':2.432493, 'gaze_z':4.943796, 'useGaze': True
'global_time':2.456864, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.9523, 'gaze_y':1.548198, 'gaze_z':2.374052, 'useGaze': True
'global_time':3.733178, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.952677, 'gaze_y':0.9585819, 'gaze_z':1.761152, 'useGaze': True
'global_time':20.83145, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.950786, 'gaze_y':1.406037, 'gaze_z':3.106212, 'useGaze': True
'global_time':21.75565, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.756072, 'gaze_y':2.905732, 'gaze_z':4.9441, 'useGaze': True
'global_time':24.35623, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.8098397, 'gaze_y':2.937285, 'gaze_z':4.93747, 'useGaze': True
'global_time':27.58258, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.915977, 'gaze_y':2.291811, 'gaze_z':4.965289, 'useGaze': True
'global_time':29.47766, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.134228, 'gaze_y':2.228352, 'gaze_z':4.966487, 'useGaze': True
'global_time':30.11584, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.188208, 'gaze_y':2.145511, 'gaze_z':4.952799, 'useGaze': True
'global_time':32.08119, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.580863, 'gaze_y':2.231298, 'gaze_z':4.952666, 'useGaze': True
