'global_time':9.364661, 'hit_distance':3.542359 
'global_time':9.378108, 'hit_distance':3.546305 
'global_time':9.389562, 'hit_distance':3.511192 
'global_time':9.400426, 'hit_distance':3.47542 
'global_time':9.411175, 'hit_distance':3.48154 
'global_time':9.423079, 'hit_distance':3.471988 
'global_time':9.435489, 'hit_distance':3.474709 
'global_time':9.447306, 'hit_distance':3.489394 
'global_time':9.483917, 'hit_distance':3.078933 
'global_time':9.495494, 'hit_distance':3.054883 
'global_time':9.507324, 'hit_distance':2.966587 
'global_time':9.519316, 'hit_distance':2.972087 
'global_time':9.529626, 'hit_distance':2.974074 
'global_time':9.540826, 'hit_distance':2.97428 
'global_time':9.552079, 'hit_distance':2.957472 
'global_time':9.563811, 'hit_distance':2.952538 
'global_time':9.574833, 'hit_distance':2.955471 
'global_time':9.586572, 'hit_distance':2.942593 
'global_time':9.597776, 'hit_distance':2.939864 
'global_time':9.611901, 'hit_distance':2.928544 
'global_time':9.623665, 'hit_distance':2.933783 
'global_time':9.63529, 'hit_distance':2.930761 
'global_time':9.647678, 'hit_distance':2.925726 
'global_time':9.68631, 'hit_distance':2.972556 
'global_time':9.7435, 'hit_distance':2.953984 
'global_time':9.756173, 'hit_distance':2.950742 
'global_time':9.767831, 'hit_distance':2.957618 
'global_time':9.7799, 'hit_distance':2.94493 
'global_time':9.792336, 'hit_distance':2.942075 
'global_time':9.802772, 'hit_distance':2.945659 
'global_time':9.813974, 'hit_distance':2.947923 
'global_time':9.824789, 'hit_distance':2.936442 
'global_time':9.836933, 'hit_distance':2.939178 
'global_time':9.849708, 'hit_distance':2.935822 
'global_time':9.861818, 'hit_distance':2.940883 
'global_time':10.01102, 'hit_distance':3.552303 
'global_time':10.06885, 'hit_distance':3.61703 
'global_time':10.11719, 'hit_distance':3.862147 
'global_time':10.16151, 'hit_distance':4.039651 
'global_time':10.17316, 'hit_distance':3.850554 
'global_time':10.18572, 'hit_distance':3.735955 
'global_time':10.24393, 'hit_distance':3.717445 
'global_time':10.25663, 'hit_distance':3.710558 
'global_time':10.26884, 'hit_distance':3.736657 
'global_time':10.27926, 'hit_distance':3.721259 
'global_time':10.29159, 'hit_distance':3.772745 
'global_time':10.30316, 'hit_distance':3.756163 
'global_time':10.44086, 'hit_distance':3.545325 
'global_time':10.45398, 'hit_distance':3.527749 
'global_time':10.46658, 'hit_distance':3.526332 
'global_time':10.47789, 'hit_distance':3.527887 
'global_time':10.48961, 'hit_distance':3.524597 
'global_time':10.5023, 'hit_distance':3.530299 
'global_time':10.51178, 'hit_distance':3.518844 
'global_time':10.52466, 'hit_distance':3.524736 
'global_time':10.53538, 'hit_distance':3.528008 
'global_time':10.54886, 'hit_distance':3.529302 
'global_time':10.56229, 'hit_distance':3.537717 
'global_time':10.57437, 'hit_distance':3.543678 
'global_time':10.58502, 'hit_distance':3.532617 
'global_time':10.59908, 'hit_distance':3.547496 
'global_time':10.61056, 'hit_distance':3.537081 
'global_time':10.63434, 'hit_distance':3.712594 
'global_time':10.64486, 'hit_distance':3.691786 
'global_time':10.95877, 'hit_distance':3.550477 
'global_time':10.97038, 'hit_distance':3.541268 
'global_time':10.98369, 'hit_distance':3.540897 
'global_time':11.27472, 'hit_distance':3.699153 
'global_time':11.39644, 'hit_distance':3.781302 
'global_time':11.60726, 'hit_distance':3.609765 
'global_time':11.62004, 'hit_distance':3.579509 
'global_time':11.63113, 'hit_distance':3.586221 
'global_time':11.64392, 'hit_distance':3.590558 
'global_time':11.65549, 'hit_distance':3.624116 
'global_time':11.66803, 'hit_distance':3.608359 
'global_time':11.68092, 'hit_distance':3.616758 
'global_time':11.69289, 'hit_distance':3.600191 
'global_time':11.70416, 'hit_distance':3.605183 
'global_time':11.71508, 'hit_distance':3.597637 
'global_time':11.72666, 'hit_distance':3.590886 
'global_time':11.73882, 'hit_distance':3.589073 
'global_time':11.7505, 'hit_distance':3.586584 
'global_time':11.76358, 'hit_distance':3.574039 
'global_time':11.77623, 'hit_distance':3.584292 
'global_time':11.787, 'hit_distance':3.584769 
'global_time':11.80087, 'hit_distance':3.580578 
'global_time':11.81326, 'hit_distance':3.580332 
'global_time':11.82545, 'hit_distance':3.572839 
'global_time':11.8358, 'hit_distance':3.575549 
'global_time':11.84697, 'hit_distance':3.575101 
'global_time':11.85989, 'hit_distance':3.568723 
'global_time':11.87049, 'hit_distance':3.570005 
'global_time':11.88186, 'hit_distance':3.566983 
'global_time':11.89359, 'hit_distance':3.561634 
'global_time':11.90699, 'hit_distance':3.57159 
'global_time':11.95656, 'hit_distance':3.731719 
'global_time':11.98051, 'hit_distance':3.738951 
'global_time':11.99395, 'hit_distance':3.762704 
'global_time':12.00614, 'hit_distance':3.753162 
'global_time':12.01865, 'hit_distance':3.765504 
'global_time':12.03104, 'hit_distance':3.780557 
'global_time':12.04425, 'hit_distance':3.792445 
'global_time':12.05672, 'hit_distance':3.788906 
'global_time':12.06872, 'hit_distance':3.799994 
'global_time':12.07835, 'hit_distance':3.812671 
'global_time':12.09076, 'hit_distance':3.812934 
'global_time':12.10166, 'hit_distance':3.822776 
'global_time':12.11101, 'hit_distance':3.811227 
'global_time':12.12207, 'hit_distance':3.802204 
'global_time':12.13391, 'hit_distance':3.772928 
'global_time':12.14574, 'hit_distance':3.776642 
'global_time':12.15685, 'hit_distance':3.798872 
'global_time':12.16874, 'hit_distance':3.807084 
'global_time':12.17978, 'hit_distance':3.809534 
'global_time':12.19031, 'hit_distance':3.774139 
'global_time':12.20135, 'hit_distance':3.82682 
'global_time':12.2129, 'hit_distance':3.938681 
'global_time':12.60716, 'hit_distance':2.999421 
'global_time':12.61882, 'hit_distance':2.942504 
'global_time':12.63027, 'hit_distance':2.933256 
'global_time':12.64207, 'hit_distance':2.952984 
'global_time':12.65485, 'hit_distance':2.956196 
'global_time':12.66519, 'hit_distance':2.96287 
'global_time':12.67793, 'hit_distance':2.966008 
'global_time':12.68962, 'hit_distance':2.968062 
'global_time':12.70365, 'hit_distance':2.965458 
'global_time':12.71582, 'hit_distance':2.973597 
'global_time':12.72722, 'hit_distance':2.971546 
'global_time':12.74006, 'hit_distance':2.964388 
'global_time':12.75137, 'hit_distance':2.958264 
'global_time':12.76265, 'hit_distance':2.978547 
'global_time':12.77488, 'hit_distance':2.978378 
'global_time':12.78625, 'hit_distance':2.968786 
'global_time':12.79948, 'hit_distance':2.975004 
'global_time':12.81053, 'hit_distance':2.984737 
'global_time':12.82263, 'hit_distance':2.972502 
'global_time':12.83477, 'hit_distance':2.989736 
'global_time':12.84614, 'hit_distance':2.994713 
'global_time':12.86167, 'hit_distance':3.035307 
'global_time':12.88593, 'hit_distance':3.425803 
'global_time':12.89785, 'hit_distance':3.447764 
'global_time':12.90991, 'hit_distance':3.497165 
'global_time':12.9223, 'hit_distance':3.531638 
'global_time':12.93586, 'hit_distance':3.390636 
'global_time':12.98322, 'hit_distance':3.372738 
'global_time':13.00711, 'hit_distance':3.365018 
'global_time':13.01973, 'hit_distance':3.367695 
'global_time':13.03132, 'hit_distance':3.405861 
'global_time':13.04402, 'hit_distance':3.412174 
'global_time':13.05665, 'hit_distance':3.388452 
'global_time':13.06791, 'hit_distance':3.436926 
'global_time':13.08115, 'hit_distance':3.409547 
'global_time':13.09268, 'hit_distance':3.399014 
