'global_time':0.02, 'head_vector_x':0, 'head_vector_y':0, 'head_vector_z':1
'global_time':1.034889, 'head_vector_x':-0.05144227, 'head_vector_y':-0.3556995, 'head_vector_z':0.9331836
'global_time':1.046657, 'head_vector_x':-0.05149553, 'head_vector_y':-0.3491141, 'head_vector_z':0.9356642
'global_time':1.058363, 'head_vector_x':-0.05182001, 'head_vector_y':-0.3412572, 'head_vector_z':0.9385405
'global_time':1.068591, 'head_vector_x':-0.05227895, 'head_vector_y':-0.3335762, 'head_vector_z':0.9412725
'global_time':1.081593, 'head_vector_x':-0.05277606, 'head_vector_y':-0.3258563, 'head_vector_z':0.9439451
'global_time':1.092598, 'head_vector_x':-0.05359558, 'head_vector_y':-0.3176194, 'head_vector_z':0.9467024
'global_time':1.103625, 'head_vector_x':-0.05451155, 'head_vector_y':-0.3086268, 'head_vector_z':0.9496199
'global_time':1.116452, 'head_vector_x':-0.05535736, 'head_vector_y':-0.2994365, 'head_vector_z':0.952509
'global_time':1.127501, 'head_vector_x':-0.05609126, 'head_vector_y':-0.2898896, 'head_vector_z':0.955415
'global_time':1.138946, 'head_vector_x':-0.05724911, 'head_vector_y':-0.28023, 'head_vector_z':0.9582242
'global_time':1.151843, 'head_vector_x':-0.05955067, 'head_vector_y':-0.2633656, 'head_vector_z':0.9628564
'global_time':1.162784, 'head_vector_x':-0.06115309, 'head_vector_y':-0.2543033, 'head_vector_z':0.9651892
'global_time':1.17335, 'head_vector_x':-0.06288309, 'head_vector_y':-0.2440832, 'head_vector_z':0.9677134
'global_time':1.185089, 'head_vector_x':-0.06493556, 'head_vector_y':-0.2333314, 'head_vector_z':0.9702267
'global_time':1.203527, 'head_vector_x':-0.06670901, 'head_vector_y':-0.2230002, 'head_vector_z':0.9725332
'global_time':1.218118, 'head_vector_x':-0.07009408, 'head_vector_y':-0.2033058, 'head_vector_z':0.9766031
'global_time':1.229266, 'head_vector_x':-0.0719424, 'head_vector_y':-0.192922, 'head_vector_z':0.9785731
'global_time':1.241691, 'head_vector_x':-0.07398874, 'head_vector_y':-0.1815646, 'head_vector_z':0.9805917
'global_time':1.252542, 'head_vector_x':-0.0759967, 'head_vector_y':-0.1705516, 'head_vector_z':0.9824137
'global_time':1.266217, 'head_vector_x':-0.07755846, 'head_vector_y':-0.1605684, 'head_vector_z':0.9839728
'global_time':1.276864, 'head_vector_x':-0.07949857, 'head_vector_y':-0.1511056, 'head_vector_z':0.9853157
'global_time':1.289394, 'head_vector_x':-0.08147923, 'head_vector_y':-0.1419915, 'head_vector_z':0.9865088
'global_time':1.300185, 'head_vector_x':-0.08335005, 'head_vector_y':-0.1335359, 'head_vector_z':0.9875327
'global_time':1.310899, 'head_vector_x':-0.08469386, 'head_vector_y':-0.1258881, 'head_vector_z':0.9884226
'global_time':1.321111, 'head_vector_x':-0.08596052, 'head_vector_y':-0.1179797, 'head_vector_z':0.9892884
'global_time':1.331786, 'head_vector_x':-0.0863367, 'head_vector_y':-0.110595, 'head_vector_z':0.9901084
'global_time':1.34572, 'head_vector_x':-0.08689024, 'head_vector_y':-0.1024223, 'head_vector_z':0.9909388
'global_time':1.355699, 'head_vector_x':-0.08698111, 'head_vector_y':-0.09403072, 'head_vector_z':0.9917623
'global_time':1.368846, 'head_vector_x':-0.08696631, 'head_vector_y':-0.0855207, 'head_vector_z':0.9925337
'global_time':1.383431, 'head_vector_x':-0.08484459, 'head_vector_y':-0.06863599, 'head_vector_z':0.9940274
'global_time':1.394833, 'head_vector_x':-0.08335203, 'head_vector_y':-0.06067897, 'head_vector_z':0.994671
'global_time':1.405293, 'head_vector_x':-0.08140732, 'head_vector_y':-0.05301579, 'head_vector_z':0.9952699
'global_time':1.416949, 'head_vector_x':-0.07941572, 'head_vector_y':-0.04490346, 'head_vector_z':0.9958297
'global_time':1.427441, 'head_vector_x':-0.077476, 'head_vector_y':-0.03629676, 'head_vector_z':0.9963333
'global_time':1.438993, 'head_vector_x':-0.07499997, 'head_vector_y':-0.0276258, 'head_vector_z':0.9968008
'global_time':1.449864, 'head_vector_x':-0.07231773, 'head_vector_y':-0.01891513, 'head_vector_z':0.9972023
'global_time':1.460812, 'head_vector_x':-0.06912297, 'head_vector_y':-0.01086636, 'head_vector_z':0.9975489
'global_time':1.472182, 'head_vector_x':-0.06597386, 'head_vector_y':-0.003597429, 'head_vector_z':0.9978149
