'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':1.161319, 'head_position_x':0.277702, 'head_position_y':1.725879, 'head_position_z':-0.5426562
'global_time':1.173281, 'head_position_x':0.2773511, 'head_position_y':1.72595, 'head_position_z':-0.5426774
'global_time':1.189154, 'head_position_x':0.2772415, 'head_position_y':1.726099, 'head_position_z':-0.5427485
'global_time':1.201764, 'head_position_x':0.2767429, 'head_position_y':1.726425, 'head_position_z':-0.5428742
'global_time':1.212983, 'head_position_x':0.2765384, 'head_position_y':1.726596, 'head_position_z':-0.5428557
'global_time':1.225644, 'head_position_x':0.2765607, 'head_position_y':1.726739, 'head_position_z':-0.5429527
'global_time':1.237599, 'head_position_x':0.2762677, 'head_position_y':1.726956, 'head_position_z':-0.5428346
'global_time':1.248951, 'head_position_x':0.2760809, 'head_position_y':1.727201, 'head_position_z':-0.5428164
'global_time':1.262033, 'head_position_x':0.2760557, 'head_position_y':1.727425, 'head_position_z':-0.5429288
'global_time':1.274046, 'head_position_x':0.2758511, 'head_position_y':1.727671, 'head_position_z':-0.5429772
'global_time':1.28663, 'head_position_x':0.2755528, 'head_position_y':1.72787, 'head_position_z':-0.5429373
'global_time':1.297188, 'head_position_x':0.275378, 'head_position_y':1.728055, 'head_position_z':-0.5430107
'global_time':1.308804, 'head_position_x':0.2753294, 'head_position_y':1.728247, 'head_position_z':-0.5429432
'global_time':1.319881, 'head_position_x':0.2751018, 'head_position_y':1.728499, 'head_position_z':-0.5429644
'global_time':1.33198, 'head_position_x':0.2747487, 'head_position_y':1.728771, 'head_position_z':-0.542975
'global_time':1.345507, 'head_position_x':0.2744913, 'head_position_y':1.729101, 'head_position_z':-0.5429825
'global_time':1.359391, 'head_position_x':0.2740194, 'head_position_y':1.729749, 'head_position_z':-0.542948
'global_time':1.371464, 'head_position_x':0.2737943, 'head_position_y':1.729998, 'head_position_z':-0.5430174
'global_time':1.38258, 'head_position_x':0.2736647, 'head_position_y':1.730256, 'head_position_z':-0.5429958
'global_time':1.393386, 'head_position_x':0.2733313, 'head_position_y':1.730528, 'head_position_z':-0.5430461
'global_time':1.404092, 'head_position_x':0.2729097, 'head_position_y':1.73081, 'head_position_z':-0.5431195
'global_time':1.415793, 'head_position_x':0.2725288, 'head_position_y':1.731113, 'head_position_z':-0.5431796
'global_time':1.428204, 'head_position_x':0.2723865, 'head_position_y':1.731447, 'head_position_z':-0.5432941
'global_time':1.437632, 'head_position_x':0.2720655, 'head_position_y':1.731722, 'head_position_z':-0.5433944
'global_time':1.44999, 'head_position_x':0.2716362, 'head_position_y':1.731918, 'head_position_z':-0.5435097
'global_time':1.46118, 'head_position_x':0.2713853, 'head_position_y':1.732099, 'head_position_z':-0.5436056
'global_time':1.471038, 'head_position_x':0.2710451, 'head_position_y':1.7323, 'head_position_z':-0.5437313
'global_time':1.482861, 'head_position_x':0.2705634, 'head_position_y':1.732457, 'head_position_z':-0.5439094
