'global_time':4.490296, 'hit_distance':7.335108 
'global_time':4.505409, 'hit_distance':7.307222 
'global_time':4.517198, 'hit_distance':7.275598 
'global_time':4.529989, 'hit_distance':7.244847 
'global_time':4.541799, 'hit_distance':7.210067 
'global_time':4.555644, 'hit_distance':7.173885 
'global_time':4.565436, 'hit_distance':7.139713 
'global_time':4.57578, 'hit_distance':7.107437 
'global_time':4.587446, 'hit_distance':7.077282 
'global_time':4.600608, 'hit_distance':7.049787 
'global_time':4.613125, 'hit_distance':7.001317 
'global_time':4.624187, 'hit_distance':6.978397 
'global_time':4.636371, 'hit_distance':6.955344 
'global_time':4.649468, 'hit_distance':6.933723 
'global_time':4.662776, 'hit_distance':6.915553 
'global_time':4.674753, 'hit_distance':6.899871 
'global_time':4.68686, 'hit_distance':6.88943 
'global_time':4.70045, 'hit_distance':6.880124 
'global_time':4.713949, 'hit_distance':6.867515 
'global_time':4.725626, 'hit_distance':6.862319 
'global_time':4.737097, 'hit_distance':6.855926 
'global_time':4.750746, 'hit_distance':6.848193 
'global_time':4.763713, 'hit_distance':6.839165 
'global_time':4.774145, 'hit_distance':6.829182 
'global_time':4.788223, 'hit_distance':6.816296 
'global_time':4.799706, 'hit_distance':6.80385 
'global_time':4.812036, 'hit_distance':6.776469 
'global_time':4.824106, 'hit_distance':6.761953 
'global_time':4.837925, 'hit_distance':6.747297 
'global_time':4.849814, 'hit_distance':6.732573 
'global_time':4.862615, 'hit_distance':6.717964 
'global_time':4.874699, 'hit_distance':6.702762 
'global_time':4.891967, 'hit_distance':6.674449 
'global_time':4.904113, 'hit_distance':6.661402 
'global_time':4.915967, 'hit_distance':6.649333 
'global_time':4.928202, 'hit_distance':6.637448 
'global_time':4.940843, 'hit_distance':6.626468 
'global_time':4.952981, 'hit_distance':6.616933 
'global_time':4.965598, 'hit_distance':6.608665 
'global_time':4.980398, 'hit_distance':6.601635 
'global_time':4.991481, 'hit_distance':6.590019 
'global_time':5.003161, 'hit_distance':6.585116 
'global_time':5.015633, 'hit_distance':6.580777 
'global_time':5.030265, 'hit_distance':6.576679 
'global_time':5.040343, 'hit_distance':6.573046 
'global_time':5.052438, 'hit_distance':6.569673 
'global_time':5.064365, 'hit_distance':6.566473 
'global_time':5.077246, 'hit_distance':6.563911 
'global_time':5.088768, 'hit_distance':6.561557 
'global_time':5.099158, 'hit_distance':6.55924 
'global_time':5.111513, 'hit_distance':6.555383 
'global_time':5.124476, 'hit_distance':6.55382 
'global_time':5.13683, 'hit_distance':6.55278 
'global_time':5.149179, 'hit_distance':6.551879 
'global_time':5.161375, 'hit_distance':6.551315 
