'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':1
'gaze_vector':1.004409, 'gaze_vector_x':0.1236717, 'gaze_vector_y':0.02671575, 'gaze_vector_z':0.9919635
'gaze_vector':1.01812, 'gaze_vector_x':0.1152498, 'gaze_vector_y':0.02814936, 'gaze_vector_z':0.9929376
'gaze_vector':1.035563, 'gaze_vector_x':0.09948283, 'gaze_vector_y':0.02955954, 'gaze_vector_z':0.9946001
'gaze_vector':1.047337, 'gaze_vector_x':0.0932163, 'gaze_vector_y':0.02944691, 'gaze_vector_z':0.9952103
'gaze_vector':1.060652, 'gaze_vector_x':0.08642208, 'gaze_vector_y':0.02949085, 'gaze_vector_z':0.995822
'gaze_vector':1.075742, 'gaze_vector_x':0.07985173, 'gaze_vector_y':0.03002744, 'gaze_vector_z':0.9963544
'gaze_vector':1.089586, 'gaze_vector_x':0.07268853, 'gaze_vector_y':0.03086706, 'gaze_vector_z':0.9968769
'gaze_vector':1.103513, 'gaze_vector_x':0.05978646, 'gaze_vector_y':0.03176589, 'gaze_vector_z':0.9977056
'gaze_vector':1.114707, 'gaze_vector_x':0.05425104, 'gaze_vector_y':0.03208047, 'gaze_vector_z':0.9980119
'gaze_vector':1.126002, 'gaze_vector_x':0.04904708, 'gaze_vector_y':0.03246325, 'gaze_vector_z':0.9982688
'gaze_vector':1.137292, 'gaze_vector_x':0.04383664, 'gaze_vector_y':0.03291197, 'gaze_vector_z':0.9984965
'gaze_vector':1.150406, 'gaze_vector_x':0.038281, 'gaze_vector_y':0.03361072, 'gaze_vector_z':0.9987016
'gaze_vector':1.161319, 'gaze_vector_x':0.03321579, 'gaze_vector_y':0.03389353, 'gaze_vector_z':0.9988734
'gaze_vector':1.173281, 'gaze_vector_x':0.02838043, 'gaze_vector_y':0.03445077, 'gaze_vector_z':0.9990034
'gaze_vector':1.189154, 'gaze_vector_x':0.02406918, 'gaze_vector_y':0.03548443, 'gaze_vector_z':0.9990804
'gaze_vector':1.201764, 'gaze_vector_x':0.01589316, 'gaze_vector_y':0.03860883, 'gaze_vector_z':0.999128
'gaze_vector':1.212983, 'gaze_vector_x':0.0120726, 'gaze_vector_y':0.04018872, 'gaze_vector_z':0.9991192
'gaze_vector':1.225644, 'gaze_vector_x':0.008642301, 'gaze_vector_y':0.04213306, 'gaze_vector_z':0.9990746
'gaze_vector':1.237599, 'gaze_vector_x':0.00499267, 'gaze_vector_y':0.04428266, 'gaze_vector_z':0.9990066
'gaze_vector':1.248951, 'gaze_vector_x':0.0007642426, 'gaze_vector_y':0.04660954, 'gaze_vector_z':0.9989129
'gaze_vector':1.262033, 'gaze_vector_x':-0.003409881, 'gaze_vector_y':0.04918725, 'gaze_vector_z':0.9987838
'gaze_vector':1.274046, 'gaze_vector_x':-0.007323424, 'gaze_vector_y':0.05119941, 'gaze_vector_z':0.9986616
'gaze_vector':1.28663, 'gaze_vector_x':-0.01091156, 'gaze_vector_y':0.05290714, 'gaze_vector_z':0.9985398
'gaze_vector':1.297188, 'gaze_vector_x':-0.01416164, 'gaze_vector_y':0.05445665, 'gaze_vector_z':0.9984157
'gaze_vector':1.308804, 'gaze_vector_x':-0.01760007, 'gaze_vector_y':0.05622429, 'gaze_vector_z':0.998263
'gaze_vector':1.319881, 'gaze_vector_x':-0.0211254, 'gaze_vector_y':0.05858524, 'gaze_vector_z':0.9980589
'gaze_vector':1.33198, 'gaze_vector_x':-0.02525152, 'gaze_vector_y':0.06147531, 'gaze_vector_z':0.9977891
'gaze_vector':1.345507, 'gaze_vector_x':-0.02973288, 'gaze_vector_y':0.06449714, 'gaze_vector_z':0.9974748
'gaze_vector':1.359391, 'gaze_vector_x':-0.03859468, 'gaze_vector_y':0.06906942, 'gaze_vector_z':0.996865
'gaze_vector':1.371464, 'gaze_vector_x':-0.04254503, 'gaze_vector_y':0.07091083, 'gaze_vector_z':0.9965749
'gaze_vector':1.38258, 'gaze_vector_x':-0.04675922, 'gaze_vector_y':0.07293256, 'gaze_vector_z':0.9962401
'gaze_vector':1.393386, 'gaze_vector_x':-0.0512028, 'gaze_vector_y':0.07513087, 'gaze_vector_z':0.9958583
'gaze_vector':1.404092, 'gaze_vector_x':-0.05604364, 'gaze_vector_y':0.07740841, 'gaze_vector_z':0.9954231
'gaze_vector':1.415793, 'gaze_vector_x':-0.06113108, 'gaze_vector_y':0.07935266, 'gaze_vector_z':0.9949704
'gaze_vector':1.428204, 'gaze_vector_x':-0.06585486, 'gaze_vector_y':0.08089873, 'gaze_vector_z':0.9945444
'gaze_vector':1.437632, 'gaze_vector_x':-0.07066526, 'gaze_vector_y':0.08225518, 'gaze_vector_z':0.9941029
'gaze_vector':1.44999, 'gaze_vector_x':-0.07544717, 'gaze_vector_y':0.08387887, 'gaze_vector_z':0.9936156
'gaze_vector':1.46118, 'gaze_vector_x':-0.08023068, 'gaze_vector_y':0.08518665, 'gaze_vector_z':0.9931296
'gaze_vector':1.471038, 'gaze_vector_x':-0.08555484, 'gaze_vector_y':0.08647222, 'gaze_vector_z':0.9925739
'gaze_vector':1.482861, 'gaze_vector_x':-0.09064534, 'gaze_vector_y':0.08809126, 'gaze_vector_z':0.9919795
'gaze_vector':1.493391, 'gaze_vector_x':-0.09598292, 'gaze_vector_y':0.08966237, 'gaze_vector_z':0.9913365
'gaze_vector':1.508268, 'gaze_vector_x':-0.1009267, 'gaze_vector_y':0.09101458, 'gaze_vector_z':0.9907221
'gaze_vector':1.520957, 'gaze_vector_x':-0.106254, 'gaze_vector_y':0.09288342, 'gaze_vector_z':0.9899913
'gaze_vector':1.532693, 'gaze_vector_x':-0.1116682, 'gaze_vector_y':0.09501094, 'gaze_vector_z':0.9891932
'gaze_vector':1.543379, 'gaze_vector_x':-0.1169706, 'gaze_vector_y':0.09706563, 'gaze_vector_z':0.9883806
'gaze_vector':1.554985, 'gaze_vector_x':-0.1222048, 'gaze_vector_y':0.09892969, 'gaze_vector_z':0.9875621
'gaze_vector':1.566632, 'gaze_vector_x':-0.1267225, 'gaze_vector_y':0.1003667, 'gaze_vector_z':0.9868475
'gaze_vector':1.899965, 'gaze_vector_x':-0.130923, 'gaze_vector_y':0.1018281, 'gaze_vector_z':0.9861492
'gaze_vector':1.919431, 'gaze_vector_x':-0.04587491, 'gaze_vector_y':0.1367043, 'gaze_vector_z':0.9895491
'gaze_vector':1.930527, 'gaze_vector_x':-0.04611225, 'gaze_vector_y':0.136752, 'gaze_vector_z':0.9895315
'gaze_vector':1.942743, 'gaze_vector_x':-0.04639005, 'gaze_vector_y':0.1367643, 'gaze_vector_z':0.9895168
'gaze_vector':1.953168, 'gaze_vector_x':-0.04659877, 'gaze_vector_y':0.1368448, 'gaze_vector_z':0.9894959
'gaze_vector':1.967326, 'gaze_vector_x':-0.04664309, 'gaze_vector_y':0.1367639, 'gaze_vector_z':0.9895049
'gaze_vector':1.979162, 'gaze_vector_x':-0.04678769, 'gaze_vector_y':0.1367489, 'gaze_vector_z':0.9895002
'gaze_vector':1.992348, 'gaze_vector_x':-0.0473478, 'gaze_vector_y':0.136468, 'gaze_vector_z':0.9895123
'gaze_vector':2.005126, 'gaze_vector_x':-0.04765784, 'gaze_vector_y':0.1365405, 'gaze_vector_z':0.9894875
'gaze_vector':2.017773, 'gaze_vector_x':-0.04785956, 'gaze_vector_y':0.1368191, 'gaze_vector_z':0.9894392
'gaze_vector':2.029925, 'gaze_vector_x':-0.04806706, 'gaze_vector_y':0.1371157, 'gaze_vector_z':0.9893881
'gaze_vector':2.042736, 'gaze_vector_x':-0.04828756, 'gaze_vector_y':0.1375045, 'gaze_vector_z':0.9893234
'gaze_vector':2.054215, 'gaze_vector_x':-0.04857819, 'gaze_vector_y':0.1377369, 'gaze_vector_z':0.9892769
'gaze_vector':2.068444, 'gaze_vector_x':-0.04909734, 'gaze_vector_y':0.1375491, 'gaze_vector_z':0.9892774
'gaze_vector':2.081805, 'gaze_vector_x':-0.0496907, 'gaze_vector_y':0.1377435, 'gaze_vector_z':0.9892207
'gaze_vector':2.093827, 'gaze_vector_x':-0.04988895, 'gaze_vector_y':0.1376592, 'gaze_vector_z':0.9892225
'gaze_vector':2.114472, 'gaze_vector_x':-0.05026866, 'gaze_vector_y':0.1377889, 'gaze_vector_z':0.9891852
'gaze_vector':2.125951, 'gaze_vector_x':-0.05085506, 'gaze_vector_y':0.1382525, 'gaze_vector_z':0.9890905
'gaze_vector':2.138266, 'gaze_vector_x':-0.05119058, 'gaze_vector_y':0.1383376, 'gaze_vector_z':0.9890613
'gaze_vector':2.149964, 'gaze_vector_x':-0.05149994, 'gaze_vector_y':0.1383816, 'gaze_vector_z':0.9890391
'gaze_vector':2.164452, 'gaze_vector_x':-0.05192623, 'gaze_vector_y':0.1384123, 'gaze_vector_z':0.9890125
'gaze_vector':2.175698, 'gaze_vector_x':-0.05195276, 'gaze_vector_y':0.1384745, 'gaze_vector_z':0.9890024
'gaze_vector':2.188374, 'gaze_vector_x':-0.05212576, 'gaze_vector_y':0.1385396, 'gaze_vector_z':0.9889842
'gaze_vector':2.202688, 'gaze_vector_x':-0.05231094, 'gaze_vector_y':0.1386474, 'gaze_vector_z':0.9889593
'gaze_vector':2.215768, 'gaze_vector_x':-0.05282972, 'gaze_vector_y':0.1388001, 'gaze_vector_z':0.9889103
'gaze_vector':2.226485, 'gaze_vector_x':-0.05326461, 'gaze_vector_y':0.1392265, 'gaze_vector_z':0.988827
'gaze_vector':2.237234, 'gaze_vector_x':-0.05340693, 'gaze_vector_y':0.1395692, 'gaze_vector_z':0.988771
'gaze_vector':2.251205, 'gaze_vector_x':-0.05371454, 'gaze_vector_y':0.1397761, 'gaze_vector_z':0.9887251
'gaze_vector':2.263013, 'gaze_vector_x':-0.05393396, 'gaze_vector_y':0.1397065, 'gaze_vector_z':0.988723
'gaze_vector':2.274056, 'gaze_vector_x':-0.05416763, 'gaze_vector_y':0.1400785, 'gaze_vector_z':0.9886576
'gaze_vector':2.285532, 'gaze_vector_x':-0.05449937, 'gaze_vector_y':0.1403706, 'gaze_vector_z':0.9885979
'gaze_vector':2.29952, 'gaze_vector_x':-0.054788, 'gaze_vector_y':0.1406812, 'gaze_vector_z':0.9885378
'gaze_vector':2.309988, 'gaze_vector_x':-0.05519985, 'gaze_vector_y':0.1410442, 'gaze_vector_z':0.9884632
'gaze_vector':2.321775, 'gaze_vector_x':-0.05552652, 'gaze_vector_y':0.1412935, 'gaze_vector_z':0.9884093
'gaze_vector':2.333063, 'gaze_vector_x':-0.05559656, 'gaze_vector_y':0.1414581, 'gaze_vector_z':0.9883818
'gaze_vector':2.34457, 'gaze_vector_x':-0.05579809, 'gaze_vector_y':0.1416671, 'gaze_vector_z':0.9883406
'gaze_vector':2.355408, 'gaze_vector_x':-0.05568445, 'gaze_vector_y':0.1417617, 'gaze_vector_z':0.9883334
'gaze_vector':2.367341, 'gaze_vector_x':-0.05572145, 'gaze_vector_y':0.1419832, 'gaze_vector_z':0.9882995
'gaze_vector':2.379117, 'gaze_vector_x':-0.05582304, 'gaze_vector_y':0.1420875, 'gaze_vector_z':0.9882788
'gaze_vector':2.392003, 'gaze_vector_x':-0.0559521, 'gaze_vector_y':0.1423849, 'gaze_vector_z':0.9882287
'gaze_vector':2.401816, 'gaze_vector_x':-0.05566465, 'gaze_vector_y':0.1427502, 'gaze_vector_z':0.9881922
'gaze_vector':2.414532, 'gaze_vector_x':-0.05567736, 'gaze_vector_y':0.1431326, 'gaze_vector_z':0.9881362
'gaze_vector':2.425966, 'gaze_vector_x':-0.05537673, 'gaze_vector_y':0.1433429, 'gaze_vector_z':0.9881226
'gaze_vector':2.439536, 'gaze_vector_x':-0.05529026, 'gaze_vector_y':0.1436354, 'gaze_vector_z':0.988085
'gaze_vector':2.451018, 'gaze_vector_x':-0.05514923, 'gaze_vector_y':0.1439252, 'gaze_vector_z':0.9880506
'gaze_vector':2.462472, 'gaze_vector_x':-0.05494111, 'gaze_vector_y':0.1439612, 'gaze_vector_z':0.988057
'gaze_vector':2.475299, 'gaze_vector_x':-0.05480197, 'gaze_vector_y':0.1439335, 'gaze_vector_z':0.9880688
'gaze_vector':2.490406, 'gaze_vector_x':-0.05440566, 'gaze_vector_y':0.1440605, 'gaze_vector_z':0.9880722
'gaze_vector':2.501474, 'gaze_vector_x':-0.05407456, 'gaze_vector_y':0.1443636, 'gaze_vector_z':0.9880461
'gaze_vector':2.514853, 'gaze_vector_x':-0.05311283, 'gaze_vector_y':0.1447075, 'gaze_vector_z':0.988048
'gaze_vector':2.526875, 'gaze_vector_x':-0.05304136, 'gaze_vector_y':0.1448107, 'gaze_vector_z':0.9880367
'gaze_vector':2.540829, 'gaze_vector_x':-0.05291009, 'gaze_vector_y':0.1447396, 'gaze_vector_z':0.9880542
'gaze_vector':2.553611, 'gaze_vector_x':-0.05273362, 'gaze_vector_y':0.1445358, 'gaze_vector_z':0.9880934
'gaze_vector':2.566693, 'gaze_vector_x':-0.05256422, 'gaze_vector_y':0.144636, 'gaze_vector_z':0.9880878
'gaze_vector':2.580748, 'gaze_vector_x':-0.05200881, 'gaze_vector_y':0.1444071, 'gaze_vector_z':0.9881507
'gaze_vector':2.593109, 'gaze_vector_x':-0.05191234, 'gaze_vector_y':0.1445857, 'gaze_vector_z':0.9881296
'gaze_vector':2.604905, 'gaze_vector_x':-0.05156554, 'gaze_vector_y':0.1449433, 'gaze_vector_z':0.9880953
'gaze_vector':2.616757, 'gaze_vector_x':-0.05152699, 'gaze_vector_y':0.1452787, 'gaze_vector_z':0.9880481
'gaze_vector':2.631819, 'gaze_vector_x':-0.05163783, 'gaze_vector_y':0.1454897, 'gaze_vector_z':0.9880113
'gaze_vector':2.643793, 'gaze_vector_x':-0.05176857, 'gaze_vector_y':0.145543, 'gaze_vector_z':0.9879966
'gaze_vector':2.656949, 'gaze_vector_x':-0.05191028, 'gaze_vector_y':0.1456766, 'gaze_vector_z':0.9879695
'gaze_vector':2.670061, 'gaze_vector_x':-0.05188286, 'gaze_vector_y':0.1458697, 'gaze_vector_z':0.9879424
'gaze_vector':2.681446, 'gaze_vector_x':-0.05203338, 'gaze_vector_y':0.1456563, 'gaze_vector_z':0.987966
'gaze_vector':2.693742, 'gaze_vector_x':-0.05222291, 'gaze_vector_y':0.1456001, 'gaze_vector_z':0.9879643
'gaze_vector':2.709853, 'gaze_vector_x':-0.05270973, 'gaze_vector_y':0.1459742, 'gaze_vector_z':0.9878832
