'global_time':33.76624, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':1.326778,  'useGaze':True, 'useVal':True
'global_time':34.38427, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.6180304,  'useGaze':True, 'useVal':True
'global_time':34.97098, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.5867183,  'useGaze':True, 'useVal':True
'global_time':35.65136, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.6803923,  'useGaze':True, 'useVal':True
'global_time':36.24013, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':0.5887523,  'useGaze':True, 'useVal':True
'global_time':36.8521, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.6119663,  'useGaze':True, 'useVal':True
'global_time':38.24678, 'ChildID':9, 'pos_x':-4, 'pos_y':1, 'pos_z':2, 'is_correct':1, 'activated_time':1.394685,  'useGaze':True, 'useVal':True
'global_time':38.94152, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':0.6947273,  'useGaze':True, 'useVal':True
'global_time':39.70733, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.7658191,  'useGaze':True, 'useVal':True
'global_time':40.93305, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':1.225696,  'useGaze':True, 'useVal':True
'global_time':41.95822, 'ChildID':7, 'pos_x':-4, 'pos_y':1, 'pos_z':0.3999996, 'is_correct':1, 'activated_time':1.02517,  'useGaze':True, 'useVal':True
'global_time':42.9174, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.959173,  'useGaze':True, 'useVal':True
'global_time':44.21497, 'ChildID':8, 'pos_x':-4, 'pos_y':2.5, 'pos_z':2, 'is_correct':1, 'activated_time':1.297588,  'useGaze':True, 'useVal':True
'global_time':45.08647, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.8714968,  'useGaze':True, 'useVal':True
