'global_time':0.8551801, 'hit_distance':5.652603 
'global_time':3.027098, 'hit_distance':5.845608 
'global_time':3.03876, 'hit_distance':5.411824 
'global_time':3.063537, 'hit_distance':4.609599 
'global_time':3.075197, 'hit_distance':4.410512 
'global_time':3.140308, 'hit_distance':4.115329 
'global_time':3.152282, 'hit_distance':4.081435 
'global_time':3.1637, 'hit_distance':4.05242 
'global_time':3.176734, 'hit_distance':4.04096 
'global_time':3.191475, 'hit_distance':4.0698 
'global_time':3.204461, 'hit_distance':3.983017 
'global_time':3.216649, 'hit_distance':4.012484 
'global_time':3.244698, 'hit_distance':4.062534 
'global_time':3.255172, 'hit_distance':4.009535 
'global_time':3.265826, 'hit_distance':4.018996 
'global_time':3.277724, 'hit_distance':4.019351 
'global_time':3.289256, 'hit_distance':3.994432 
'global_time':3.301858, 'hit_distance':4.023133 
'global_time':3.301858, 'hit_distance':4.647826 
'global_time':3.31373, 'hit_distance':4.029974 
'global_time':3.31373, 'hit_distance':4.573314 
'global_time':3.325722, 'hit_distance':4.039723 
'global_time':3.325722, 'hit_distance':4.504816 
'global_time':3.33821, 'hit_distance':4.029475 
'global_time':3.33821, 'hit_distance':4.441416 
'global_time':3.349804, 'hit_distance':4.054893 
'global_time':3.349804, 'hit_distance':4.383631 
'global_time':3.362448, 'hit_distance':4.040952 
'global_time':3.362448, 'hit_distance':4.430686 
'global_time':3.375476, 'hit_distance':3.981958 
'global_time':3.388499, 'hit_distance':3.911138 
'global_time':3.401385, 'hit_distance':3.89122 
'global_time':3.411559, 'hit_distance':3.902294 
'global_time':3.4223, 'hit_distance':3.900902 
'global_time':3.434916, 'hit_distance':3.917394 
'global_time':3.445574, 'hit_distance':3.92443 
'global_time':3.445574, 'hit_distance':4.058996 
'global_time':3.461209, 'hit_distance':3.931488 
'global_time':3.461209, 'hit_distance':4.035573 
'global_time':3.472326, 'hit_distance':3.93102 
'global_time':3.472326, 'hit_distance':4.016902 
'global_time':3.484522, 'hit_distance':3.932083 
'global_time':3.484522, 'hit_distance':4.003356 
'global_time':3.495517, 'hit_distance':3.932236 
'global_time':3.495517, 'hit_distance':3.993822 
'global_time':3.506858, 'hit_distance':3.937941 
'global_time':3.506858, 'hit_distance':3.986489 
'global_time':3.51899, 'hit_distance':3.944494 
'global_time':3.51899, 'hit_distance':3.980423 
'global_time':3.531362, 'hit_distance':3.945451 
'global_time':3.531362, 'hit_distance':3.975606 
'global_time':3.542321, 'hit_distance':3.937365 
'global_time':3.542321, 'hit_distance':3.970879 
'global_time':3.55371, 'hit_distance':3.942058 
'global_time':3.55371, 'hit_distance':3.967146 
'global_time':3.56701, 'hit_distance':3.951014 
'global_time':3.56701, 'hit_distance':3.964659 
'global_time':3.579304, 'hit_distance':3.941253 
'global_time':3.579304, 'hit_distance':3.962621 
'global_time':3.590798, 'hit_distance':3.956292 
'global_time':3.590798, 'hit_distance':3.961142 
'global_time':3.60358, 'hit_distance':3.949284 
'global_time':3.60358, 'hit_distance':3.958871 
'global_time':3.615419, 'hit_distance':3.94559 
'global_time':3.615419, 'hit_distance':3.958726 
'global_time':3.629837, 'hit_distance':3.953604 
'global_time':3.629837, 'hit_distance':3.957732 
'global_time':3.641701, 'hit_distance':3.952756 
'global_time':3.641701, 'hit_distance':3.954555 
'global_time':3.654366, 'hit_distance':3.956026 
'global_time':3.654366, 'hit_distance':3.95228 
'global_time':3.667384, 'hit_distance':3.957885 
'global_time':3.667384, 'hit_distance':3.951561 
'global_time':3.682492, 'hit_distance':3.961332 
'global_time':3.682492, 'hit_distance':3.950604 
'global_time':3.693681, 'hit_distance':3.968468 
'global_time':3.693681, 'hit_distance':3.949962 
'global_time':3.704923, 'hit_distance':3.969377 
'global_time':3.704923, 'hit_distance':3.950007 
'global_time':3.717809, 'hit_distance':3.969726 
'global_time':3.717809, 'hit_distance':3.949239 
'global_time':3.72897, 'hit_distance':3.972158 
'global_time':3.72897, 'hit_distance':3.948369 
'global_time':3.740728, 'hit_distance':3.97222 
'global_time':3.740728, 'hit_distance':3.947145 
'global_time':3.75279, 'hit_distance':3.963232 
'global_time':3.75279, 'hit_distance':3.946149 
'global_time':3.765451, 'hit_distance':3.967153 
'global_time':3.765451, 'hit_distance':3.944463 
'global_time':3.777109, 'hit_distance':3.968443 
'global_time':3.777109, 'hit_distance':3.943066 
'global_time':3.788532, 'hit_distance':3.949929 
'global_time':3.788532, 'hit_distance':3.942654 
'global_time':3.800096, 'hit_distance':3.947679 
'global_time':3.800096, 'hit_distance':3.944298 
'global_time':3.813359, 'hit_distance':3.967587 
'global_time':3.813359, 'hit_distance':3.946973 
'global_time':3.826018, 'hit_distance':4.011404 
'global_time':3.826018, 'hit_distance':3.950103 
'global_time':3.836927, 'hit_distance':3.955027 
'global_time':3.847228, 'hit_distance':4.196781 
'global_time':3.847228, 'hit_distance':3.959207 
'global_time':3.860044, 'hit_distance':4.226433 
'global_time':3.860044, 'hit_distance':3.963793 
'global_time':3.871239, 'hit_distance':4.188086 
'global_time':3.871239, 'hit_distance':3.967525 
'global_time':3.882507, 'hit_distance':4.124116 
'global_time':3.882507, 'hit_distance':3.969966 
'global_time':3.894508, 'hit_distance':4.122831 
'global_time':3.894508, 'hit_distance':3.972196 
'global_time':3.90835, 'hit_distance':4.135701 
'global_time':3.90835, 'hit_distance':3.975186 
'global_time':3.918757, 'hit_distance':4.128164 
'global_time':3.918757, 'hit_distance':3.978318 
'global_time':3.930449, 'hit_distance':4.147332 
'global_time':3.930449, 'hit_distance':3.98182 
'global_time':3.943364, 'hit_distance':4.12292 
'global_time':3.943364, 'hit_distance':3.985092 
'global_time':3.955575, 'hit_distance':4.121753 
'global_time':3.955575, 'hit_distance':3.989123 
'global_time':3.966357, 'hit_distance':4.123756 
'global_time':3.966357, 'hit_distance':3.993314 
'global_time':3.977729, 'hit_distance':4.142436 
'global_time':3.987269, 'hit_distance':4.147969 
'global_time':4.000996, 'hit_distance':4.146813 
'global_time':4.01252, 'hit_distance':4.159859 
'global_time':4.023174, 'hit_distance':4.115164 
'global_time':4.034022, 'hit_distance':4.111021 
'global_time':4.046504, 'hit_distance':4.177199 
'global_time':4.056706, 'hit_distance':4.174619 
'global_time':4.068337, 'hit_distance':4.172417 
'global_time':4.078605, 'hit_distance':4.182305 
'global_time':4.089713, 'hit_distance':4.176528 
'global_time':4.102546, 'hit_distance':4.176232 
'global_time':4.114108, 'hit_distance':4.171177 
'global_time':4.124782, 'hit_distance':4.122037 
'global_time':4.136683, 'hit_distance':4.118879 
'global_time':4.136683, 'hit_distance':4.097978 
'global_time':4.152155, 'hit_distance':4.125741 
'global_time':4.152155, 'hit_distance':4.105957 
'global_time':4.163973, 'hit_distance':4.1389 
'global_time':4.163973, 'hit_distance':4.114408 
'global_time':4.174405, 'hit_distance':4.135517 
'global_time':4.174405, 'hit_distance':4.122735 
'global_time':4.187325, 'hit_distance':4.131051 
'global_time':4.187325, 'hit_distance':4.132146 
'global_time':4.19884, 'hit_distance':4.183034 
'global_time':4.19884, 'hit_distance':4.142908 
'global_time':4.21101, 'hit_distance':4.203511 
'global_time':4.21101, 'hit_distance':4.153053 
'global_time':4.222427, 'hit_distance':4.209108 
'global_time':4.222427, 'hit_distance':4.159846 
'global_time':4.236785, 'hit_distance':4.233463 
'global_time':4.236785, 'hit_distance':4.162824 
'global_time':4.248977, 'hit_distance':4.49188 
'global_time':4.248977, 'hit_distance':4.168378 
'global_time':4.260302, 'hit_distance':4.603937 
'global_time':4.260302, 'hit_distance':4.175315 
'global_time':4.271203, 'hit_distance':4.690518 
'global_time':4.271203, 'hit_distance':4.184701 
'global_time':4.283964, 'hit_distance':4.653158 
'global_time':4.283964, 'hit_distance':4.195931 
'global_time':4.295241, 'hit_distance':4.648124 
'global_time':4.295241, 'hit_distance':4.207457 
'global_time':4.306499, 'hit_distance':4.633941 
'global_time':4.306499, 'hit_distance':4.218554 
'global_time':4.318652, 'hit_distance':4.615966 
'global_time':4.318652, 'hit_distance':4.229575 
'global_time':4.331206, 'hit_distance':4.621463 
'global_time':4.331206, 'hit_distance':4.240443 
'global_time':4.343284, 'hit_distance':4.606402 
'global_time':4.354387, 'hit_distance':4.624675 
'global_time':4.365508, 'hit_distance':4.620294 
'global_time':4.378661, 'hit_distance':4.63539 
'global_time':4.390805, 'hit_distance':4.625071 
'global_time':4.403195, 'hit_distance':4.638933 
'global_time':4.41266, 'hit_distance':4.629145 
'global_time':4.423333, 'hit_distance':4.646229 
'global_time':4.436072, 'hit_distance':4.661876 
'global_time':4.446776, 'hit_distance':4.66758 
'global_time':4.458389, 'hit_distance':4.686326 
'global_time':4.470997, 'hit_distance':4.701905 
'global_time':4.48241, 'hit_distance':4.654806 
'global_time':4.494503, 'hit_distance':4.661715 
'global_time':4.494503, 'hit_distance':4.521981 
'global_time':4.505416, 'hit_distance':4.670077 
'global_time':4.505416, 'hit_distance':4.463789 
'global_time':4.518456, 'hit_distance':4.690182 
'global_time':4.518456, 'hit_distance':4.466684 
'global_time':4.528361, 'hit_distance':4.662477 
'global_time':4.528361, 'hit_distance':4.485803 
'global_time':4.539983, 'hit_distance':4.679765 
'global_time':4.539983, 'hit_distance':4.505501 
'global_time':4.552045, 'hit_distance':4.719201 
'global_time':4.552045, 'hit_distance':4.526272 
'global_time':4.562828, 'hit_distance':4.745279 
'global_time':4.562828, 'hit_distance':4.547541 
'global_time':4.574369, 'hit_distance':4.72927 
'global_time':4.574369, 'hit_distance':4.568744 
'global_time':4.585933, 'hit_distance':4.71801 
'global_time':4.585933, 'hit_distance':4.590712 
'global_time':4.598258, 'hit_distance':4.727777 
'global_time':4.598258, 'hit_distance':4.610126 
'global_time':4.611588, 'hit_distance':4.686285 
'global_time':4.611588, 'hit_distance':4.627649 
'global_time':4.626961, 'hit_distance':4.687528 
'global_time':4.626961, 'hit_distance':4.645313 
'global_time':4.640486, 'hit_distance':4.685003 
'global_time':4.640486, 'hit_distance':4.662736 
'global_time':4.651641, 'hit_distance':4.693332 
'global_time':4.651641, 'hit_distance':4.670826 
'global_time':4.664313, 'hit_distance':4.685366 
'global_time':4.664313, 'hit_distance':4.673315 
'global_time':4.676148, 'hit_distance':4.895401 
'global_time':4.676148, 'hit_distance':4.678801 
'global_time':4.686836, 'hit_distance':5.06931 
'global_time':4.686836, 'hit_distance':4.689476 
'global_time':4.700453, 'hit_distance':4.703229 
'global_time':4.712088, 'hit_distance':4.717373 
'global_time':4.724036, 'hit_distance':4.732893 
'global_time':4.734346, 'hit_distance':4.748811 
'global_time':4.746288, 'hit_distance':4.765388 
'global_time':4.758199, 'hit_distance':4.781217 
'global_time':4.770298, 'hit_distance':4.797753 
'global_time':4.781594, 'hit_distance':4.814253 
'global_time':4.792905, 'hit_distance':4.831017 
'global_time':4.803936, 'hit_distance':4.847794 
'global_time':4.815487, 'hit_distance':4.86529 
'global_time':4.826808, 'hit_distance':4.882378 
'global_time':4.838252, 'hit_distance':4.899615 
'global_time':4.850827, 'hit_distance':4.917154 
'global_time':4.86234, 'hit_distance':5.55283 
'global_time':4.86234, 'hit_distance':4.940187 
'global_time':4.873041, 'hit_distance':4.979263 
'global_time':4.895559, 'hit_distance':6.343949 
'global_time':4.907081, 'hit_distance':6.040348 
'global_time':4.930505, 'hit_distance':5.972697 
'global_time':4.944105, 'hit_distance':6.036383 
'global_time':4.944105, 'hit_distance':5.449837 
'global_time':4.955488, 'hit_distance':6.127638 
'global_time':4.955488, 'hit_distance':5.540762 
'global_time':4.967197, 'hit_distance':6.02727 
